gene	europepmc_query	clinicaltrials_query	google_patents_url	europepmc_hit_count	europepmc_url	europepmc_examples_json	clinicaltrials_hit_count	clinicaltrials_returned_count	clinicaltrials_url	clinicaltrials_examples_json	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_activity_records	chembl_url	chembl_search_hit_count
GPR65	"(""GPR65"" OR TDAG8) autoimmune OR inflammatory bowel disease"	GPR65 autoimmune	https://patents.google.com/?q=GPR65+autoimmune+drug	302	https://europepmc.org/search?query=%28%22GPR65%22+OR+TDAG8%29+autoimmune+OR+inflammatory+bowel+disease	"[{""doi"": ""10.1080/19490976.2026.2656346"", ""id"": ""41964562"", ""journal"": ""Gut Microbes"", ""source"": ""MED"", ""title"": ""Unveiling the impact of colonic pH and pH-sensing receptors in blood pressure regulation."", ""year"": ""2026""}, {""doi"": ""10.1111/eci.70092"", ""id"": ""40521700"", ""journal"": ""Eur J Clin Invest"", ""source"": ""MED"", ""title"": ""Autoimmunity in MASLD: Focus on autoantibodies, anti-apolipoprotein A1 IgG and G protein-coupled receptors."", ""year"": ""2025""}, {""doi"": ""10.1111/jgh.70199"", ""id"": ""41360404"", ""journal"": ""J Gastroenterol Hepatol"", ""source"": ""MED"", ""title"": ""Psychosine Alleviates Colitis via Inhibiting Th1 and Th17 Cell Immune Responses in Inflammatory Bowel Diseases."", ""year"": ""2026""}]"	0	0	https://clinicaltrials.gov/search?term=GPR65+autoimmune	[]	CHEMBL3714081	Psychosine receptor	SINGLE PROTEIN	99	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3714081	1
PTPN2	"(""PTPN2"" OR ""TCPTP"") autoimmune"	PTPN2 autoimmune	https://patents.google.com/?q=PTPN2+autoimmune+drug	1332	https://europepmc.org/search?query=%28%22PTPN2%22+OR+%22TCPTP%22%29+autoimmune	"[{""doi"": ""10.1038/s41598-025-12951-2"", ""id"": ""40739316"", ""journal"": ""Sci Rep"", ""source"": ""MED"", ""title"": ""The phosphatases TCPTP, PTPN22, and SHP1 play unique roles in T cell phosphotyrosine maintenance and feedback regulation of the TCR."", ""year"": ""2025""}, {""doi"": ""10.1002/eji.70207"", ""id"": ""42153603"", ""journal"": ""Eur J Immunol"", ""source"": ""MED"", ""title"": ""A Novel PTPN2 Isoform Differentially Regulates Immune Response."", ""year"": ""2026""}, {""doi"": ""10.1172/jci.insight.196144"", ""id"": ""41424386"", ""journal"": ""JCI Insight"", ""source"": ""MED"", ""title"": ""Deletion of Ptpn2 in B cells promotes autoimmunity via TLR and JAK/STAT signaling."", ""year"": ""2025""}]"	1	1	https://clinicaltrials.gov/search?term=PTPN2+autoimmune	"[{""conditions"": ""Hashimoto's Disease;Graves' Disease"", ""interventions"": """", ""nct_id"": ""NCT00958113"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Autoimmune Thyroid Disease Genetic Study""}]"	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	1279	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3807	4
TNFAIP3	"(""TNFAIP3"" OR A20) autoimmune"	TNFAIP3 autoimmune	https://patents.google.com/?q=TNFAIP3+autoimmune+drug	8401	https://europepmc.org/search?query=%28%22TNFAIP3%22+OR+A20%29+autoimmune	"[{""doi"": ""10.1136/rmdopen-2026-006763"", ""id"": ""42128528"", ""journal"": ""RMD Open"", ""source"": ""MED"", ""title"": ""Clinical phenotype and laboratory markers in patients affected by haploinsufficiency of A20 (HA20): a case series from two Italian centres."", ""year"": ""2026""}, {""doi"": ""10.64898/2026.03.25.714162"", ""id"": ""PPR1217869"", ""journal"": """", ""source"": ""PPR"", ""title"": ""A rare human  <i>TNFAIP3</i>  variant reveals how A20 abundance is regulated by TAX1BP1"", ""year"": ""2026""}, {""doi"": ""10.70962/jhi.20250138"", ""id"": ""42169681"", ""journal"": ""J Hum Immun"", ""source"": ""MED"", ""title"": ""How I Treat: Haploinsufficiency of A20."", ""year"": ""2026""}]"	1	1	https://clinicaltrials.gov/search?term=TNFAIP3+autoimmune	"[{""conditions"": ""Ankylosing Spondylitis and Psoriatic Arthritis Patients"", ""interventions"": ""Detection of TNFAIP3 gene expression by real time PCR."", ""nct_id"": ""NCT07507487"", ""phase"": ""NA"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""TNFAIP3 Gene Expression in Ankylosing Spondylitis and Psoriatic Arthritis Patients and Its Relation to Disease Activity""}]"	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4523200	1
SH2B3	"(""SH2B3"" OR LNK) autoimmune"	SH2B3 autoimmune	https://patents.google.com/?q=SH2B3+autoimmune+drug	1412	https://europepmc.org/search?query=%28%22SH2B3%22+OR+LNK%29+autoimmune	"[{""doi"": ""10.1080/23723556.2026.2644701"", ""id"": ""41858757"", ""journal"": ""Mol Cell Oncol"", ""source"": ""MED"", ""title"": ""The LNK adaptor protein: a dual regulator of proliferation and migration in solid tumors."", ""year"": ""2026""}, {""doi"": ""10.26508/lsa.202503332"", ""id"": ""41027725"", ""journal"": ""Life Sci Alliance"", ""source"": ""MED"", ""title"": ""Lnk/Sh2b3 regulates initiation and severity of autoimmune insulitis and contributes to diabetes risk."", ""year"": ""2025""}, {""doi"": ""10.1016/j.anpede.2025.504063"", ""id"": ""41521103"", ""journal"": ""An Pediatr (Engl Ed)"", ""source"": ""MED"", ""title"": ""Non-HLA risk variants in a type 1 diabetes pediatric population: Clinical and autoimmune profiles."", ""year"": ""2026""}]"	0	0	https://clinicaltrials.gov/search?term=SH2B3+autoimmune	[]					https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SH2B3	0
IRF5	"(""IRF5"" OR ""TLR7/8/9-IRF5"") autoimmune"	IRF5 autoimmune	https://patents.google.com/?q=IRF5+autoimmune+drug	3523	https://europepmc.org/search?query=%28%22IRF5%22+OR+%22TLR7%2F8%2F9-IRF5%22%29+autoimmune	"[{""doi"": ""10.3390/ijms27093968"", ""id"": ""42123548"", ""journal"": ""Int J Mol Sci"", ""source"": ""MED"", ""title"": ""Genetic Polymorphisms in Systemic Lupus Erythematosus and Their Clinical Implications: A Narrative Review."", ""year"": ""2026""}, {""doi"": ""10.1080/07853890.2026.2622737"", ""id"": ""41614394"", ""journal"": ""Ann Med"", ""source"": ""MED"", ""title"": ""Variants in the interferon regulatory factor 5 gene confer genetic risk for systemic lupus erythematosus in a Han Chinese population."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms27020599"", ""id"": ""41596252"", ""journal"": ""Int J Mol Sci"", ""source"": ""MED"", ""title"": ""Variants in <i>IRF5</i> Increase the Risk of Primary Sj\u00f6gren's Syndrome in the Mexican Population."", ""year"": ""2026""}]"	1	1	https://clinicaltrials.gov/search?term=IRF5+autoimmune	"[{""conditions"": ""Systemic Lupus Erythematosus"", ""interventions"": """", ""nct_id"": ""NCT02270710"", ""phase"": """", ""status"": ""WITHDRAWN"", ""title"": ""Molecular Mechanisms Characteristics in Systemic Lupus Erythematous Autoimmune Disease""}]"					https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IRF5	0
CLEC16A	"(""CLEC16A"" OR ""CLEC16A"") autoimmune"	CLEC16A autoimmune	https://patents.google.com/?q=CLEC16A+autoimmune+drug	667	https://europepmc.org/search?query=%28%22CLEC16A%22+OR+%22CLEC16A%22%29+autoimmune	"[{""doi"": ""10.1016/j.celrep.2026.116990"", ""id"": ""41689803"", ""journal"": ""Cell Rep"", ""source"": ""MED"", ""title"": ""Single-cell multi-omic analyses highlight the essential role of NKX2.2-CLEC16A/endosomal pathway for human pancreatic differentiation and function."", ""year"": ""2026""}, {""doi"": ""10.2174/0118715303446735260429075429"", ""id"": ""42163726"", ""journal"": ""Endocr Metab Immune Disord Drug Targets"", ""source"": ""MED"", ""title"": ""Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis and Four Autoimmune Diseases."", ""year"": ""2026""}, {""doi"": ""10.21203/rs.3.rs-9368949/v1"", ""id"": ""PPR1176377"", ""journal"": """", ""source"": ""PPR"", ""title"": ""InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF insulator disruption across seven autoimmune diseases"", ""year"": ""2026""}]"	0	0	https://clinicaltrials.gov/search?term=CLEC16A+autoimmune	[]					https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CLEC16A	0
ATG16L1	"(""ATG16L1"" OR autophagy) autoimmune Crohn"	ATG16L1 autoimmune	https://patents.google.com/?q=ATG16L1+autoimmune+drug	723	https://europepmc.org/search?query=%28%22ATG16L1%22+OR+autophagy%29+autoimmune+Crohn	"[{""doi"": ""10.1093/jimmun/vkaf359"", ""id"": ""41732089"", ""journal"": ""J Immunol"", ""source"": ""MED"", ""title"": ""Membrane atg8ylation and autophagy in protection against Mycobacterium tuberculosis."", ""year"": ""2026""}, {""doi"": ""10.1080/27694127.2025.2542904"", ""id"": ""40910070"", ""journal"": ""Autophagy Rep"", ""source"": ""MED"", ""title"": ""Autophagy and Bacterial infections."", ""year"": ""2025""}, {""doi"": ""10.1097/md.0000000000044234"", ""id"": ""40922284"", ""journal"": ""Medicine (Baltimore)"", ""source"": ""MED"", ""title"": ""Role of ETS2 gene in inflammatory bowel disease: A narrative review."", ""year"": ""2025""}]"	0	0	https://clinicaltrials.gov/search?term=ATG16L1+autoimmune	[]					https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ATG16L1	0
IL10	"(""IL-10"" OR IL10) autoimmune"	IL-10 autoimmune	https://patents.google.com/?q=IL10+autoimmune+drug	92281	https://europepmc.org/search?query=%28%22IL-10%22+OR+IL10%29+autoimmune	"[{""doi"": ""10.21203/rs.3.rs-9516476/v1"", ""id"": ""PPR1186754"", ""journal"": """", ""source"": ""PPR"", ""title"": ""The Effects of Lavender Oil on IL-10 mRNA, miR-378 in the Brain of Experimental Autoimmune Encephalomyelitis"", ""year"": ""2026""}, {""doi"": ""10.1093/intimm/dxag021"", ""id"": ""42093628"", ""journal"": ""Int Immunol"", ""source"": ""MED"", ""title"": ""Selective decreases in regulatory B cell (Breg) subsets in active uveitis: IL-10+CD19+CD24hiCD38hiBreg in patients and B10 Breg in mice."", ""year"": ""2026""}, {""doi"": ""10.1007/s10753-026-02519-1"", ""id"": ""42142168"", ""journal"": ""Inflammation"", ""source"": ""MED"", ""title"": ""Pharmacological Characterization of GLPG3667, a Tyrosine Kinase 2-Selective Inhibitor, for the Treatment of Inflammatory and Autoimmune Diseases."", ""year"": ""2026""}]"	5	5	https://clinicaltrials.gov/search?term=IL-10+autoimmune	"[{""conditions"": ""Multiple Sclerosis, Relapsing-Remitting"", ""interventions"": ""Spinal Manipulation;Sham Spinal Manipulation"", ""nct_id"": ""NCT04972929"", ""phase"": ""NA"", ""status"": ""COMPLETED"", ""title"": ""Effects of Chiropractic Care on Cytokine Levels in Multiple Sclerosis""}, {""conditions"": ""Heart Failure;Myocarditis;Sepsis;Septic Shock"", ""interventions"": ""CMR;hs-troponin;NT-pro BNP;CRP;IL1-B;IL-6;IL-10;TNF-alpha"", ""nct_id"": ""NCT05633290"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""CharacterisatiON of carDiac funCTion in Intensive Care Unit Survivors of Sepsis.""}, {""conditions"": ""Multiple Sclerosis, Relapsing-remitting"", ""interventions"": ""Vitamin D3"", ""nct_id"": ""NCT01667796"", ""phase"": ""NA"", ""status"": ""COMPLETED"", ""title"": ""Pharmacokinetics of Vitamin D in Multiple Sclerosis and in Health""}, {""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""Certolizumab Pegol (CZP);Arthroscopic synovial tissue biopsy"", ""nct_id"": ""NCT01374971"", ""phase"": ""PHASE3"", ""status"": ""COMPLETED"", ""title"": ""Rheumatoid Arthritis Treatment and Biopsy Study Assessing Certolizumab Pegol (Cimzia)""}, {""conditions"": ""Systemic Lupus Erythematosus;Autonomic Dysfunction;Autonomic Neuropathy;Fatigue"", ""interventions"": ""Non-invasive transcutaneous vagus nerve stimulation (tVNS);Sham vagus nerve stimulation"", ""nct_id"": ""NCT05315739"", ""phase"": ""NA"", ""status"": ""COMPLETED"", ""title"": ""Vagus Nerve Stimulation for Systemic Lupus Erythematous""}]"	CHEMBL3712920	Interleukin-10	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3712920	5
IL6R	"(""IL-6 receptor"" OR IL6R OR tocilizumab OR sarilumab) autoimmune"	IL-6 receptor autoimmune	https://patents.google.com/?q=IL6R+autoimmune+drug	31334	https://europepmc.org/search?query=%28%22IL-6+receptor%22+OR+IL6R+OR+tocilizumab+OR+sarilumab%29+autoimmune	"[{""doi"": ""10.1002/prp2.70219"", ""id"": ""41883343"", ""journal"": ""Pharmacol Res Perspect"", ""source"": ""MED"", ""title"": ""Effect of Interleukin-6 Inhibitors on Rheumatoid Arthritis Pain: Overview of Evidence and Mechanistic Pathways."", ""year"": ""2026""}, {""doi"": ""10.12659/ajcr.949020"", ""id"": ""40855634"", ""journal"": ""Am J Case Rep"", ""source"": ""MED"", ""title"": ""Management of Rheumatoid Arthritis in a Patient with Aplastic Anemia and Ulcerative Colitis: A Case Report."", ""year"": ""2025""}, {""doi"": ""10.2147/opth.s553857"", ""id"": ""41891092"", ""journal"": ""Clin Ophthalmol"", ""source"": ""MED"", ""title"": ""Biosimilars in Adult and Pediatric Noninfectious Uveitis."", ""year"": ""2026""}]"	5	5	https://clinicaltrials.gov/search?term=IL-6+receptor+autoimmune	"[{""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""Abatacept;Placebo;Abatacept"", ""nct_id"": ""NCT00048581"", ""phase"": ""PHASE3"", ""status"": ""COMPLETED"", ""title"": ""Phase III Study of BMS-188667 (CTLA4Ig) in Patients With Rheumatoid Arthritis Who Are Currently Failing Anti-TNF Therapy or Who Have Failed Anti-TNF Therapy in the Past.""}, {""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""sarilumab SAR153191 (REGN88);tocilizumab"", ""nct_id"": ""NCT02404558"", ""phase"": ""PHASE1"", ""status"": ""COMPLETED"", ""title"": ""Single-dose Study to Describe the Safety of Sarilumab and Tocilizumab in Patients With Rheumatoid Arthritis""}, {""conditions"": ""Rheumatoid Arthritis;Arthritis"", ""interventions"": ""JAK inhibitors and traditional treatment of rheumatoid arthritis"", ""nct_id"": ""NCT07272850"", ""phase"": """", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Comparison Between JAK Inhibitors and Traditional Treatment of Rheumatoid Arthritis""}, {""conditions"": ""Inflammatory Disorder of Immune System;Spondylitis, Ankylosing;Arthritis, Rheumatoid;Arthritis, Psoriatic;Inflammatory Bowel Diseases;Sjogren's Syndrome;Lupus Erythematosus, Systemic"", ""interventions"": ""1 blood sample, 40 mL (collection during a blood test, part of the standard of care for this disease)"", ""nct_id"": ""NCT06842316"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""Effects of Phytocannabinoids on Immune Response and Autophagy During Chronic Immune-mediated Inflammatory Diseases""}, {""conditions"": ""Thyroid Diseases"", ""interventions"": ""Prednisone"", ""nct_id"": ""NCT04542278"", ""phase"": ""PHASE4"", ""status"": ""COMPLETED"", ""title"": ""Preoperative Steroids in Autoimmune Thyroid Disease""}]"	CHEMBL2364155	Interleukin-6 receptor subunit alpha	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2364155	5
CARD9	"(""CARD9"" OR ""CARD9"") autoimmune"	CARD9 autoimmune	https://patents.google.com/?q=CARD9+autoimmune+drug	1542	https://europepmc.org/search?query=%28%22CARD9%22+OR+%22CARD9%22%29+autoimmune	"[{""doi"": ""10.1021/acschembio.6c00199"", ""id"": ""42142016"", ""journal"": ""ACS Chem Biol"", ""source"": ""MED"", ""title"": ""Protein Homeostasis Screen Identifies CK2 Inhibition as a Driver of CARD9 Depletion."", ""year"": ""2026""}, {""doi"": ""10.1016/j.humimm.2026.111746"", ""id"": ""42081878"", ""journal"": ""Hum Immunol"", ""source"": ""MED"", ""title"": ""Exploring the shared genetic architecture of migraine and autoimmune diseases."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1767876"", ""id"": ""41909698"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Tyrosine kinase signaling pathways as therapeutic targets in autoimmune subepidermal blistering skin diseases (pemphigoid diseases)."", ""year"": ""2026""}]"	1	1	https://clinicaltrials.gov/search?term=CARD9+autoimmune	"[{""conditions"": ""Chronic Mucocutaneous Candidiasis;Invasive Aspergillosis;CARD9;APECED"", ""interventions"": """", ""nct_id"": ""NCT01386437"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""Natural History of Individuals With Immune System Problems That Lead to Fungal Infections""}]"					https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CARD9	0
