gene	source	url	interpretation
GPR65	PMCID:PMC8629932	https://pmc.ncbi.nlm.nih.gov/articles/PMC8629932/	GPR65 has disease genetics and experimental colitis biology; the paper itself suggests GPR65 as an IBD intervention target, so the broad autoimmune-use concept is not cleanly novel.
GPR65	Google Patents WO2023067322A1	https://patents.google.com/patent/WO2023067322A1/en	GPR65 modulators are already patented with autoimmune-disease language, including MS/AS/IBD/Crohn references.
PTPN2	PMCID:PMC9456094	https://pmc.ncbi.nlm.nih.gov/articles/PMC9456094/	PTPN2 loss-of-function variants are linked to several immune diseases; therapeutic direction for autoimmunity is restoration, not inhibition.
TNFAIP3	PMCID:PMC6942121	https://pmc.ncbi.nlm.nih.gov/articles/PMC6942121/	A20/TNFAIP3 is a broad autoimmune genetics and NF-kappaB brake, but direct restoration is not a druggable current modality.
SH2B3	PMCID:PMC4058736	https://pmc.ncbi.nlm.nih.gov/articles/PMC4058736/	The 12q24/SH2B3 region is highly pleiotropic across autoimmune, hematologic, vascular, and other traits, weakening target-specific autoimmune inference.
IRF5	PMCID:PMC7685739	https://pmc.ncbi.nlm.nih.gov/articles/PMC7685739/	IRF5 inhibition has direct lupus-model prior art and human autoimmune genetic rationale; this supports feasibility but crowds novelty.
IRF5	HotSpot Therapeutics 2026	https://www.hotspotthera.com/press_release/hotspot-therapeutics-presents-preclinical-data-from-small-molecule-irf5-inhibitor-program-at-15th-european-lupus-meeting/	As of 2026-03-04, a company reports preclinical oral allosteric IRF5 inhibitors for SLE/additional autoimmune diseases, creating active program prior art.
CLEC16A	PMCID:PMC10179542	https://pmc.ncbi.nlm.nih.gov/articles/PMC10179542/	CLEC16A connects autoimmunity to autophagy/mitophagy and possible repurposing, but no selective direct CLEC16A drug exists.
TYK2	PMCID:PMC9988426	https://pmc.ncbi.nlm.nih.gov/articles/PMC9988426/	TYK2 has MR/coloc and clinical-trial support across autoimmune diseases, but it is a generic JAK/IFN-family route and heavily prior-arted.
IL10	ClinicalTrials.gov search	https://clinicaltrials.gov/search?term=IL-10%20autoimmune	IL-10/low-inflammatory regulatory cytokine therapeutic history is direct prior art; no local biomarker-delta rescues it.
IL6R	ChEMBL/clinical class	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IL6R	IL6R is druggable with approved autoimmune biologic precedent; novelty is blocked.
