gene	axis	exclusion_reason	ot_n_diseases_score_ge_0_5	druggability_score_manual	manual_blocker
AXL		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
C1QA		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
C1QB		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
C1QC		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CD274		explicitly excluded: PD-L1/CD274	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CD44		explicitly excluded: CD44/SPP1 axis	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CFH		explicitly excluded: complement/Fc/TAM/TREM	1		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CTSH		explicitly excluded: prior-demoted CTSH	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CTSS		explicitly excluded: prior-demoted CTSS	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CXCL10		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
CXorf21		explicitly excluded: TASL/CXorf21 route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
FCGR2A		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
FCGR3A		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
GSK3B		explicitly excluded: prior-demoted GSK3B	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
IFNGR1		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
IFNGR2		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
IRF1		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
JAK1		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
JAK2		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
JAK3		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
LGALS3		explicitly excluded: galectins	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
LGALS9		explicitly excluded: galectins	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
MERTK		explicitly excluded: complement/Fc/TAM/TREM	1		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
NAMPT		explicitly excluded: prior-demoted NAMPT/metabolic route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
SLC15A4		explicitly excluded: prior-demoted SLC15A4/TASL route	1		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
SPP1		explicitly excluded: CD44/SPP1 axis	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
STAT1		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
STAT2		explicitly excluded: generic JAK/IFN-family route	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
TASL		explicitly excluded: prior-demoted SLC15A4/TASL route	2		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
TREM1		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
TREM2		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
TYK2	TYK2 IL-12/23/type-I-IFN cytokine kinase	explicitly excluded: generic JAK/IFN-family route; no new modality/population delta found	7	3.0	Explicitly excluded generic JAK/IFN route without a new modality or biomarker-delta; TYK2 inhibitors already have autoimmune clinical programs.
TYROBP		explicitly excluded: complement/Fc/TAM/TREM	0		excluded by Wave20 prompt or generic route guardrail; no materially new modality, compartment, or biomarker-defined population delta found
