grounded_finding_id	external_record_id	check	status	detail
Bounded APC/HLA-II early treatment-response monitoring scalar	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	matrix_followup_has_queue_row	PASS	
Coupled APC remodeling architecture	resource.msgd.database_commons.2026-06-13	matrix_followup_has_queue_row	PASS	
Coupled-axis successor rule does not beat scalar	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	matrix_followup_has_queue_row	PASS	
Crohn downstream IFN/APC convergence exceeds genetic proximity	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	matrix_followup_has_queue_row	PASS	
EBV/IFN APC imprint downgraded by specificity control	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	matrix_followup_has_queue_row	PASS	
First-principles druggability discipline changed target interpretation	claim.open_targets.direction_tractability_context.2026-06-14	matrix_followup_has_queue_row	PASS	
GPR25 demoted from protected favorite	claim.nature.ms_ibd_gpr25_context.2026-06-14	matrix_followup_has_queue_row	PASS	
Layer-specific autoimmune transfer-validity map	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	matrix_followup_has_queue_row	PASS	
Locked V7 general cross-disease baseline fallback killed	claim.probast_tripod.prediction_model_validation_context.2026-06-14	matrix_followup_has_queue_row	PASS	
MHC overlap is distinct-signal, not simple shared biology	claim.plos.ms_mhc_independent_effects_context.2026-06-14	matrix_followup_has_queue_row	PASS	
MS-UC is strongest tested genome-wide genetics comparator	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	matrix_followup_has_queue_row	PASS	
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	matrix_followup_has_queue_row	PASS	
No load-bearing invariant found in V26	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	matrix_followup_has_queue_row	PASS	
No validated broad immune-state simulator from held data	resource.msgd.database_commons.2026-06-13	matrix_followup_has_queue_row	PASS	
PTGER4 mixed shared/distinct signal closes naive transfer	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	matrix_followup_has_queue_row	PASS	
Postpartum HLA-II/CD64 APC-arm imbalance	claim.national_ms_society.rrms_course_context.2026-06-13	matrix_followup_has_queue_row	PASS	
RA pregnancy comparator but blood APC treatment-response nontransfer	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	matrix_followup_has_queue_row	PASS	
T/B-readable early IFN/APC/STAT1 monitoring state	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	matrix_followup_has_queue_row	PASS	
Tool-robust but simple V22 scalar	claim.probast_tripod.prediction_model_validation_context.2026-06-14	matrix_followup_has_queue_row	PASS	
UC genetics vs treatment-response layer split	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	matrix_followup_has_queue_row	PASS	
V22 scalar is immune-tone bounded, not steroid/composition artifact	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	matrix_followup_has_queue_row	PASS	
ZMIZ1 opposite-direction MS/Crohn decoupling	resource.disgenet.platform.2026-06-13	matrix_followup_has_queue_row	PASS	
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	resource.gwas_catalog.ms.2026-06-13	matrix_followup_has_queue_row	PASS	
