evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_06_tcell_adaptive_repertoire_psoriasis_1	axis_06_tcell_adaptive_repertoire	psoriasis	skin/blood	literature_review/approved_drug_mechanism	IL-23/Th17 biology is central in psoriasis and overlaps with MS/EAE adaptive immune mechanisms, although IL-17 blockade has not translated cleanly to MS.	near	approved IL-17/IL-23 axis drugs in psoriasis; qualitative shared Th17 axis		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation/literature	near	Near for Th17/adaptive axis, not for CNS tissue injury or treatment-response architecture.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_Crohn_disease_2	axis_06_tcell_adaptive_repertoire	Crohn disease	intestinal mucosa	literature_review/approved_drug_mechanism	Crohn disease has strong Th1/Th17 and IL-23 biology, but clinical IL-17 blockade can worsen IBD, separating it from simple MS/EAE Th17 transfer.	intermediate	qualitative therapy-class evidence		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation/literature	intermediate	Intermediate because adaptive axis overlaps but intervention direction differs by tissue/barrier context.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_ulcerative_colitis_3	axis_06_tcell_adaptive_repertoire	ulcerative colitis	intestinal mucosa	literature_review/approved_drug_mechanism	UC shares IL-23/Th17 pathway involvement but differs from MS in tissue and therapy-transfer behavior.	intermediate	qualitative therapy-class evidence		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation/literature	intermediate	Intermediate rather than near because barrier-tissue constraints dominate intervention consequences.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_rheumatoid_arthritis_4	axis_06_tcell_adaptive_repertoire	rheumatoid arthritis	synovium/blood	literature_review	RA has T-cell involvement but V7 treatment-response evidence argues against a shared blood APC response rule with MS.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Compartment likely matters; synovial adaptive states are not captured by V7 blood failures.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_type_1_diabetes_mellitus_5	axis_06_tcell_adaptive_repertoire	type 1 diabetes mellitus	pancreatic islets/blood	literature_review	T1D and MS are both organ-specific autoimmune diseases with strong HLA/T-cell antigen specificity themes.	near	qualitative HLA/T-cell organ-specific autoimmunity		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		genetic/literature	near	Near on adaptive specificity, not on microbiome age-window or tissue repair biology.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_08_tissue_repair_resolution_Crohn_disease_6	axis_08_tissue_repair_resolution	Crohn disease	intestinal mucosa	local_treatment_response/literature	V7 HYP_V7_001: early intestinal IFN/APC downshift tracks response and likely mucosal healing/plasticity; repair-state dynamics are therefore near MS's repair/resolution question at the level of monitoring architecture.	near	GSE16879 AUC 0.754, Hedges g 0.985 for paired early IFN/APC downshift		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		treatment_perturbation	near	Near on response-monitoring/repair dynamics, not on remyelination biology.	VALIDATION_LEDGER.md
V8_axis_08_tissue_repair_resolution_ulcerative_colitis_7	axis_08_tissue_repair_resolution	ulcerative colitis	intestinal mucosa	local_treatment_response/literature	V7 HYP_V7_001: UC infliximab and vedolizumab early mucosal IFN/APC downshift tracks response, interpreted as mucosal healing/plasticity rather than pretreatment stratification.	near	GSE73661_IFX AUC 0.825, Hedges g 1.390; vedolizumab exploratory AUC 0.889, Hedges g 1.286		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		treatment_perturbation	near	UC baseline prediction is contradictory; dynamic repair monitoring is the near placement.	knowledge/hypotheses/HYP_V7_001_IBD_IFN_APC_DOWNSHIFT.md
V8_axis_08_tissue_repair_resolution_rheumatoid_arthritis_8	axis_08_tissue_repair_resolution	rheumatoid arthritis	blood/synovium	local_treatment_response	V7 RA anti-TNF blood cohorts fail the early IFN/APC downshift response-monitoring rule that works in IBD mucosa.	far	GSE8350 AUC 0.450; GSE12051 AUC 0.382; GSE138746_CD14 AUC 0.485		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		treatment_perturbation	far	Far for blood response-monitoring architecture; RA synovial tissue repair remains less tested.	VALIDATION_LEDGER.md
V8_axis_08_tissue_repair_resolution_psoriasis_9	axis_08_tissue_repair_resolution	psoriasis	skin	literature_review	Barrier-tissue repair and resolution are central in psoriasis, but no V8-local response-monitoring evidence aligns it with MS/IBD repair architecture.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Needs psoriasis biologic response transcriptomics to upgrade.	
V8_axis_05_complement_innate_systemic_lupus_erythematosus_10	axis_05_complement_innate	systemic lupus erythematosus	blood/kidney/immune-complex tissue	literature_review	Complement activation is a core SLE effector and biomarker axis; compare with complement/innate effector activity in MS lesions and neuroinflammation.	near	qualitative strong disease-mechanism evidence		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		mechanistic/literature	near	Near on complement/innate-effector axis only; SLE is not globally near MS.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_rheumatoid_arthritis_11	axis_05_complement_innate	rheumatoid arthritis	synovium/blood	literature_review	Complement contributes to RA synovitis, but RA's project-local IFN/APC blood response architecture diverges from MS.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Synovium may be closer than blood; compartment-specific evidence needed.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_Crohn_disease_12	axis_05_complement_innate	Crohn disease	intestinal mucosa	literature_review	IBD has innate effector/complement activity, but V8 MS proximity is stronger on microbiome and IFN/APC axes.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Not upgraded without disease-specific complement statistics.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_ulcerative_colitis_13	axis_05_complement_innate	ulcerative colitis	intestinal mucosa	literature_review	IBD has innate effector/complement activity, but V8 MS proximity is stronger on microbiome and IFN/APC axes.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Not upgraded without disease-specific complement statistics.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_myasthenia_gravis_14	axis_05_complement_innate	myasthenia gravis	neuromuscular junction	approved_drug_mechanism/literature	Complement blockade is clinically validated in AChR-positive generalized myasthenia gravis, indicating a strong complement-effector disease axis.	near	approved C5 inhibition class in MG		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation	near	Near to MS only on complement effector biology; adaptive trigger and tissue target differ sharply.	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761108s031lbl.pdf
V8_axis_09_sex_hormonal_pregnancy_rheumatoid_arthritis_15	axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	blood	local_pregnancy_transcriptomics	GSE235508 seropositive RA late-pregnancy trough and postpartum rebound in IFN/APC, HLA-II-only, MIF/CD74 receptor state, and lysosomal/APC modules.	near	see results/pregnancy_dimension/gse235508_timecourse/timepoint_contrasts.tsv		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		natural_experiment	near	Near on pregnancy modulation kinetics despite RA being far on blood treatment-response IFN/APC.	results/pregnancy_dimension/gse235508_timecourse/REPORT.md
V8_axis_09_sex_hormonal_pregnancy_systemic_lupus_erythematosus_16	axis_09_sex_hormonal_pregnancy	systemic lupus erythematosus	blood	local_pregnancy_transcriptomics	GSE108497 and GSE235508 show SLE pregnancy/postpartum APC-axis dynamics, including HLA-II rebound or monocyte-CD64 decoupling depending on outcome/context.	near	GSE108497 uncomplicated SLE postpartum HLA-II rebound delta 0.4525, Hedges g 0.597, p 0.0458 in V5 notebook		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		natural_experiment	near	Outcome-specific and not a simple remission axis.	results/pregnancy_dimension/gse108497_sle/REPORT.md
V8_axis_09_sex_hormonal_pregnancy_Crohn_disease_17	axis_09_sex_hormonal_pregnancy	Crohn disease	none	not_yet_populated	No V8-local pregnancy/natural-experiment evidence consolidated for Crohn.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_ulcerative_colitis_18	axis_09_sex_hormonal_pregnancy	ulcerative colitis	none	not_yet_populated	No V8-local pregnancy/natural-experiment evidence consolidated for UC.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
