evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_03_microbiome_Crohn_disease	axis_03_microbiome	Crohn disease	gut microbiome	literature_or_public_cohort	https://www.nature.com/articles/s41586-019-1237-9	HMP2/iHMP followed IBD subjects longitudinally with stool, biopsy, and blood multi-omics over one year; this is a direct gut immune-barrier disease context and shares the microbial-metabolite/SCFA/barrier axis implicated in MS.			literature evidence; no matrix p-value		longitudinal	near	Near on gut microbial-immune axis, not proof that Crohn and MS share initiating causes.	https://www.nature.com/articles/s41586-019-1237-9
V8_axis_03_microbiome_ulcerative_colitis	axis_03_microbiome	ulcerative colitis	gut microbiome	literature_or_public_cohort	https://www.nature.com/articles/s41586-019-1237-9;analysis/v7_hyp_v7_001_specificity/REPORT.md	Same HMP2/iHMP IBD longitudinal multi-omics resource includes UC and captures functional dysbiosis during disease activity; V7 also found intestinal response IFN/APC downshift across IFX and VDZ in UC.			literature evidence; no matrix p-value		longitudinal;treatment_perturbation	near	Microbiome proximity is stronger for gut-barrier biology than for CNS lesion biology.	https://www.nature.com/articles/s41586-019-1237-9;analysis/v7_hyp_v7_001_specificity/REPORT.md
V8_axis_03_microbiome_rheumatoid_arthritis	axis_03_microbiome	rheumatoid arthritis	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC11007908/;https://www.mdpi.com/1422-0067/25/6/3386	RA has gut-joint microbiome evidence focused on Prevotella copri and oral/gut bacteria; this is microbial-immune but differs from the MS/IBD SCFA/barrier/mucin-degradation framing.			literature evidence; no matrix p-value		literature_review;mechanistic_animal	intermediate	RA microbiome evidence may be mechanistically real but points to gut-joint/Prevotella/oral pathogen routes rather than the MS gut-brain pattern.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11007908/;https://www.mdpi.com/1422-0067/25/6/3386
V8_axis_03_microbiome_type_1_diabetes_mellitus	axis_03_microbiome	type 1 diabetes mellitus	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC6296767/;https://diabetesjournals.org/care/article/48/7/1125/158197/Unfolding-the-Mystery-of-Autoimmunity-The	TEDDY provides large longitudinal infant gut metagenomics in relation to islet autoimmunity and T1D, with functional evidence supporting protective SCFA-producing microbiota.			literature evidence; no matrix p-value		longitudinal	near	Near on longitudinal microbiome/SCFA/early-autoimmunity axis, not on target tissue or age-of-onset biology.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6296767/;https://diabetesjournals.org/care/article/48/7/1125/158197/Unfolding-the-Mystery-of-Autoimmunity-The
V8_axis_03_microbiome_psoriasis	axis_03_microbiome	psoriasis	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC12029981/	Recent systematic review supports psoriasis gut dysbiosis literature, but evidence is mostly cross-sectional and less mechanistically tied to MS-like gut-brain or IBD-like mucosal inflammation.			literature evidence; no matrix p-value		literature_review	intermediate	Skin-gut axis is plausible, but longitudinal/causal microbial evidence remains thinner than IBD/T1D.	https://pmc.ncbi.nlm.nih.gov/articles/PMC12029981/
V8_axis_03_microbiome_Sjogren_syndrome	axis_03_microbiome	Sjogren syndrome	gut microbiome	literature_or_public_cohort	https://pubmed.ncbi.nlm.nih.gov/37682372/	Systematic review/meta-analysis reports gut microbiota disruption in primary Sjogren's syndrome.			literature evidence; no matrix p-value		literature_review	intermediate	Evidence supports dysbiosis but not a well-resolved MS-shared microbial mechanism.	https://pubmed.ncbi.nlm.nih.gov/37682372/
V8_axis_03_microbiome_celiac_disease	axis_03_microbiome	celiac disease	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC8307711/	Longitudinal prospective at-risk-child studies report microbiome signatures during progression toward celiac disease onset, making celiac close to MS on gut-barrier/microbiome plausibility but disease-specific to gluten/HLA.			literature evidence; no matrix p-value		longitudinal	near	Near is driven by gut-barrier longitudinal design, not by shared antigen trigger with MS.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8307711/
V8_axis_03_microbiome_systemic_lupus_erythematosus	axis_03_microbiome	systemic lupus erythematosus	gut microbiome	literature_or_public_cohort	https://www.nature.com/articles/s41584-023-01071-8	SLE microbiome literature includes gut dysbiosis and bacterial trigger/molecular mimicry themes, but this aligns more with systemic immune activation than with MS/IBD gut-barrier architecture.			literature evidence; no matrix p-value		literature_review	intermediate	SLE may be closer to MS on infectious-trigger/IFN axes than on microbiome axis.	https://www.nature.com/articles/s41584-023-01071-8
V8_axis_03_microbiome_Hashimoto_thyroiditis	axis_03_microbiome	Hashimoto thyroiditis	gut microbiome	literature_or_public_cohort		No V8-verified thyroid-specific gut microbiome source was added in this pass.			literature evidence; no matrix p-value		none	unresolved	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.	
V8_axis_03_microbiome_Graves_disease	axis_03_microbiome	Graves disease	gut microbiome	literature_or_public_cohort		No V8-verified Graves-specific gut microbiome source was added in this pass.			literature evidence; no matrix p-value		none	unresolved	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.	
