axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_01_ifn_apc	Crohn disease	near	supported	medium	V8_axis_01_ifn_apc_Crohn_disease_1;V8_axis_01_ifn_apc_Crohn_disease_2		colon myeloid	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Graves disease	far	provisional	low	V8_axis_01_ifn_apc_Graves_disease_1;V8_axis_01_ifn_apc_Graves_disease_2		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Hashimoto thyroiditis	near	robust	high	V8_axis_01_ifn_apc_Hashimoto_thyroiditis_1;V8_axis_01_ifn_apc_Hashimoto_thyroiditis_2		thyroid tissue spots	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Sjogren syndrome	near	supported	medium	V8_axis_01_ifn_apc_Sjogren_syndrome_1;V8_axis_01_ifn_apc_Sjogren_syndrome_2		salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_01_ifn_apc	celiac disease	intermediate	supported	medium	V8_axis_01_ifn_apc_celiac_disease_1;V8_axis_01_ifn_apc_celiac_disease_2		epithelial_like marker-classified duodenum	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_01_ifn_apc	psoriasis	near	supported	medium	V8_axis_01_ifn_apc_psoriasis_1;V8_axis_01_ifn_apc_psoriasis_2		skin APC	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	rheumatoid arthritis	far	supported	medium	V8_axis_01_ifn_apc_rheumatoid_arthritis_1;V8_axis_01_ifn_apc_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_01_ifn_apc	type 1 diabetes mellitus	near	supported	medium	V8_axis_01_ifn_apc_type_1_diabetes_mellitus_1;V8_axis_01_ifn_apc_type_1_diabetes_mellitus_2		pancreatic ductal cell	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	ulcerative colitis	near	robust	high	V8_axis_01_ifn_apc_ulcerative_colitis_1;V8_axis_01_ifn_apc_ulcerative_colitis_2		colon myeloid	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_02_genetics	Crohn disease	intermediate	supported	medium	V8_axis_02_genetics_Crohn_LDSC_Yang2021;V8_axis_02_genetics_Crohn_disease		germline	genetic_correlation	medium	Verified LDSC source reports weaker MS-CD genetic correlation than MS-UC; placement is intermediate, not near. Proxy shared genes include: ANKRD55, BACH2, BATF, CD40, ELMO1, GALC, IFNGR2, IL12B
axis_02_genetics	Graves disease	intermediate	provisional	low	V8_axis_02_genetics_Graves_disease		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: BACH2, CD40, FCRL3, IL2RA, IL7R, IRF5, JAK1, MAF, RBM17, STAT4, TAGAP, TCF7
axis_02_genetics	Hashimoto thyroiditis	intermediate	provisional	low	V8_axis_02_genetics_Hashimoto_thyroiditis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: BACH2, CD40, FCRL3, IL2RA, IL7R, IRF5, JAK1, MAF, RBM17, STAT4, TAGAP, TCF7
axis_02_genetics	Sjogren syndrome	far	provisional	low	V8_axis_02_genetics_Sjogren_syndrome		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: IRF5, STAT4
axis_02_genetics	ankylosing spondylitis	intermediate	provisional	low	V8_axis_02_genetics_ankylosing_spondylitis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, IFNGR2, IL2RA, INAVA, IRF5, SP140, TNFRSF1A
axis_02_genetics	celiac disease	intermediate	provisional	low	V8_axis_02_genetics_celiac_disease		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: BACH2, ELMO1, IL12A, IL2RA, PUS10, RGS1, STAT4, TAGAP
axis_02_genetics	myasthenia gravis	unresolved	provisional	low	V8_axis_02_genetics_myasthenia_gravis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: 
axis_02_genetics	psoriasis	intermediate	provisional	low	V8_axis_02_genetics_psoriasis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, ELMO1, HHEX, IFNGR2, IL12B, IL2RA, IL7R, INAVA, IRF5, RGS14
axis_02_genetics	rheumatoid arthritis	intermediate	provisional	low	V8_axis_02_genetics_rheumatoid_arthritis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, ELMO1, FCRL3, GATA3, IFNGR2, IL12B, IL2RA, INAVA, IRF5, JAK1
axis_02_genetics	systemic lupus erythematosus	intermediate	provisional	low	V8_axis_02_genetics_systemic_lupus_erythematosus		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, CD58, CLEC16A, FCRL3, GFI1, IL12A, IL12B, IL2RA, IL7R, IRF5
axis_02_genetics	type 1 diabetes mellitus	intermediate	provisional	low	V8_axis_02_genetics_type_1_diabetes_mellitus		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CLEC16A, CTSH, GATA3, HHEX, IL2RA, IL7R, RGS1, TAGAP, ZFP36L1
axis_02_genetics	ulcerative colitis	near	supported	medium	V8_axis_02_genetics_UC_LDSC_Yang2021;V8_axis_02_genetics_ulcerative_colitis		germline	genetic_correlation	medium	Verified LDSC source upgrades UC from target-overlap proxy to near supported on genetic architecture. Proxy shared genes include: BACH2, CD40, GALC, IFNGR2, IL12B, IL2RA, INAVA, IRF5
axis_03_microbiome	Crohn disease	near	provisional	medium	V8_axis_03_microbiome_Crohn_disease		gut microbiome	longitudinal	high	Near on gut microbial-immune axis, not proof that Crohn and MS share initiating causes.
axis_03_microbiome	Graves disease	unresolved	provisional	low	V8_axis_03_microbiome_Graves_disease		gut microbiome	none	high	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.
axis_03_microbiome	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_03_microbiome_Hashimoto_thyroiditis		gut microbiome	none	high	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.
axis_03_microbiome	Sjogren syndrome	intermediate	provisional	low	V8_axis_03_microbiome_Sjogren_syndrome		gut microbiome	literature_review	high	Evidence supports dysbiosis but not a well-resolved MS-shared microbial mechanism.
axis_03_microbiome	ankylosing spondylitis	near	provisional	low	V8_axis_03_microbiome_ankylosing_spondylitis		gut microbiome	literature_review	high	Near is biologically plausible gut-joint axis, but low confidence until disease-specific sources are added.
axis_03_microbiome	celiac disease	near	provisional	low	V8_axis_03_microbiome_celiac_disease		gut microbiome	longitudinal	high	Near is driven by gut-barrier longitudinal design, not by shared antigen trigger with MS.
axis_03_microbiome	myasthenia gravis	unresolved	provisional	low	V8_axis_03_microbiome_myasthenia_gravis		gut microbiome	none	high	Unresolved, not far.
axis_03_microbiome	psoriasis	intermediate	provisional	low	V8_axis_03_microbiome_psoriasis		gut microbiome	literature_review	high	Skin-gut axis is plausible, but longitudinal/causal microbial evidence remains thinner than IBD/T1D.
axis_03_microbiome	rheumatoid arthritis	intermediate	provisional	low	V8_axis_03_microbiome_rheumatoid_arthritis		gut microbiome	literature_review;mechanistic_animal	high	RA microbiome evidence may be mechanistically real but points to gut-joint/Prevotella/oral pathogen routes rather than the MS gut-brain pattern.
axis_03_microbiome	systemic lupus erythematosus	intermediate	provisional	low	V8_axis_03_microbiome_systemic_lupus_erythematosus		gut microbiome	literature_review	high	SLE may be closer to MS on infectious-trigger/IFN axes than on microbiome axis.
axis_03_microbiome	type 1 diabetes mellitus	near	provisional	medium	V8_axis_03_microbiome_type_1_diabetes_mellitus		gut microbiome	longitudinal	high	Near on longitudinal microbiome/SCFA/early-autoimmunity axis, not on target tissue or age-of-onset biology.
