axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_03_microbiome	Crohn disease	near	provisional	medium	V8_axis_03_microbiome_Crohn_disease		gut microbiome	longitudinal	high	Near on gut microbial-immune axis, not proof that Crohn and MS share initiating causes.
axis_03_microbiome	ulcerative colitis	near	provisional	medium	V8_axis_03_microbiome_ulcerative_colitis		gut microbiome	longitudinal;treatment_perturbation	high	Microbiome proximity is stronger for gut-barrier biology than for CNS lesion biology.
axis_03_microbiome	rheumatoid arthritis	intermediate	provisional	low	V8_axis_03_microbiome_rheumatoid_arthritis		gut microbiome	literature_review;mechanistic_animal	high	RA microbiome evidence may be mechanistically real but points to gut-joint/Prevotella/oral pathogen routes rather than the MS gut-brain pattern.
axis_03_microbiome	type 1 diabetes mellitus	near	provisional	medium	V8_axis_03_microbiome_type_1_diabetes_mellitus		gut microbiome	longitudinal	high	Near on longitudinal microbiome/SCFA/early-autoimmunity axis, not on target tissue or age-of-onset biology.
axis_03_microbiome	psoriasis	intermediate	provisional	low	V8_axis_03_microbiome_psoriasis		gut microbiome	literature_review	high	Skin-gut axis is plausible, but longitudinal/causal microbial evidence remains thinner than IBD/T1D.
axis_03_microbiome	Sjogren syndrome	intermediate	provisional	low	V8_axis_03_microbiome_Sjogren_syndrome		gut microbiome	literature_review	high	Evidence supports dysbiosis but not a well-resolved MS-shared microbial mechanism.
axis_03_microbiome	celiac disease	near	provisional	low	V8_axis_03_microbiome_celiac_disease		gut microbiome	longitudinal	high	Near is driven by gut-barrier longitudinal design, not by shared antigen trigger with MS.
axis_03_microbiome	systemic lupus erythematosus	intermediate	provisional	low	V8_axis_03_microbiome_systemic_lupus_erythematosus		gut microbiome	literature_review	high	SLE may be closer to MS on infectious-trigger/IFN axes than on microbiome axis.
axis_03_microbiome	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_03_microbiome_Hashimoto_thyroiditis		gut microbiome	none	high	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.
axis_03_microbiome	Graves disease	unresolved	provisional	low	V8_axis_03_microbiome_Graves_disease		gut microbiome	none	high	AITD is not absent; it is unresolved pending thyroid-focused microbiome sources.
axis_03_microbiome	myasthenia gravis	unresolved	provisional	low	V8_axis_03_microbiome_myasthenia_gravis		gut microbiome	none	high	Unresolved, not far.
axis_03_microbiome	ankylosing spondylitis	near	provisional	low	V8_axis_03_microbiome_ankylosing_spondylitis		gut microbiome	literature_review	high	Near is biologically plausible gut-joint axis, but low confidence until disease-specific sources are added.
