axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_01_ifn_apc	rheumatoid arthritis	far	supported	medium	V8_axis_01_ifn_apc_rheumatoid_arthritis_1;V8_axis_01_ifn_apc_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Crohn disease	near	supported	medium	V8_axis_01_ifn_apc_Crohn_disease_1;V8_axis_01_ifn_apc_Crohn_disease_2		colon myeloid	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	ulcerative colitis	near	robust	high	V8_axis_01_ifn_apc_ulcerative_colitis_1;V8_axis_01_ifn_apc_ulcerative_colitis_2		colon myeloid	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_01_ifn_apc	psoriasis	near	supported	medium	V8_axis_01_ifn_apc_psoriasis_1;V8_axis_01_ifn_apc_psoriasis_2		skin APC	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	type 1 diabetes mellitus	near	supported	medium	V8_axis_01_ifn_apc_type_1_diabetes_mellitus_1;V8_axis_01_ifn_apc_type_1_diabetes_mellitus_2		pancreatic ductal cell	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Sjogren syndrome	near	supported	medium	V8_axis_01_ifn_apc_Sjogren_syndrome_1;V8_axis_01_ifn_apc_Sjogren_syndrome_2		salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Hashimoto thyroiditis	near	robust	high	V8_axis_01_ifn_apc_Hashimoto_thyroiditis_1;V8_axis_01_ifn_apc_Hashimoto_thyroiditis_2		thyroid tissue spots	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	Graves disease	far	provisional	low	V8_axis_01_ifn_apc_Graves_disease_1;V8_axis_01_ifn_apc_Graves_disease_2		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	celiac disease	intermediate	supported	medium	V8_axis_01_ifn_apc_celiac_disease_1;V8_axis_01_ifn_apc_celiac_disease_2		epithelial_like marker-classified duodenum	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_01_ifn_apc	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_01_ifn_apc	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	rheumatoid arthritis	far	provisional	low	V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1;V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Crohn disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_Crohn_disease_1;V8_axis_04_lipid_lysosomal_Crohn_disease_2		colon epithelial; colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	ulcerative colitis	near	provisional	medium	V8_axis_04_lipid_lysosomal_ulcerative_colitis_1;V8_axis_04_lipid_lysosomal_ulcerative_colitis_2		colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	psoriasis	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_psoriasis_1;V8_axis_04_lipid_lysosomal_psoriasis_2		skin keratinocyte	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	type 1 diabetes mellitus	near	supported	medium	V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_1;V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_2		pancreatic acinar cell; pancreatic ductal cell	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Sjogren syndrome	far	supported	medium	V8_axis_04_lipid_lysosomal_Sjogren_syndrome_1;V8_axis_04_lipid_lysosomal_Sjogren_syndrome_2		salivary gland APC; salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Hashimoto thyroiditis	near	provisional	medium	V8_axis_04_lipid_lysosomal_Hashimoto_thyroiditis_1		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Graves disease	far	provisional	low	V8_axis_04_lipid_lysosomal_Graves_disease_1		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
