axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_02_genetics	rheumatoid arthritis	intermediate	provisional	low	V8_axis_02_genetics_rheumatoid_arthritis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, ELMO1, FCRL3, GATA3, IFNGR2, IL12B, IL2RA, INAVA, IRF5, JAK1
axis_02_genetics	Crohn disease	intermediate	supported	medium	V8_axis_02_genetics_Crohn_LDSC_Yang2021;V8_axis_02_genetics_Crohn_disease		germline	genetic_correlation	medium	Verified LDSC source reports weaker MS-CD genetic correlation than MS-UC; placement is intermediate, not near. Proxy shared genes include: ANKRD55, BACH2, BATF, CD40, ELMO1, GALC, IFNGR2, IL12B
axis_02_genetics	ulcerative colitis	near	supported	medium	V8_axis_02_genetics_UC_LDSC_Yang2021;V8_axis_02_genetics_ulcerative_colitis		germline	genetic_correlation	medium	Verified LDSC source upgrades UC from target-overlap proxy to near supported on genetic architecture. Proxy shared genes include: BACH2, CD40, GALC, IFNGR2, IL12B, IL2RA, INAVA, IRF5
axis_02_genetics	systemic lupus erythematosus	intermediate	provisional	low	V8_axis_02_genetics_systemic_lupus_erythematosus		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, CD58, CLEC16A, FCRL3, GFI1, IL12A, IL12B, IL2RA, IL7R, IRF5
axis_02_genetics	psoriasis	intermediate	provisional	low	V8_axis_02_genetics_psoriasis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, ELMO1, HHEX, IFNGR2, IL12B, IL2RA, IL7R, INAVA, IRF5, RGS14
axis_02_genetics	type 1 diabetes mellitus	intermediate	provisional	low	V8_axis_02_genetics_type_1_diabetes_mellitus		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CLEC16A, CTSH, GATA3, HHEX, IL2RA, IL7R, RGS1, TAGAP, ZFP36L1
axis_02_genetics	Sjogren syndrome	far	provisional	low	V8_axis_02_genetics_Sjogren_syndrome		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: IRF5, STAT4
axis_02_genetics	Hashimoto thyroiditis	intermediate	provisional	low	V8_axis_02_genetics_Hashimoto_thyroiditis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: BACH2, CD40, FCRL3, IL2RA, IL7R, IRF5, JAK1, MAF, RBM17, STAT4, TAGAP, TCF7
axis_02_genetics	Graves disease	intermediate	provisional	low	V8_axis_02_genetics_Graves_disease		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: BACH2, CD40, FCRL3, IL2RA, IL7R, IRF5, JAK1, MAF, RBM17, STAT4, TAGAP, TCF7
axis_02_genetics	celiac disease	intermediate	provisional	low	V8_axis_02_genetics_celiac_disease		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: BACH2, ELMO1, IL12A, IL2RA, PUS10, RGS1, STAT4, TAGAP
axis_02_genetics	myasthenia gravis	unresolved	provisional	low	V8_axis_02_genetics_myasthenia_gravis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: 
axis_02_genetics	ankylosing spondylitis	intermediate	provisional	low	V8_axis_02_genetics_ankylosing_spondylitis		germline	genetic	high	OpenTargets target-overlap proxy; shared genes include: ANKRD55, BACH2, CD40, IFNGR2, IL2RA, INAVA, IRF5, SP140, TNFRSF1A
