evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_02_genetics_rheumatoid_arthritis	axis_02_genetics	rheumatoid arthritis	germline	OpenTargets_genetic_association_overlap	RA	shared_with_MS=22; jaccard=0.070	MS_genetic_targets=73; disease_genetic_targets=262		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=22	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Crohn_disease	axis_02_genetics	Crohn disease	germline	OpenTargets_genetic_association_overlap	Crohn	shared_with_MS=19; jaccard=0.077	MS_genetic_targets=73; disease_genetic_targets=193		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=19	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Crohn_LDSC_Yang2021	axis_02_genetics	Crohn disease	germline	LDSC_genetic_correlation	Yang et al. Nat Commun 2021; doi:10.1038/s41467-021-25768-0	MS-CD rg=0.16; MS-IBD rg=0.28	LDSC cross-trait genetic correlation; SMR/TWAS also performed in source study	source reports significant MS-IBD and weaker MS-CD than MS-UC	source-level LDSC/FDR; matrix placement pre-specified in MAP_METHODOLOGY_V8	summary statistics: MS=47,429; IBD=59,957; CD=40,266; UC=45,975 in source	genetic_correlation	intermediate	Genetic correlation does not prove shared causal variant or shared effector cell type.	https://www.nature.com/articles/s41467-021-25768-0
V8_axis_02_genetics_ulcerative_colitis	axis_02_genetics	ulcerative colitis	germline	OpenTargets_genetic_association_overlap	UC	shared_with_MS=12; jaccard=0.057	MS_genetic_targets=73; disease_genetic_targets=148		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=12	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_UC_LDSC_Yang2021	axis_02_genetics	ulcerative colitis	germline	LDSC_genetic_correlation	Yang et al. Nat Commun 2021; doi:10.1038/s41467-021-25768-0	MS-UC rg=0.33; MS-IBD rg=0.28	LDSC cross-trait genetic correlation; source highlights stronger MS-UC than MS-CD	source reports significant MS-IBD/MS-UC genetic correlation	source-level LDSC/FDR; matrix placement pre-specified in MAP_METHODOLOGY_V8	summary statistics: MS=47,429; IBD=59,957; CD=40,266; UC=45,975 in source	genetic_correlation	near	Genetic correlation does not prove shared causal variant or shared effector cell type.	https://www.nature.com/articles/s41467-021-25768-0
V8_axis_02_genetics_systemic_lupus_erythematosus	axis_02_genetics	systemic lupus erythematosus	germline	OpenTargets_genetic_association_overlap	SLE	shared_with_MS=19; jaccard=0.098	MS_genetic_targets=73; disease_genetic_targets=140		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=19	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_psoriasis	axis_02_genetics	psoriasis	germline	OpenTargets_genetic_association_overlap	Psoriasis	shared_with_MS=15; jaccard=0.071	MS_genetic_targets=73; disease_genetic_targets=152		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=15	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_type_1_diabetes_mellitus	axis_02_genetics	type 1 diabetes mellitus	germline	OpenTargets_genetic_association_overlap	T1D	shared_with_MS=11; jaccard=0.065	MS_genetic_targets=73; disease_genetic_targets=107		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=11	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Sjogren_syndrome	axis_02_genetics	Sjogren syndrome	germline	OpenTargets_genetic_association_overlap	Sjogren	shared_with_MS=2; jaccard=0.024	MS_genetic_targets=73; disease_genetic_targets=13		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=2	genetic	far	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Hashimoto_thyroiditis	axis_02_genetics	Hashimoto thyroiditis	germline	OpenTargets_genetic_association_overlap	AITD	shared_with_MS=12; jaccard=0.059	MS_genetic_targets=73; disease_genetic_targets=143		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=12	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_Graves_disease	axis_02_genetics	Graves disease	germline	OpenTargets_genetic_association_overlap	AITD	shared_with_MS=12; jaccard=0.059	MS_genetic_targets=73; disease_genetic_targets=143		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=12	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_celiac_disease	axis_02_genetics	celiac disease	germline	OpenTargets_genetic_association_overlap	Celiac	shared_with_MS=8; jaccard=0.071	MS_genetic_targets=73; disease_genetic_targets=47		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=8	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_myasthenia_gravis	axis_02_genetics	myasthenia gravis	germline	OpenTargets_genetic_association_overlap		shared_with_MS=0; jaccard=0.000	MS_genetic_targets=73; disease_genetic_targets=0		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=0	genetic	unresolved	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
V8_axis_02_genetics_ankylosing_spondylitis	axis_02_genetics	ankylosing spondylitis	germline	OpenTargets_genetic_association_overlap	AS	shared_with_MS=9; jaccard=0.058	MS_genetic_targets=73; disease_genetic_targets=91		threshold genetic_association>=0.5; no LDSC/coloc	targets_shared=9	genetic	intermediate	Target-overlap proxy, not genome-wide genetic correlation or colocalization.	results_v3/wave55_external_genetics_druggability_sweep/opentargets_associated_targets_raw.tsv
