evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_04_lipid_lysosomal_multiple_sclerosis_1	axis_04_lipid_lysosomal	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.4784; hedges_g=1.379; support=strong	module=lipid_loader_repair; p=0.005282; fdr=0.01916; strong	0.0052818132	axis-local FDR=0.019156967	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_multiple_sclerosis_2	axis_04_lipid_lysosomal	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.5131; hedges_g=0.947; support=supportive	module=lysosomal_apc; p=0.04134; fdr=0.09645; supportive	0.041336474	axis-local FDR=0.096451773	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1	axis_04_lipid_lysosomal	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=0.01256; hedges_g=0.2628; support=positive_null	module=lipid_loader_repair; p=0.4258; fdr=0.5514; positive_null	0.42576943	axis-local FDR=0.55139816	case=18; control=18	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2	axis_04_lipid_lysosomal	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.008564; hedges_g=-0.06682; support=null_or_negative	module=lysosomal_apc; p=0.8388; fdr=0.8753; null_or_negative	0.83882706	axis-local FDR=0.8752978	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Crohn_disease_1	axis_04_lipid_lysosomal	Crohn disease	colon epithelial	single_cell_or_single_nucleus_h5ad	ibd_crohn_epithelial	delta=0.06556; hedges_g=1.522; support=trend	module=lipid_loader_repair; p=0.03256; fdr=0.1192; trend	0.032555821	axis-local FDR=0.11918741	case=6; control=6	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Crohn_disease_2	axis_04_lipid_lysosomal	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.1325; hedges_g=0.9274; support=positive_null	module=lysosomal_apc; p=0.1265; fdr=0.276; positive_null	0.12651038	axis-local FDR=0.27602264	case=6; control=6	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_ulcerative_colitis_1	axis_04_lipid_lysosomal	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.2479; hedges_g=1.66; support=supportive	module=lysosomal_apc; p=0.01493; fdr=0.08718; supportive	0.014934283	axis-local FDR=0.087183925	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_ulcerative_colitis_2	axis_04_lipid_lysosomal	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.1202; hedges_g=0.9067; support=positive_null	module=lipid_loader_repair; p=0.1213; fdr=0.2674; positive_null	0.1213084	axis-local FDR=0.26737363	case=6; control=6	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_psoriasis_1	axis_04_lipid_lysosomal	psoriasis	skin keratinocyte	single_cell_or_single_nucleus_h5ad	psoriasis_keratinocyte	delta=0.2035; hedges_g=2.519; support=trend	module=lysosomal_apc; p=0.0555; fdr=0.1557; trend	0.055496712	axis-local FDR=0.15567909	case=3; control=3	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_psoriasis_2	axis_04_lipid_lysosomal	psoriasis	skin keratinocyte	single_cell_or_single_nucleus_h5ad	psoriasis_keratinocyte	delta=0.1616; hedges_g=1.154; support=positive_null	module=lipid_loader_repair; p=0.1767; fdr=0.3279; positive_null	0.17674909	axis-local FDR=0.32786143	case=3; control=3	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
