axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_06_tcell_adaptive_repertoire	psoriasis	near	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_psoriasis_1		skin/blood	clinical_perturbation/literature	high	Near for Th17/adaptive axis, not for CNS tissue injury or treatment-response architecture.
axis_06_tcell_adaptive_repertoire	Crohn disease	intermediate	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_Crohn_disease_2		intestinal mucosa	clinical_perturbation/literature	high	Intermediate because adaptive axis overlaps but intervention direction differs by tissue/barrier context.
axis_06_tcell_adaptive_repertoire	ulcerative colitis	intermediate	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_ulcerative_colitis_3		intestinal mucosa	clinical_perturbation/literature	high	Intermediate rather than near because barrier-tissue constraints dominate intervention consequences.
axis_06_tcell_adaptive_repertoire	rheumatoid arthritis	intermediate	provisional	low	V8_axis_06_tcell_adaptive_repertoire_rheumatoid_arthritis_4		synovium/blood	literature	high	Compartment likely matters; synovial adaptive states are not captured by V7 blood failures.
axis_06_tcell_adaptive_repertoire	type 1 diabetes mellitus	near	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_type_1_diabetes_mellitus_5		pancreatic islets/blood	genetic/literature	high	Near on adaptive specificity, not on microbiome age-window or tissue repair biology.
axis_08_tissue_repair_resolution	Crohn disease	near	supported	medium	V8_axis_08_tissue_repair_resolution_Crohn_disease_6		intestinal mucosa	treatment_perturbation	medium	Near on response-monitoring/repair dynamics, not on remyelination biology.
axis_08_tissue_repair_resolution	ulcerative colitis	near	supported	medium	V8_axis_08_tissue_repair_resolution_ulcerative_colitis_7		intestinal mucosa	treatment_perturbation	medium	UC baseline prediction is contradictory; dynamic repair monitoring is the near placement.
axis_08_tissue_repair_resolution	rheumatoid arthritis	far	supported	medium	V8_axis_08_tissue_repair_resolution_rheumatoid_arthritis_8		blood/synovium	treatment_perturbation	medium	Far for blood response-monitoring architecture; RA synovial tissue repair remains less tested.
axis_08_tissue_repair_resolution	psoriasis	intermediate	provisional	low	V8_axis_08_tissue_repair_resolution_psoriasis_9		skin	literature	high	Needs psoriasis biologic response transcriptomics to upgrade.
axis_05_complement_innate	systemic lupus erythematosus	near	provisional	medium	V8_axis_05_complement_innate_systemic_lupus_erythematosus_10		blood/kidney/immune-complex tissue	mechanistic/literature	high	Near on complement/innate-effector axis only; SLE is not globally near MS.
axis_05_complement_innate	rheumatoid arthritis	intermediate	provisional	low	V8_axis_05_complement_innate_rheumatoid_arthritis_11		synovium/blood	literature	high	Synovium may be closer than blood; compartment-specific evidence needed.
