candidate	candidate_type	wave95_call	gate_ms_anchor	gate_ms_trend	gate_cross_disease_residual	gate_cell_resolved_response_or_transition	gate_response_specificity	gate_target_resolved_genetics_ge2	gate_broad_genetics_ge4	gate_real_perturbation_or_validated_model	gate_modality	gate_prior_not_blocked	gate_not_generic_or_closed	wave95_failures
SEL1L3	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	True	True	False	False	True	False	False	False	True	True	True	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
C15ORF48	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	True	True	False	False	False	False	False	False	True	True	True	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
PLEK2	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	True	True	False	False	False	False	False	False	True	True	True	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
CHI3L1	gene	NO_GO_PRIOR_ART_OR_SAFETY_BLOCKED	True	True	False	True	False	False	False	False	True	False	True	gate_cross_disease_residual;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model;gate_prior_not_blocked
NRCAM	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	False	True	False	False	True	False	False	False	True	True	True	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
CD58	gene	NO_GO_PRIOR_ART_OR_SAFETY_BLOCKED	True	True	False	False	False	True	False	False	True	False	True	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model;gate_prior_not_blocked
MFGE8	gene	PARK_WETLAB_KILL_TEST_ONLY	False	True	False	True	False	False	False	False	True	True	True	gate_ms_anchor;gate_cross_disease_residual;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
CD82	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	False	False	False	True	True	False	False	False	True	True	True	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
CD200	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	False	True	False	False	False	False	False	False	True	True	True	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
FXYD5	gene	PARK_WETLAB_KILL_TEST_ONLY	False	True	False	False	False	False	False	False	True	True	True	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
ROMO1	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	False	True	False	False	False	False	False	False	True	True	True	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
FPR2_ANXA1_BIASED_RESOLUTION	route	PARK_WETLAB_KILL_TEST_ONLY	False	False	False	False	True	False	False	False	True	True	True	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
CD300_RECEPTOR_SPECIFIC_TUNING	route	PARK_WETLAB_KILL_TEST_ONLY	False	False	False	False	True	False	False	False	True	True	True	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
P4HB	gene	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	False	False	False	False	False	False	False	False	True	True	True	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model
P2RX7	gene	NO_GO_PRIOR_ART_OR_SAFETY_BLOCKED	False	False	False	False	False	False	False	False	True	False	True	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model;gate_prior_not_blocked
