check	command
provenance_gate	scripts/v47_provenance_gate.py audit
external_record_schema	scripts/v47_external_record_schema_linter.py lint
relationship_vocabulary	scripts/v47_relationship_vocabulary_linter.py lint
external_record_uniqueness	scripts/v47_external_record_uniqueness_linter.py lint
external_markdown_index	scripts/v47_external_markdown_index_linter.py lint
external_verifiable_intake	scripts/v47_external_verifiable_intake_linter.py lint
public_index_crosslink	scripts/v48_public_index_crosslink_linter.py lint
public_index_freshness	scripts/v48_public_index_freshness_linter.py lint
external_layer_reader_brief_freshness	scripts/v48_external_layer_reader_brief_freshness_linter.py lint
ai_core_tooling_health_freshness	scripts/v48_ai_core_tooling_health_freshness_linter.py lint
rpt_availability_claim	scripts/v48_rpt_availability_claim_linter.py lint
model_lens_usage_boundary_freshness	scripts/v48_model_lens_usage_boundary_freshness_linter.py lint
source_locator_normalization	scripts/v48_source_locator_normalization_linter.py lint
source_terms_metadata	scripts/v48_source_terms_metadata_linter.py lint
source_terms_freshness	scripts/v48_source_terms_freshness_linter.py lint
source_terms_coverage_freshness	scripts/v48_source_terms_coverage_freshness_linter.py lint
high_priority_source_terms_packet_freshness	scripts/v48_high_priority_source_terms_packet_freshness_linter.py lint
high_priority_external_sourcing_plan_freshness	scripts/v48_high_priority_external_sourcing_plan_freshness_linter.py lint
high_priority_source_search_query_freshness	scripts/v48_high_priority_source_search_query_freshness_linter.py lint
high_priority_source_intake_checklist_freshness	scripts/v48_high_priority_source_intake_checklist_freshness_linter.py lint
source_intake_operator_quickstart_freshness	scripts/v48_source_intake_operator_quickstart_freshness_linter.py lint
external_claim_length	scripts/v48_external_claim_length_linter.py lint
governance_navigation_freshness	scripts/v48_governance_navigation_freshness_linter.py lint
preflight_summary_card_freshness	scripts/v48_preflight_summary_card_freshness_linter.py lint
convergence_executive_card_freshness	scripts/v48_convergence_executive_card_freshness_linter.py lint
support_contradiction_coverage	scripts/v48_support_contradiction_coverage_linter.py lint
contradiction_intake	scripts/v48_contradiction_intake_linter.py lint
relationship_matrix_data_dictionary_freshness	scripts/v48_relationship_matrix_data_dictionary_freshness_linter.py lint
contradiction_readiness_freshness	scripts/v48_contradiction_readiness_freshness_linter.py lint
contradiction_surveillance_freshness	scripts/v48_contradiction_surveillance_freshness_linter.py lint
unresolved_external_coverage_handoff_freshness	scripts/v48_unresolved_external_coverage_handoff_freshness_linter.py lint
convergence_matrix_coverage	scripts/v48_convergence_matrix_coverage_linter.py lint
future_grounding_queue_freshness	scripts/v48_future_grounding_queue_freshness_linter.py lint
resource_comparator_freshness	scripts/v48_resource_comparator_freshness_linter.py lint
convergence_status_vocabulary	scripts/v48_convergence_status_vocabulary_linter.py lint
project_finding_reference	scripts/v48_project_finding_reference_linter.py lint
source_domain_review_freshness	scripts/v48_source_domain_review_freshness_linter.py lint
source_domain_relationship_freshness	scripts/v48_source_domain_relationship_freshness_linter.py lint
source_domain_independence_freshness	scripts/v48_source_domain_independence_freshness_linter.py lint
source_url_duplicate_freshness	scripts/v48_source_url_duplicate_freshness_linter.py lint
external_synthesis_dependency_freshness	scripts/v48_external_synthesis_dependency_freshness_linter.py lint
evidence_boundary_glossary_freshness	scripts/v48_evidence_boundary_glossary_freshness_linter.py lint
v37_coverage_freshness	scripts/v48_v37_coverage_freshness_linter.py lint
v37_uncovered_rationale_freshness	scripts/v48_v37_uncovered_rationale_freshness_linter.py lint
v37_gap_priority_freshness	scripts/v48_v37_gap_priority_freshness_linter.py lint
decision_relevant_convergence_freshness	scripts/v48_decision_relevant_convergence_freshness_linter.py lint
convergence_source_independence_freshness	scripts/v48_convergence_source_independence_freshness_linter.py lint
governance_failure_mode_freshness	scripts/v48_governance_failure_mode_freshness_linter.py lint
