scenario	step_order	phase	source_artifact	operator_observation	allowed_next_action	command_or_artifact	safe_class	report_skeleton_path	score_values_read	status
scoreable_canonical_pre_result	1	receipt_manifest	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	Receipt manifest schema status is `PASS` with `0` schema failures.	Stop for manifest repair if schema failed; otherwise continue to package-shape and command-plan branch.	.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest analysis/v46_receipt_manifest_to_command_plan_handoff/synthetic_manifests/scored_canonical_to_plan.tsv --terms-class AGGREGATE_ONLY_LOCAL_PREFLIGHT --outdir analysis/v46_receipt_manifest_to_command_plan_handoff/scored_canonical_to_plan/package_manifest_shape --fail-on-error			false	PASS
scoreable_canonical_pre_result	2	first30_status_board	analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun.tsv	Status board route is `ROUTE_READY_FOR_GATED_REVIEW`; blocker is `none`.	Returned package is in pre-result gated review; no validation interpretation is available yet.	.venv/bin/python scripts/v46_returned_package_command_order_planner.py plan --cohort-token <cohort>_<date> --package-root <returned_package_dir> --terms-capture <terms_capture_tsv> --terms-class <terms_class> --package-kind author_run_aggregate --package-state <package_state> --metric-format-state <metric_format_state> --outdir analysis/v46_returned_package_command_order_planner/<cohort>_<date> --expect-status <PASS_or_BLOCKED>			false	PASS
scoreable_canonical_pre_result	3	safe_class_report_readiness	analysis/v46_safe_class_report_template_readiness/safe_class_report_template_map.tsv	Safe class `ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION` maps to report mode `RESULT_SKELETON_ALLOWED_AFTER_GATES`.	Mechanical V42 interpretation skeleton is available.	analysis/v46_safe_class_report_template_readiness/fixtures/eligible_for_preregistered_interpretation.md	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION		false	PASS
scoreable_canonical_pre_result	4	report_skeleton	analysis/v46_returned_package_regression_suite/operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	Report skeleton contains the required locked-rule provenance header before any body text.	A locked-rule report skeleton can be prepared after gates, but this transcript fixture does not populate any result fields.	analysis/v46_returned_package_regression_suite/operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	analysis/v46_returned_package_regression_suite/operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	false	PASS
unscoreable_aggregate_repair_path	1	receipt_manifest	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	Receipt manifest schema status is `PASS` with `0` schema failures.	Stop for manifest repair if schema failed; otherwise continue to package-shape and command-plan branch.	.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest analysis/v46_receipt_manifest_to_command_plan_handoff/synthetic_manifests/unscoreable_author_run_aggregate_to_preflight_only.tsv --terms-class AUTHOR_RUN_ONLY --outdir analysis/v46_receipt_manifest_to_command_plan_handoff/unscoreable_author_run_aggregate_to_preflight_only/package_manifest_shape --fail-on-error			false	PASS
unscoreable_aggregate_repair_path	2	first30_status_board	analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun.tsv	Status board route is `UNSCOREABLE_AGGREGATE_PREFLIGHT`; blocker is `missing or unscoreable aggregate outputs`.	Returned package is not result-reviewable unless required aggregate outputs are supplied.	.venv/bin/python scripts/v45_author_run_return_gate_runner.py run --root <returned_or_normalized_package_dir> --package-state <package_state> --outdir analysis/v45_author_run_return_gate_runner/<cohort>_<date> --fail-on-error			false	PASS
unscoreable_aggregate_repair_path	3	safe_class_report_readiness	analysis/v46_safe_class_report_template_readiness/safe_class_report_template_map.tsv	Safe class `BLOCKED_COMPLETENESS` maps to report mode `STOP_ONLY`.	Required aggregate outputs are missing.	analysis/v46_safe_class_report_template_readiness/fixtures/blocked_completeness.md	BLOCKED_COMPLETENESS		false	PASS
unscoreable_aggregate_repair_path	4	report_skeleton	analysis/v46_returned_package_regression_suite/operator_transcript_fixture/report_skeletons/unscoreable_aggregate_repair_path.md	Report skeleton contains the required locked-rule provenance header before any body text.	A stop-only report skeleton can be prepared; missing aggregate outputs must be repaired before interpretation.	analysis/v46_returned_package_regression_suite/operator_transcript_fixture/report_skeletons/unscoreable_aggregate_repair_path.md	BLOCKED_COMPLETENESS	analysis/v46_returned_package_regression_suite/operator_transcript_fixture/report_skeletons/unscoreable_aggregate_repair_path.md	false	PASS
terms_blocked_no_package_review	1	receipt_manifest	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	Receipt manifest schema status is `PASS` with `0` schema failures.	Stop for manifest repair if schema failed; otherwise continue to package-shape and command-plan branch.	.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest analysis/v46_receipt_manifest_to_command_plan_handoff/synthetic_manifests/terms_blocked_after_shape.tsv --terms-class NO_PROCESSING_ALLOWED --outdir analysis/v46_receipt_manifest_to_command_plan_handoff/terms_blocked_after_shape/package_manifest_shape --fail-on-error			false	PASS
terms_blocked_no_package_review	2	first30_status_board	analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun.tsv	Status board route is `BLOCKED_TERMS_OR_RECEIPT`; blocker is `terms or receipt clearance missing`.	Returned package is blocked at terms or receipt clearance; no package review is permitted yet.	.venv/bin/python scripts/v46_return_repair_request_templates.py --outdir analysis/v46_return_repair_request_templates --fail-on-error			false	PASS
