topic	citation	url	note
IFN-gamma mediator kinase mechanism	Steinparzer et al., Molecular Cell 2019	https://www.sciencedirect.com/science/article/pii/S1097276519305891	CDK8 kinase activity promotes RNAPII pause release; CA and genetic perturbations suppress broad IFN-gamma programs.
CDK8 STAT1 mechanism	Bancerek et al., Immunity 2013	https://pmc.ncbi.nlm.nih.gov/articles/PMC3580287/	CDK8 phosphorylates STAT1 S727 and regulates >40% of IFN-gamma response genes; BMDM evidence.
Myeloid IL-10	Johannessen et al., Nature Chemical Biology 2017	https://pmc.ncbi.nlm.nih.gov/articles/PMC5693369/	BRD6989 and CDK8/19 inhibitors increase IL-10 in activated mouse and human dendritic cells via AP-1/c-Jun.
Treg/EAE autoimmune	Akamatsu/Frontiers Immunology 2019	https://pmc.ncbi.nlm.nih.gov/articles/PMC6736578/	CCT251921 and Senexin A promote Treg differentiation and ameliorate EAE.
IBD medicinal chemistry	Yan et al., Journal of Medicinal Chemistry 2022	https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00356	Novel CDK8 inhibitor compound 85 raises IL-10 and is active in an IBD model.
Down syndrome hyperactive IFN	Cozzolino et al., eLife 2024	https://pmc.ncbi.nlm.nih.gov/articles/PMC10349994/	Cortistatin A suppresses IFN-response genes in T21 lymphoblastoid cells and alters cytokines/splicing/metabolism.
Probe potency	Chemical Probes Portal CCT251921	https://www.chemicalprobes.org/cct251921	CDK8/19 potency, selectivity, cellular activity, preclinical PK.
Probe potency	Chemical Probes Portal Cortistatin A	https://www.chemicalprobes.org/cortistatin	Potent/selective CDK8/19 probe details.
Probe potency	Chemical Probes Portal MSC2530818	https://www.chemicalprobes.org/msc2530818	CDK8/19 potency and selectivity details.
Toxicity analysis	Chen et al., Cells 2019	https://www.mdpi.com/2073-4409/8/11/1413	CCT251921/MSC2530818 toxicity not generally attributable to CDK8/19 target inhibition; off-target caution.
Patents	US11285144B2 / WO2018027082A1	https://patents.google.com/patent/US11285144B2/en	CDK8 inhibitors for inflammation/autoimmune disease, IL-10, Tregs.
Clinical trials	ClinicalTrials.gov search/API	https://clinicaltrials.gov/search?term=CDK8%20CDK19	No autoimmune CDK8/19 trials found; RVU120/BCD-115 are oncology/hematology.
