gene	comparator	region	region_class	nominal_PP.H4	nominal_PP.H3	min_sensitivity_PP.H4	median_sensitivity_PP.H4	max_sensitivity_PP.H4	top_shared_snp	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_qtl_h4	max_qtl_h4	qtl_direction_proxy_values	same_gene_cellstate_score	same_gene_cellstate_gate	positive_c15_contexts	best_c15_context	chembl_target_id	druggable_activity_count	manual_blocker	landscape_score
GPR25	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		5.0	AS;Crohn;MS;PBC;UC	0.9847496994070367	0.9901204653821621	AS:blood:-0.016;AS:blood:0.0391;Crohn:blood:0.0309;MS:blood:0.116;PBC:blood:0.0368;UC:blood:-0;UC:blood:0.0133;UC:blood:0.0149	1.5	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	7.4956403389033435
CACNA1S	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		3.0	Crohn;MS;UC	0.8507290701855029	0.9653196137115414		2.0999999999999996	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	7.108339487232722
ZMIZ1	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		4.0	AS;Celiac;Crohn;Psoriasis	0.0	0.9939460009861701	Crohn:blood:0.0416;Psoriasis:blood:0.0258;Psoriasis:blood:0.0296	-1.2999999999999998	False	ibd_crohn_myeloid	ibd_crohn_myeloid		0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	7.089290025763579
LAD1	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					4.4	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		6.186769873521182
PPIF	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0		0.0	0.0		2.5	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.032844024777408
DDX59	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	1.0	Celiac	0.0		0.0	0.0		0.20000000000000018	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.624269873521182
KIF21B	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	1.0	UC	0.0		0.0	0.0		-0.8999999999999999	False	t1d_stellate_cell	t1d_stellate_cell		0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.555519873521181
CAMSAP2	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	1.0	T1D	0.0		0.0	0.0		-2.3	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.486769873521181
ZCCHC24	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0					1.7	False	t1d_ductal_cell	t1d_ductal_cell		0.0		5.482844024777409
TMEM9	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.4	False	t1d_endothelial_cell	t1d_endothelial_cell		0.0		5.436769873521182
