gene	route	class	desired_effect	modality	manual_modality_ready	manual_prior_blocked	manual_safety_blocked	manual_direction_clear	manual_note	raw_positive_disease_count	raw_negative_disease_count	raw_positive_diseases	raw_negative_diseases	raw_fdr10_positive_disease_count	raw_fdr10_negative_disease_count	ms_delta_log2	ms_p	ms_fdr	broad_resid_positive_disease_count	broad_resid_negative_disease_count	retained_positive_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave55_n_genetic_diseases_ge_0_25	wave55_genetic_diseases_ge_0_25	wave55_ms_genetic_association	wave55_direct_evidence_calls	wave62_call	wave62_manual_blocker	wave62_prior_context_blocker	wave62_strong_l2g_disease_count	wave62_strong_l2g_diseases	wave62_strong_qtl_coloc_disease_count	wave62_strong_qtl_coloc_diseases	wave62_relevant_qtl_coloc_disease_count	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	wave68_best_cell_state	wave68_remission_adjusted_delta	wave68_remission_adjusted_p	wave68_remission_adjusted_fdr	wave68_call	wave37_screen_call	wave37_contrast_lfc	wave37_contrast_fdr	wave18_recommendation	wave18_support_contexts	wave18_strong_support_contexts	wave18_direct_evidence_call	wave96_c15_positive_disease_count	wave96_c15_negative_context_count	wave96_c15_state_pearson_r	wave96_c15_state_pearson_p	wave96_donor_case_positive_disease_count	wave28_gate_call	wave28_hard_failures	wave28_target_first_score	wave28_l1000_non_no_go	wave28_chembl_activity_records	wave28_manual_prior_risk	wave28_manual_blocker	class_l1000_metadata_rows	class_l1000_unique_pert_ids	class_l1000_top_hit_rows_matching_terms	class_l1000_top_hit_rows_matching_core_compounds	class_l1000_core_compounds_present_in_top_hits	gpr65_prior_branch_call	gate_ms_expression_anchor	gate_cross_disease_cellstate	gate_target_resolved_breadth	gate_broad_genetics_proxy	gate_ms_genetic_anchor	gate_real_perturbation	gate_response_association	gate_foundation_support	gate_l1000_class_reversal	gate_actionable_modality	gate_prior_not_blocking	gate_direction_clear	gate_safety_not_blocking	gate_any_perturbation_or_model	support_gate_count	critical_gate_count	missing_critical_gates	wave100_call	wave100_priority_score
ADCY3	ADCY3_positive_modulation	adenylyl_cyclase_generation	increase local cAMP production if reduced ADCY3 activity is causal	no ADCY3-selective clinical positive modulator identified in local evidence	False	False	False	False	nominal MS expression and broad genetics make it a biology clue, but gene-high disease expression is not proof that activation is beneficial	0	1		type 1 diabetes mellitus	0	0	0.94176061116719	0.005839364997926	0.8344760564031432	0.0	0.0	0.0	0.0		5.0	AS;Crohn;Psoriasis;RA;UC	0.0		NO_GO_WAVE62_TARGET_RESOLUTION			2.0	Crohn;Psoriasis	2.0	Crohn;Psoriasis	2.0	0.0	0.0	Mono_macro		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2103834430680763	0.9971256078463696		0.0	0.0		0.0	4.0	-0.578727744166901	0.0149332612604233	2.0				False	0.0			85	34	2	0			True	False	False	True	False	False	False	False	False	False	True	False	True	False	4	3	cross_disease_cellstate;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;actionable_modality;direction_clear	NO_GO_NO_SELECTIVE_ACTIONABLE_MODALITY	14.0
HCAR3	HCAR3_agonism	hydroxycarboxylic_acid_gpcr	agonize HCAR3 if it controls myeloid lipid-inflammatory state	GPCR route plausible but less mature than HCAR2	False	False	False	False	less prior-crowded than HCAR2 but lacks disease-cell, MS, genetics, and perturbation support	3	1	Crohn disease;Sjogren syndrome;ulcerative colitis	psoriasis	0	0	0.1709593568318723	0.7114553432380333	0.9669212366619434	0.0	0.0	0.0	0.0		0.0		0.0					0.0		0.0		0.0	0.0	0.0	DC		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL			1.0		0.0	0.0		3.0	0.0	0.8068794408345789	0.0085792745640071	1.0				False	0.0			85	34	2	0			False	True	False	False	False	False	False	False	False	False	True	False	True	False	3	3	ms_expression_anchor;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;actionable_modality;direction_clear	NO_GO_NO_SELECTIVE_ACTIONABLE_MODALITY	11.0
PTGER4	EP4_contextual_modulation	prostanoid_gpcr_cAMP	context-specific EP4 signaling modulation	EP4 ligands exist	True	True	False	False	excellent genetics but prostaglandin direction is tissue-dependent and prior V3 marked EP4 direction/prior art as blocking	2	3	Crohn disease;type 1 diabetes mellitus	Crohn disease;psoriasis;ulcerative colitis	0	1	0.272141637998347	0.3034072589589571	0.9075477698307116	0.0	0.0	0.0	0.0		9.0	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	0.0		PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	EP4_directionality_prior_art_conflicted	prior_branch_blocker_or_directionality_unresolved	5.0	Crohn;MS;Psoriasis;T1D;UC	3.0	Crohn;MS;UC	3.0	0.5558526515960693	0.9291922636901228	Mono_macro		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0338403481132347	1.0		0.0	0.0		1.0	0.0	0.3354099906129302	0.1881373504135206	0.0	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-7.25	False	2200.0	high	Eicosanoid/prostanoid route was already rejected as generic and directionally unstable.	85	34	2	0			False	False	True	True	True	False	False	False	False	True	False	False	True	False	5	4	ms_expression_anchor;cross_disease_cellstate;any_perturbation_or_model;prior_not_blocking;direction_clear	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	13.0
GPR65	GPR65_acidic_tissue_cAMP_PAM	acid_sensing_gpcr	positive allosteric modulation or agonism at acidic inflammatory pH	GPCR small molecule agonist/PAM feasible	True	True	False	False	prior V3 GPR65 audit found direct autoimmune/IBD prior art and weak or contradictory local disease-cell support	1	3	Sjogren syndrome	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0.09040507812532	0.6241465917972195	0.9490245393797272	0.0	0.0	0.0	0.0		5.0	AS;Crohn;Psoriasis;RA;UC	0.0		PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		prior_branch_blocker_or_directionality_unresolved	2.0	AS;MS	1.0	MS	1.0	0.6238155364990234	0.982319288825745	DC		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1363570753388885	1.0	do_not_promote	0.0	0.0		1.0	1.0	-0.2111057153478096	0.4500977967754757	0.0	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-2.5	False	99.0	high	Best genetics/druggability near-miss but local module support and disease-direction resolution remain weak; IBD prior art is direct.	85	34	2	0		NO_GO_GPR65_PRIOR_ART_AND_LOCAL_CELLSTATE_MISMATCH	False	False	False	True	True	False	False	False	False	True	False	False	True	False	4	3	ms_expression_anchor;cross_disease_cellstate;target_resolved_breadth;any_perturbation_or_model;prior_not_blocking;direction_clear	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	9.0
FFAR2	FFAR2_SCFA_receptor_modulation	microbial_metabolite_gpcr_cAMP	modulate SCFA receptor signaling in inflammatory myeloid cells	GPCR/metabolite route plausible	True	True	False	False	microbiome/SCFA autoimmunity is crowded and local target-level support is absent	3	1	Crohn disease;psoriasis;ulcerative colitis	Crohn disease	0	0	-0.2826334061654503	0.7481241345994041	0.9703288564909704	0.0	0.0	0.0	0.0		0.0		0.0					0.0		0.0		0.0	0.0	0.0	Mono_macro	-2.911919545711659	8.0936183044993e-05	0.0070807905446479	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.24967449168649	0.9971256078463696		0.0	0.0		2.0	0.0	0.564960849818348	0.0352803925636954	0.0				False	0.0			85	34	2	0			False	True	False	False	False	False	True	False	False	True	False	False	True	False	4	3	ms_expression_anchor;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;prior_not_blocking;direction_clear	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	8.0
PDE4B	PDE4B_selective_inhibition	cAMP_degradation_blockade	raise cAMP by inhibiting PDE4B in inflammatory myeloid cells	PDE4 inhibitor chemistry exists; isoform-selective disease delivery unresolved	True	True	True	True	reachable pharmacology but class is crowded and local MS direction is not disease-high	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		1	0	-0.429544411286491	0.2820953249716317	0.9055783835864206	3.0	0.0	3.0	0.0	psoriasis_skin_stromal|hif_nampt_metabolic:0.481,p=0.00095;psoriasis_skin_stromal|inflammatory_nfkb:0.508,p=0.0037;ibd_crohn_myeloid|hla_ii_apc:0.861,p=0.0037;ibd_uc_myeloid|hla_ii_apc:0.736,p=0.0037;ibd_uc_myeloid|lipid_loader_repair:0.549,p=0.0039;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.465,p=0.0055;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.784,p=0.0056;psoriasis_skin_stromal|lipid_loader_repair:0.504,p=0.012	0.0		0.0					0.0		0.0		0.0	0.0	0.0	DC	-0.4438266352877756	0.0428635979099422	0.0582675601058304	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.6283371965963962	0.9971256078463696		0.0	0.0		3.0	0.0	0.0479908000289	0.8548735950730854	0.0	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.5	False	3847.0	high	Prior local PDE4/LINCS audit did not support a strong reversal signal; PDE4 is clinically/prior-art saturated in psoriasis/IBD.	85	34	2	0			False	True	False	False	False	False	True	False	False	True	False	True	False	False	4	3	ms_expression_anchor;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;prior_not_blocking;safety_not_blocking	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	7.0
PDE4D	PDE4D_selective_or_sparing_inhibition	cAMP_degradation_blockade	raise cAMP while avoiding PDE4D-emesis liabilities	PDE4 chemistry exists; selectivity and tolerability are limiting	True	True	True	True	accessible but not supported by local MS/cross-disease signal and has known class liabilities	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	0	0.0249633764705032	0.9730170701178064	0.9978591419243252	3.0	0.0	2.0	0.0	psoriasis_skin_stromal|inflammatory_nfkb:0.35,p=0.0035;psoriasis_skin_stromal|hif_nampt_metabolic:0.328,p=0.0035;psoriasis_skin_stromal|lipid_loader_repair:0.36,p=0.0067;ibd_uc_myeloid|hla_ii_apc:0.31,p=0.017;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.344,p=0.021;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.232,p=0.035;ibd_uc_myeloid|lipid_loader_repair:0.24,p=0.036;psoriasis_keratinocyte|inflammatory_nfkb:0.266,p=0.05	0.0		0.0					0.0		0.0		0.0	0.0	0.0	DC		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1750459418473595	1.0		0.0	0.0		1.0	0.0	0.2587742767127392	0.3159077081336217	0.0	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.0	False	3788.0	high	PDE4D selectivity does not solve weak local module reversal and class prior-art saturation.	85	34	2	0			False	True	False	False	False	False	False	False	False	True	False	True	False	False	3	3	ms_expression_anchor;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;prior_not_blocking;safety_not_blocking	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	6.0
HCAR2	HCAR2_agonism	hydroxycarboxylic_acid_gpcr	agonize HCAR2/GPR109A-like anti-inflammatory signaling	niacin/fumarate-adjacent pharmacology exists	True	True	False	True	route is crowded by niacin/fumarate-adjacent MS and inflammatory literature and lacks local disease-state support	2	1	Crohn disease;ulcerative colitis	psoriasis	1	0	-0.0848985387310872	0.8285648340862942	0.9761732664217524	0.0	0.0	0.0	0.0		0.0		0.0					0.0		0.0		0.0	0.0	0.0	Mono_macro		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.5439561599170921	0.9971256078463696		0.0	0.0		2.0	0.0	0.8829115823076907	0.0003171624513119	0.0				False	0.0			85	34	2	0			False	False	False	False	False	False	False	False	False	True	False	True	True	False	3	3	ms_expression_anchor;cross_disease_cellstate;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;prior_not_blocking	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	6.0
ADORA2A	A2A_adenosine_agonism	purinergic_gpcr_cAMP	agonize anti-inflammatory adenosine receptor signaling	adenosine receptor agonists exist	True	True	True	True	anti-inflammatory logic is known but broad cardiovascular/CNS and immunosuppressive liabilities block a cross-autoimmune claim here	1	0	psoriasis		0	0	-0.8775402141675563	0.3603904242522068	0.9141270983319502	0.0	0.0	0.0	0.0		0.0		0.0					0.0		0.0		0.0	0.0	0.0	Mono_macro		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0272351649259693	1.0		0.0	0.0		0.0	0.0	0.9898527039453092	0.0101472960546906	0.0				False	0.0			85	34	2	0			False	False	False	False	False	False	False	False	False	True	False	True	False	False	2	2	ms_expression_anchor;cross_disease_cellstate;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;prior_not_blocking;safety_not_blocking	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	0.0
ADORA2B	A2B_adenosine_modulation	purinergic_gpcr_cAMP	modulate adenosine signaling in inflamed tissue	adenosine receptor ligands exist	True	True	True	False	A2B biology is context-dependent and not anchored in local MS/cross-disease signal	2	1	Crohn disease;ulcerative colitis	psoriasis	0	0	0.2661081326865118	0.8047203453750099	0.975894054372214	0.0	0.0	0.0	0.0		0.0		0.0					0.0		0.0		0.0	0.0	0.0	DC		1.0	1.0	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.3529220117300191	1.0		0.0	0.0		2.0	0.0	0.7644043025588674	0.0005642241364824	0.0				False	0.0			85	34	2	0			False	False	False	False	False	False	False	False	False	True	False	False	False	False	1	1	ms_expression_anchor;cross_disease_cellstate;target_resolved_breadth;ms_genetic_anchor;any_perturbation_or_model;prior_not_blocking;direction_clear;safety_not_blocking	NO_GO_PRIOR_ART_OR_BRANCH_BLOCKED	-3.0
