source	gene	wave39_call	wave39_score	wave39_reason	positive_disease_count	negative_disease_count	positive_diseases	has_ms_anchor	ms_wm_delta_log2	ms_wm_p	best_positive_p	best_positive_fdr	median_positive_hedges_g	top_positive_compartments	uniprot_status	uniprot_accession	protein_name	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_activity_count	chembl_best_standard_value_nM_returned	europepmc_hit_count	clinicaltrials_hit_count	family	n_delta_trend_or_better_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	go_no_go	demotion_or_support_reason	prior_flags	europepmc_url	clinicaltrials_url	chembl_url	google_patents_url	function_excerpt	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity	wave71_call	wave71_reason	meta_score	raw_channel_points	positive_channel_points	hard_no_channel_penalty	hard_block_penalty	soft_prior_penalty	text_prior_penalty	evidence_channel_count	positive_status_count	parked_status_count	hard_no_status_count	genetics_channel_count	perturbation_channel_count	modality_channel_count	expression_channel_count	reopener_channel_count	evidence_channels	hard_block_reason	soft_penalty_reason	top_calls	evidence_summary	blockers	source_waves
wave39_surfaceome	P4HB	NO_GO_SURFACEOME_RESCUE	16.5	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 702	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	False	-0.1078198500006752	0.5193269228408691	0.0001651252932294	0.0282149116521777	2.6711571512501857	ibd_uc_epithelial:1.11,p=0.00017;ibd_crohn_epithelial:1.01,p=0.00031;sjogren_gland_stromal:1.47,p=0.027;psoriasis_skin_apc:0.956,p=0.028	found	P07237	Protein disulfide-isomerase	Cell membrane;Endoplasmic reticulum;Endoplasmic reticulum lumen;Melanosome	3D-structure;Acetylation;Cell membrane;Chaperone;Craniosynostosis;Direct protein sequencing;Disease variant;Disulfide bond;Endoplasmic reticulum;Isomerase;Membrane;Osteogenesis imperfecta;Phosphoprotein;Proteomics identification;Redox-active center;Reference proteome;Repeat;Signal	True	True	0.0	found	CHEMBL5422	Protein disulfide-isomerase	702.0	3.0	402.0	0.0								https://europepmc.org/search?query=%22P4HB%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	https://clinicaltrials.gov/search?term=P4HB+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=P4HB	https://patents.google.com/?q=P4HB+autoimmune+antibody+inhibitor+agonist	This multifunctional protein catalyzes the formation, breakage and rearrangement of disulfide bonds. At the cell surface, seems to act as a reductase that cleaves disulfide bonds of proteins attached to the cell. May therefore cause structural modifications of exofacial proteins. Inside the cell, seems to form/rearrange disulfide bonds of nascent proteins. At high concentrations and following phosphorylation by FAM20C, functions as a chaperone that inhibits aggregation of misfolded proteins (PubMed:32149426). At low concentrations, facilitates aggregation (anti-chaperone activity). May be involved with other chaperones in the structural modification of the TG precursor in hormone biogenesis.																																																																				
wave39_surfaceome	SPNS1	NO_GO_SURFACEOME_RESCUE	10.0	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	False	-0.1044989193858096	0.4834570887940685	0.002552579203456	0.1202095769864437	1.3712897843397718	ibd_crohn_epithelial:1.07,p=0.0026;sjogren_gland_apc:0.892,p=0.022;ibd_crohn_myeloid:0.469,p=0.035;psoriasis_skin_stromal:0.635,p=0.037;t1d_ductal_cell:0.325,p=0.045	found	Q9H2V7	Protein spinster homolog 1	Lysosome membrane;Mitochondrion inner membrane	3D-structure;Acetylation;Alternative splicing;Lipid transport;Lysosome;Membrane;Mitochondrion;Mitochondrion inner membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	True	False	12.0	not_found_exact			0.0		55.0	0.0								https://europepmc.org/search?query=%22SPNS1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	https://clinicaltrials.gov/search?term=SPNS1+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SPNS1	https://patents.google.com/?q=SPNS1+autoimmune+antibody+inhibitor+agonist	Plays a critical role in the phospholipid salvage pathway from lysosomes to the cytosol (PubMed:36161949, PubMed:37075117). Mediates the rate-limiting, proton-dependent, lysosomal efflux of lysophospholipids, which can then be reacylated by acyltransferases in the endoplasmic reticulum to form phospholipids (PubMed:36161949, PubMed:37075117). Selective for zwitterionic headgroups such as lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), can also transport lysophosphatidylglycerol (LPG), but not other anionic lysophospholipids, sphingosine, nor sphingomyelin (PubMed:36161949). Transports lysophospholipids with saturated, monounsaturated, and polyunsaturated fatty acids, su																																																																				
wave39_surfaceome	SEL1L3	NO_GO_SURFACEOME_RESCUE	10.0	insufficient_breadth; reachable protein class by UniProt location/features	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	True	0.922501683138024	0.0181382735511015	0.0010368895881306	0.0851932372069878	1.807884168162816	ibd_uc_stromal:2.09,p=0.001;ibd_crohn_stromal:1.46,p=0.007;t1d_endothelial_cell:1.55,p=0.0076	found	Q68CR1	Protein sel-1 homolog 3	Membrane	Alternative splicing;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix	True	False	1.0																		https://patents.google.com/?q=SEL1L3+autoimmune+antibody+inhibitor+agonist																																																																					
wave62_target_resolution	CD58								0.1797564428759965	0.3110884246237163																																CD58 molecule	3.448185430270665	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			0.9513845443725586	MS	1.0	MS	1.0	MS	0.9513845443725586	b019fe75b51b088838b09c72216af801;60eccbb51a18714ae52e2d150431c093;255d4d28fee11d6c5a0a4fb1d35becf0	2.0	Crohn;MS	2.0	Crohn;MS	1.0	0.9968008858981062	0.9944626523267264	0.9944626523267264	CD14-positive, CD16-negative classical monocyte;blood plasma;lymphoblastoid cell line	Crohn:blood plasma:0.0326;MS:CD14-positive, CD16-negative classical monocyte:-0;MS:CD14-positive, CD16-negative classical monocyte:-0.0555;MS:blood plasma:-0;MS:blood plasma:-0.0555;MS:lymphoblastoid cell line:-0;MS:lymphoblastoid cell line:-0.0555;MS:lymphoblastoid cell line:0.0555;MS:lymphoblastoid cell line:0.163;MS:lymphoblastoid cell line:0.293	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.9095100064215184	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0		0.0				17.0	MS;PBC;SLE			0.0	0.0																									
wave62_target_resolution	IFI30								0.21016237009791	0.379946954952182																																IFI30 lysosomal thiol reductase	1.6470071574432383	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	direct_antigen_processing_host_defense_and_druggability		0.6501023173332214	MS	1.0	MS	1.0	MS	0.6501023173332214	d8042fac4818035ae4af8557e0cbf623;de33a8d331b36c85e3316c1161bd8dc3	3.0	Celiac;Crohn;MS	3.0	Celiac;Crohn;MS	1.0	0.9969048401100168	0.9959013728724722	0.9959013728724722	CD14-positive, CD16-negative classical monocyte	Celiac:blood plasma:-0.0106;Celiac:blood plasma:-0.0556;Celiac:blood plasma:-0.176;Crohn:blood plasma:0;MS:CD14-positive, CD16-negative classical monocyte:-0.0182;MS:CD14-positive, CD16-negative classical monocyte:-0.141	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.9141270983319502	True	1.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				0.0				0.0	0.0																									
wave62_target_resolution	SEL1L3								0.922501683138024	0.0181382735511015																																SEL1L family member 3	1.3175021708011627	NO_GO_WAVE62_TARGET_RESOLUTION			0.3175021708011627	RA	0.0		1.0	RA	0.0		0.0		0.0		0.0	0.0	0.0	0.0			3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.8372898579012464	False	1.0	0.0		0.0		0.0				4.0				0.0	0.0																									
wave62_target_resolution	SPNS1								-0.1044989193858096	0.4834570887940685																																SPNS lysolipid transporter 1, lysophospholipid	1.0555326528847218	NO_GO_WAVE62_TARGET_RESOLUTION			0.0555326528847217	RA	0.0		0.0		0.0		0.0		0.0		0.0	0.0	0.0	0.0			4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	0.926038761164836	False	1.0	0.0		0.0		0.0				0.0				0.0	0.0																									
wave71_meta	CD58																																																																																				NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	3.787943	6.346852	5.987943	0.7	0.0	0.0	1.5	4.0	0.0	4.0	1.0	4.0	1.0	2.0	1.0	0.0	external_genetics;genetics_expression_druggability;target_resolution;unrestricted_gene_screen			PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE; PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE; DESCRIPTIVE_GENE_SIGNAL; NO_GO_WAVE63_TRANSITION_CONTROLLER	CD58 molecule; MS; 1; 2; Crohn; 0.9513845443725586; 0.9944626523267264; Mono_macro; 1.0; 2.0; ...(+14)	gate_druggable_surface; gate_perturbation_or_model; cross_disease_target_resolved; broad_genetic_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; druggable_or_modality	wave34;wave55;wave62;wave63;wave68
wave71_meta	P4HB																																																																																				NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.261784	0.0	0.7	0.0	0.0	1.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0				NO_GO_CAUSAL_PROXY	0; 4	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	wave25
wave71_meta	SEL1L3																																																																																				NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.118811	0.0	0.7	0.0	0.0	1.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0				NO_GO_CAUSAL_PROXY	0; 1; 3	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	wave25
