checked_utc	row_number	status	matched_on	input_hit_id	input_locator	input_canonical_cluster	blocked_hit_id	blocked_canonical_cluster	blocked_safe_use	blocked_reason	open_gwas_used
2026-06-28T18:30:12+00:00	1	BLOCK_RECOUNT	hit_id	PMID39949773	https://europepmc.org/article/MED/39949773	apheresis_relapse_context	PMID39949773	apheresis_relapse_context	context_only	Adjacent relapse/aferesis/NMOSD context; no same-definition V22/V32 validation gates.	false
2026-06-28T18:30:12+00:00	2	BLOCK_RECOUNT	hit_id	GSE261258	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261258	ms_bcell_dysfunction_context	GSE261258	ms_bcell_dysfunction_context	context_only	MS B-cell biology context; no treatment-response labels or paired treatment timing visible.	false
2026-06-28T18:30:12+00:00	3	BLOCK_RECOUNT	hit_id	GSE239703	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239703	rela_crel_mechanistic_context	GSE239703	rela_crel_mechanistic_context	context_only	Mechanistic cell-function context; not treatment-response validation.	false
2026-06-28T18:30:12+00:00	4	BLOCK_RECOUNT	hit_id	GSE239700	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239700	rela_crel_mechanistic_context	GSE239700	rela_crel_mechanistic_context	context_only	Mouse/mechanistic row; not independent validation evidence.	false
2026-06-28T18:30:12+00:00	5	BLOCK_RECOUNT	hit_id	GSE312339	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312339	false_positive_non_ms_animal_liver	GSE312339	false_positive_non_ms_animal_liver	reject_false_positive	Non-MS animal/liver keyword collision.	false
2026-06-28T18:30:12+00:00	6	BLOCK_RECOUNT	hit_id	S-EPMC10360655	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10360655	gse235357_sanchez_sanz_dmf_pbmc_response	S-EPMC10360655	gse235357_sanchez_sanz_dmf_pbmc_response	partial_hit_metadata_only	Same source cluster as GSE235357 / Sánchez-Sanz 2023 already represented by local held data and external record; not an independent fresh cohort.	false
2026-06-28T18:30:12+00:00	7	BLOCK_RECOUNT	hit_id	S-EPMC10855583	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10855583	fingolimod_response_transcriptome_context	S-EPMC10855583	fingolimod_response_transcriptome_context	partial_hit_metadata_only	Non-DMF fingolimod response transcriptome context; not independent DMF validation and likely overlaps the already-used fingolimod response lineage.	false
2026-06-28T18:30:12+00:00	8	BLOCK_RECOUNT	hit_id	S-EPMC6068231	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6068231	fingolimod_response_transcriptome_context	S-EPMC6068231	fingolimod_response_transcriptome_context	partial_hit_metadata_only	Same broad source family as already-audited fingolimod response cohort GSE250453; do not count as fresh independent validation.	false
2026-06-28T18:30:12+00:00	9	BLOCK_RECOUNT	hit_id	S-EPMC4654830	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4654830	ifnb_spms_transcriptional_response_context	S-EPMC4654830	ifnb_spms_transcriptional_response_context	context_only	Different drug and disease-stage frame; useful IFN context only.	false
2026-06-28T18:30:12+00:00	10	BLOCK_RECOUNT	hit_id	S-EPMC5413827	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5413827	dmf_neda_clinical_no_transcriptome_context	S-EPMC5413827	dmf_neda_clinical_no_transcriptome_context	context_only	Clinical NEDA analysis without PBMC transcriptomic paired module package visible.	false
2026-06-28T18:30:12+00:00	11	BLOCK_RECOUNT	hit_id	S-EPMC9351505	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9351505	diebold_2022_dmf_immune_monitoring	S-EPMC9351505	diebold_2022_dmf_immune_monitoring	context_only	Same source cluster as existing Diebold 2022 external record and V24 scout; mass cytometry/flow context, not transcriptomic module validation.	false
