snp	chr	position	in_all_trait_cs	z1	p1	pip1	z2	p2	pip2	SNP.PP.H4.abf
rs35730213	1	200874229	True	-6.6031572341213	4.02532e-11	0.0729812768237903	-6.81632653061224	8.81455e-12	0.108425648723575	0.122840648427891
rs55838263	1	200874728	True	-6.60825609880302	3.88866e-11	0.0770186551698678	-6.7470612244898	1.42397e-11	0.0823784676482795	0.094912200295513
rs12132298	1	200875095	True	-6.61126465774009	3.81066e-11	0.0744444645728939	-6.79579591836735	9.822e-12	0.1007946629114	0.115841063297276
rs12132349	1	200875242	True	-6.61186788179349	3.79577e-11	0.0746530802360824	-6.82389344262295	9.32395e-12	0.115913239141804	0.136529529190203
rs59655222	1	200875897	True	-6.61332316925868	3.75837e-11	0.0751594610076562	-6.81565573770492	9.69393e-12	0.111220164726969	0.131339790221488
rs7554511	1	200877562	True	-6.59072591478158	4.37724e-11	0.0677696765489229	-6.79098360655738	1.04809e-11	0.0984454043494641	0.100024126367357
rs41299637	1	200877850	True	-6.59543922097894	4.24033e-11	0.0692303025518292	-6.79934426229508	9.56093e-12	0.102569660005802	0.107823399402336
rs12131796	1	200878727	True	-6.59004883511821	4.39744e-11	0.0696242756736037	-6.77769547325103	1.27087e-11	0.0971542835262474	0.101852276728791
rs296520	1	200880978	True	-6.54501738869091	5.9484e-11	0.0563353956906147	-6.60502057613169	3.661e-11	0.04350224818102	0.0274544614164605
rs10800746	1	200881392	True	-6.51652042737686	7.19449e-11	0.0565222437018599	-6.48510460251046	8.8736e-11	0.039570800820552	0.0229104185022497
rs7522462	1	200881595	True	-6.53833237642318	6.22157e-11	0.0540302956435863	-6.52662551440329	6.60998e-11	0.0333284197338353	0.0171225823707866
rs905634	1	200884985	False	-6.27435637875845	3.51099e-10	0.0270410604563748	-6.06294117647059	1.36101e-09	0.0171946305821327	0.000812647164742459
rs404339	1	200886891	False	-6.50081045237978	7.9873e-11	0.04630830309024	-5.86881355932203	4.65801e-09	0.0143589112463119	0.000599058046851694
rs296543	1	200889833	False	-6.51829946967548	7.10886e-11	0.04957150675896	-5.7762447257384	7.703e-09	0.0140123813675136	0.000423501568334611
rs296545	1	200890692	False	-6.51840616321386	7.10395e-11	0.0495924493122717	-5.75932489451477	8.25601e-09	0.0139681436297593	0.000390877001935104
rs296546	1	200891091	False	-6.53222550763221	6.48037e-11	0.0524180016974084	-5.75932489451477	8.24594e-09	0.0139681436297593	0.000423108566580096
rs11589638	1	200894935	False	-6.52932926596343	6.60693e-11	0.0518068354046537	-5.7510970464135	9.31408e-09	0.01394846780328	0.000400145138690347
rs11583546	1	200902607	False	-6.19856529218917	5.69797e-10	0.0206965594140895	-6.32231404958678	2.50098e-10	0.0190526524110118	0.000688542367911723
rs10920074	1	200912727	False	-6.38455954331973	1.71902e-10	0.0316190086647153	-5.57635593220339	2.53e-08	0.0136917890012173	7.09160665721899e-05
rs11579874	1	200920362	False	-6.43730192180324	1.21599e-10	0.0379417595881362	-5.54848101265823	2.89301e-08	0.0137575717314503	7.5768928723655e-05
rs6427868	1	200929482	False	-6.15494389067872	7.51e-10	0.0217554552889462	-6.11658333333333	9.63097e-10	0.0161200306965158	0.000313106009143309
rs3208703	1	200939642	False	-6.19030452000546	6.00496e-10	0.0219556794487602	-6.0625	1.26701e-09	0.0152501468005268	0.000245644505892467
rs34873729	1	200946928	False	-6.23635627884594	4.47899e-10	0.023985719112934	-6.05825	1.32898e-09	0.0152104009466422	0.00030937583987342
rs12118735	1	200950960	False	-6.2554338613634	3.96497e-10	0.0248589687121433	-6.01241666666667	1.754e-09	0.0147708939923532	0.000262236249104535
rs72749142	1	200951307	False	-5.91926430392251	3.234e-09	0.0262134173297465	-6.73805825242718	1.67302e-11	0.184129169763765	0.0120497426352171
rs7539693	1	200955566	False	-6.24164014701291	4.32902e-10	0.024131388876785	-5.83686192468619	5.58702e-09	0.0139764939477651	0.000103682440270583
rs10494828	1	200957032	False	-6.21924513013676	4.99597e-10	0.0231711059449531	-5.8244769874477	5.70703e-09	0.0139630131493185	9.00986908263132e-05
rs59682551	1	200961883	False	-6.52160969051927	6.95665e-11	0.0828452136494591	-6.07267175572519	1.20701e-09	0.015673602727815	0.00213650171791989
rs12140420	1	200962287	False	-6.2478855660114	4.16102e-10	0.024453965930239	-5.79899581589958	6.54998e-09	0.0138922117485929	8.9639055891704e-05
rs12126806	1	200963825	False	-6.31609919209807	2.68201e-10	0.0293180601604786	-5.81949579831933	5.80698e-09	0.0139929330592379	0.000162655321724189
rs12138260	1	201020360	False	-5.90232907001274	3.58402e-09	0.0277997774429037	-6.31022151898734	2.64698e-10	0.040905955490822	0.0012841299954515
