snp	SNP.PP.H4.abf
rs12031931	3.27271081421557e-15
rs4244146	3.60155096481758e-15
rs12034835	3.36891230928671e-15
rs56363621	3.46847961712762e-15
rs12037431	3.07231733374209e-15
rs4256848	3.16876455571457e-15
rs6427826	3.56883031117793e-15
rs10800700	3.69989740770249e-15
rs10919926	3.83818858328889e-15
rs7544904	3.64178732921866e-15
rs16846692	4.38378720989004e-15
rs12030637	4.5773860282349e-15
rs6666661	4.10060655055833e-15
rs61824928	4.52402207372271e-15
rs57872228	1.6084928700343e-14
rs11584286	2.67457456092124e-14
rs4512680	4.70057997409298e-15
rs11576960	9.96187937171904e-15
rs35958234	1.96308388215295e-15
rs12122532	2.97508379360055e-15
rs7518714	2.98238788133891e-15
rs114003055	1.88165676620692e-15
rs111279274	2.97206260712059e-15
rs57690983	3.12220720455274e-15
rs12092814	2.14176884431484e-15
rs12096693	2.06089848861897e-15
rs12094802	2.06162309437242e-15
rs2808244	3.02729883240154e-15
rs17450217	3.95216397559399e-16
rs2809352	1.30243013916467e-15
rs2808245	2.17832089042978e-15
rs2808246	1.94620343572153e-15
rs2808247	2.17334809937441e-15
rs2808248	3.91184629127557e-16
rs2808249	1.02104467516987e-15
rs7521550	3.62111428682578e-16
rs2808250	3.92991244689469e-16
rs2808251	1.08192447278172e-15
rs34510201	1.0044256564692e-15
rs145135351	1.00942494632974e-15
rs10919987	4.63276282792137e-16
rs2808253	5.70430986770966e-16
rs2809351	1.18337374965348e-15
rs2808257	1.1652436765272e-15
rs10399615	3.77850411223618e-16
rs10399790	3.75694832507963e-16
rs66717951	5.45006968783094e-16
rs67040424	4.63986438668838e-16
rs35941344	5.9109799848486e-16
rs10919990	3.36899407339045e-16
rs2809346	5.07117838269554e-16
rs2809345	5.00819017486014e-16
rs10919991	3.64796113198555e-16
rs2809344	4.04428500454705e-16
rs7529962	3.76640216558308e-16
rs7527539	7.42572104852136e-16
rs2809340	2.29642299911067e-15
rs10800717	3.74203972707933e-15
rs2809338	7.17911478171321e-15
rs10919992	7.19547246688235e-16
rs12041320	8.17677229438172e-16
rs12750815	2.86866248419639e-15
rs10919993	8.99132087807386e-16
rs11588318	1.08432200828279e-15
rs6661240	1.06131087217344e-15
rs6688581	9.51330073918066e-16
rs3806358	9.43935502285027e-16
rs6656619	9.28391435802009e-16
rs6670887	9.64167649833515e-16
rs28608585	1.47248587545445e-15
rs12047921	1.60565268303004e-15
rs10494821	1.0190940006744e-15
rs4311922	1.01183729727109e-15
rs4265457	1.01078981467649e-15
rs4320808	1.84801771986925e-15
rs6667172	1.00089955817573e-15
rs4915206	1.89778434757213e-15
rs7527499	1.03763603079745e-15
rs7550238	1.03596175548918e-15
rs6427838	9.05047199700339e-16
rs6700559	1.05031316093499e-15
rs6665107	2.3610512243086e-15
rs6700859	8.73940532216648e-16
rs10753878	1.7133215392693e-15
rs12061346	1.04015075431264e-15
rs7533971	1.04443564612214e-15
rs10919998	1.04408963744015e-15
rs10800720	9.55767535427524e-16
rs4072552	1.04506497343602e-15
rs4072553	1.07138288613766e-15
rs4381220	1.79079279543208e-15
rs4326655	1.79079279543208e-15
rs6678702	1.78414639759943e-15
rs6665979	1.52279111876255e-15
rs10753879	1.78524906184036e-15
rs4489589	1.8343712400072e-15
rs4297330	1.80048678206788e-15
rs10920000	8.76972769010849e-16
rs4403654	1.32879252923501e-15
rs10920001	1.01930248434206e-15
rs6682744	1.95542505797213e-15
rs6427840	5.38388606958784e-16
rs11581339	5.92344854936145e-16
rs7542840	5.46805818386276e-16
rs7520407	5.77018835535914e-16
rs7535824	6.07826134941695e-16
rs7524010	3.82597833704556e-16
rs7524025	4.04888532450621e-16
rs7548530	6.00588082585427e-16
rs7526136	5.81468251581164e-16
rs7526265	5.88251616656213e-16
rs7526365	4.4873686195396e-16
rs7526367	4.38700784093704e-16
rs7526482	4.76268452091574e-16
rs7526853	4.76139563923045e-16
rs61825137	4.94977210474834e-16
rs61825138	4.63826143904409e-16
rs66977329	7.81845639702079e-16
rs10920005	3.19975070700601e-16
rs10920006	3.0808298366439e-16
rs10920007	2.84321508623983e-16
rs4915451	6.55339591182811e-16
rs7545177	5.09989847514469e-16
rs6427844	6.634487715215e-16
rs7539646	5.109893353831e-16
rs7519383	5.10759679694689e-16
rs1540683	6.44812307473163e-16
rs7542210	5.20903434016647e-16
rs1540682	6.64723274264643e-16
rs7542396	8.38650324450621e-16
rs12141497	5.10540330921767e-16
rs12126708	5.10937256807419e-16
rs12076946	5.86186696121657e-16
rs10920008	5.12553135992875e-16
rs7526031	3.89954699172343e-16
rs35656526	3.2426755373567e-16
rs12042992	4.63618058477349e-16
rs6427846	3.10276042218949e-15
rs6427847	3.46037652647776e-15
rs6427848	3.6230336847636e-15
rs6427849	2.22856878464266e-15
rs56949003	2.3693746986098e-15
rs57068399	2.35908920920477e-15
rs9628674	8.51692107123731e-13
rs6427850	8.86092682738753e-15
rs7535122	2.92103310492686e-15
rs7512898	2.85200676961149e-15
rs6684083	3.79948501824017e-15
rs6427851	3.91784966866736e-15
rs35659516	4.33591156106528e-15
rs6427852	6.95820774737632e-15
rs4915452	7.94195593355218e-13
rs7534184	2.94988831589794e-15
rs12137256	6.85324399206874e-13
rs7530159	7.19985014921977e-13
rs4539164	8.36578121202559e-15
rs12239970	2.56367104966831e-15
rs12748718	1.8173308323301e-15
rs731078	8.73641970395734e-15
rs12730151	1.90592620709563e-15
rs6675463	1.89607160480091e-15
rs7544548	7.56280292306745e-15
rs35247298	5.10980900147954e-15
rs10920010	6.75624964042995e-15
rs10920011	6.60467583188495e-15
rs6664413	7.41487038693498e-15
rs2364685	7.31662231448566e-15
rs7554325	7.34879237285197e-15
rs7542613	7.57350981044929e-15
rs7542683	7.27206031798468e-15
rs7520106	6.86427809051702e-15
rs7554612	7.09074912327539e-15
rs10920013	2.6961477348812e-15
rs7545387	6.27892159195247e-15
rs7548289	5.87668804105254e-15
rs7515230	6.90039155122193e-15
rs7515329	5.35063246708204e-15
rs7548907	5.3442676360509e-15
rs7526297	5.35151022143413e-15
rs10800725	6.13260022564805e-15
rs10800726	4.92806868245767e-15
rs10800727	4.76444032735664e-15
rs10800728	4.26877755351203e-15
rs55783905	1.90693314551047e-13
rs12047681	2.67372180287715e-15
rs7518368	1.2983600623083e-15
rs12126250	1.44261387018926e-13
rs10800729	3.30914837601983e-15
rs7512279	3.1448706532402e-15
rs12025389	1.16136959358969e-13
rs10494820	1.03991041583527e-13
rs10449265	2.82785755290167e-13
rs12070749	3.23494580840203e-15
rs10494819	7.83166607057206e-14
rs7516821	1.00422788873007e-13
rs7550125	9.35535809631249e-14
rs12130226	1.46011588608562e-13
rs12145140	1.62905874908517e-13
rs10800730	3.56139420325817e-15
rs10920017	3.44357019039034e-15
rs7517998	1.90563465790624e-15
rs4915456	2.33695658833559e-13
rs12029036	5.66626318959295e-15
rs7529518	7.00251450416854e-15
rs12088680	6.95882119070931e-15
rs10920018	2.5713324533597e-13
rs7548165	7.05121745068014e-15
rs7523261	5.15009456157373e-14
rs6427854	2.64266020209105e-13
rs6656966	2.87539717894208e-13
rs6427855	3.16583510424391e-15
rs10800731	7.40505485780578e-15
rs4382754	3.12395552901399e-13
rs12039516	5.83575481033983e-15
rs6660092	6.6882963597351e-15
rs12038475	5.73055261196698e-15
rs10800733	7.40229955226005e-15
rs12043133	3.38868531999514e-15
rs11809578	7.43959966889613e-15
rs17694768	3.12688638831712e-13
rs11810437	7.64423952692151e-15
rs12093247	7.3901266717388e-15
rs2047148	3.39801026171302e-13
rs55735825	6.58471272423717e-15
rs2047147	4.50954585465421e-13
rs10920027	8.04535523291597e-15
rs6658395	3.46450362496292e-15
rs12037469	7.72616203846765e-15
rs12081920	7.92585091370871e-15
rs12039314	8.81868135975248e-15
rs7538416	8.48196327099884e-15
rs35369655	5.61453170467777e-15
rs12087381	6.93720739554134e-15
rs10920032	3.29584193687943e-13
rs12410302	7.8925614191172e-15
rs10920033	7.9489119600577e-15
rs1963261	7.60806258932403e-15
rs12022671	7.90462121796522e-15
rs2029750	7.26433579631582e-15
rs10800735	8.63226735901918e-15
rs4915458	3.53008020886385e-13
rs11800187	1.03163630220651e-14
rs12048165	1.12591924024869e-14
rs12023677	1.1281744690109e-14
rs7552353	9.91444299010004e-15
rs7552653	9.40235456829911e-15
rs10800737	5.79889028494574e-13
rs10920034	1.06107603178891e-14
rs6675265	1.0173981946114e-14
rs7528217	4.1746613258983e-15
rs10920036	9.88434963687826e-15
rs7538023	3.20213362546982e-15
