snp	chr	position	z1	p1	pip1	z2	p2	pip2	SNP.PP.H4.abf
rs72749142	1	200951307	-5.91926430392251	3.234e-09	0.0262134173297465	-6.73805825242718	1.67302e-11	0.184129169763765	0.0120497426352171
rs12132349	1	200875242	-6.61186788179349	3.79577e-11	0.0746530802360824	-6.82389344262295	9.32395e-12	0.115913239141804	0.136529529190203
rs59655222	1	200875897	-6.61332316925868	3.75837e-11	0.0751594610076562	-6.81565573770492	9.69393e-12	0.111220164726969	0.131339790221488
rs35730213	1	200874229	-6.6031572341213	4.02532e-11	0.0729812768237903	-6.81632653061224	8.81455e-12	0.108425648723575	0.122840648427891
rs12132298	1	200875095	-6.61126465774009	3.81066e-11	0.0744444645728939	-6.79579591836735	9.822e-12	0.1007946629114	0.115841063297276
rs41299637	1	200877850	-6.59543922097894	4.24033e-11	0.0692303025518292	-6.79934426229508	9.56093e-12	0.102569660005802	0.107823399402336
rs12131796	1	200878727	-6.59004883511821	4.39744e-11	0.0696242756736037	-6.77769547325103	1.27087e-11	0.0971542835262474	0.101852276728791
rs7554511	1	200877562	-6.59072591478158	4.37724e-11	0.0677696765489229	-6.79098360655738	1.04809e-11	0.0984454043494641	0.100024126367357
rs55838263	1	200874728	-6.60825609880302	3.88866e-11	0.0770186551698678	-6.7470612244898	1.42397e-11	0.0823784676482795	0.094912200295513
rs11584286	1	200420001	1.59059851532757	0.1117	0.0193697859539215	3.3371469740634	0.000837896	0.0852049414996099	2.67457456092124e-14
rs59682551	1	200961883	-6.52160969051927	6.95665e-11	0.0828452136494591	-6.07267175572519	1.20701e-09	0.015673602727815	0.00213650171791989
rs145759918	1	200824839	3.35926353336131	0.000781502	0.0460499063479073	3.81454838709677	0.0001354	0.0570571825484395	1.01899533817077e-12
rs10800746	1	200881392	-6.51652042737686	7.19449e-11	0.0565222437018599	-6.48510460251046	8.8736e-11	0.039570800820552	0.0229104185022497
rs296520	1	200880978	-6.54501738869091	5.9484e-11	0.0563353956906147	-6.60502057613169	3.661e-11	0.04350224818102	0.0274544614164605
rs7522462	1	200881595	-6.53833237642318	6.22157e-11	0.0540302956435863	-6.52662551440329	6.60998e-11	0.0333284197338353	0.0171225823707866
rs56354006	1	200873159	5.49365738271376	3.93704e-08	0.0539189318934967	3.52603187250996	0.000412297	0.0166863721898471	1.55634625003078e-09
rs296546	1	200891091	-6.53222550763221	6.48037e-11	0.0524180016974084	-5.75932489451477	8.24594e-09	0.0139681436297593	0.000423108566580096
rs11589638	1	200894935	-6.52932926596343	6.60693e-11	0.0518068354046537	-5.7510970464135	9.31408e-09	0.01394846780328	0.000400145138690347
rs112680734	1	200851927	-2.46898514034718	0.01355	0.0191648936332212	-4.13418699186992	3.54903e-05	0.0502664088659882	1.39391962289119e-12
rs296545	1	200890692	-6.51840616321386	7.10395e-11	0.0495924493122717	-5.75932489451477	8.25601e-09	0.0139681436297593	0.000390877001935104
rs296543	1	200889833	-6.51829946967548	7.10886e-11	0.04957150675896	-5.7762447257384	7.703e-09	0.0140123813675136	0.000423501568334611
rs71635524	1	200893960	3.95759554554812	7.57094e-05	0.0493947118878441	1.96160606060606	0.0495405	0.0142373085495975	1.7056192532832e-13
rs35304341	1	200971049	4.04848391928389	5.15502e-05	0.0467337783970097	2.9614358974359	0.00310799	0.0206843264003786	1.46727339774857e-12
rs404339	1	200886891	-6.50081045237978	7.9873e-11	0.04630830309024	-5.86881355932203	4.65801e-09	0.0143589112463119	0.000599058046851694
rs12138260	1	201020360	-5.90232907001274	3.58402e-09	0.0277997774429037	-6.31022151898734	2.64698e-10	0.040905955490822	0.0012841299954515
rs867291	1	200863451	4.36937419092186	1.24601e-05	0.0407168549694213	1.97559756097561	0.0480596	0.0136487126983342	1.05289234543538e-12
rs3738251	1	200843374	2.59954212399969	0.00933491	0.0263032970242361	3.4584339314845	0.0005465	0.0382911334092759	5.64148951558461e-14
rs11579874	1	200920362	-6.43730192180324	1.21599e-10	0.0379417595881362	-5.54848101265823	2.89301e-08	0.0137575717314503	7.5768928723655e-05
rs61825289	1	200908605	3.79140212021705	0.000149799	0.0376596045515539	2.2293073286052	0.0256602	0.0166647635839979	4.31793268368275e-13
rs57226353	1	200873396	0.54406099249598	0.5864	0.0150668234850151	3.67824324324324	0.000231201	0.036877743607529	2.36387142635616e-14
rs35369655	1	200752948	2.39018313865777	0.0168399	0.0352830346847951	1.83590401785714	0.0664906	0.0255018266470938	5.61453170467777e-15
rs12128863	1	200861544	-2.2786156004781	0.0226898	0.023346921299216	-3.07060594795539	0.002103	0.0351688236447587	3.89871072595388e-14
rs57872228	1	200418805	2.38455584290073	0.0171002	0.0285647926528928	2.53189007092199	0.0113501	0.0349033679721397	1.6084928700343e-14
