candidate	intervention_class	source_wave	mechanism	modality	direction	reachable_modality	direct_perturbation	foundation_model	cross_disease_cellstate	cross_disease_count	ms_anchor	genetic_or_target_resolution	response_support	biochemical_support	specificity_support	prior_not_blocked	safety_direction_clear	primary_blocker	source_call	source_value
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	wave23_metabolite_barrier_circuit	Eicosanoid / leukotriene / prostaglandin sensors	NSAIDs, leukotriene modifiers, prostanoid receptor ligands, and LTA4H inhibitors provide chemical matter	unclear: inhibit inflammatory leukotrienes/prostaglandins or agonize pro-resolving receptors depending on tissue context	1	1	0	1	5.0	1	0	0	0	0	0	0	Leukotriene/prostaglandin immunology is crowded, directionally contradictory, and not selective for the V3 APC state.	NO_GO	route_positive_disease_union_count=5.0; l1000_qval_hits=2.0
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	wave23_metabolite_barrier_circuit	AHR / tryptophan-kynurenine sensing	AHR agonists/antagonists and IDO/TDO enzyme inhibitors exist; route direction is disease- and ligand-context dependent	unclear: AHR/IDO can be tolerogenic, but high IDO1/KYNU is also an IFN/APC activation readout	1	0	0	1	5.0	0	0	0	0	0	0	0	AHR/IDO/kynurenine immunoregulation is broad, crowded, and often immunosuppressive rather than a selective barrier-repair control.	NO_GO	route_positive_disease_union_count=5.0; l1000_qval_hits=0.0
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	wave23_metabolite_barrier_circuit	PPAR/LXR/RXR lipid nuclear receptors	approved PPAR agonists and preclinical LXR agonists exist; RXR agonists are pleiotropic	activate lipid efflux / repair programs, but avoid broad metabolic and lipogenic toxicity	1	1	0	0	2.0	1	0	0	0	0	0	0	Already demoted in Wave19 for mixed/negative local signal and saturated PPAR/LXR autoimmune/metabolic prior art.	NO_GO	route_positive_disease_union_count=2.0; l1000_qval_hits=2.0
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	wave23_metabolite_barrier_circuit	SCFA receptors FFAR2/FFAR3/HCAR2	SCFAs, niacin/HCAR2 agonism, and synthetic GPCR ligands exist, but selectivity and exposure are weak	activate gut-local SCFA/HCAR anti-inflammatory barrier signaling if disease-tissue target engagement is real	1	0	0	1	4.0	0	0	0	0	0	0	0	Microbiome/SCFA and niacin anti-inflammatory routes are crowded and hard to make target-selective.	NO_GO	route_positive_disease_union_count=4.0; l1000_qval_hits=0.0
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	wave23_metabolite_barrier_circuit	Bile-acid receptors FXR/TGR5	FXR agonists and TGR5 agonist chemistry exist; gut-restricted FXR concepts are plausible	activate gut/liver bile-acid sensing only if it repairs epithelial/myeloid barrier tone without cholestatic liability	1	0	0	0	1.0	0	0	0	0	0	0	1	This is the least obviously saturated cross-autoimmune route, but local V3 state support is absent and PBC/IBD/metabolic bile-acid art is substantial.	NO_GO	route_positive_disease_union_count=1.0; l1000_qval_hits=0.0
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	wave23_metabolite_barrier_circuit	Retinoid/RAR/RXR/VDR differentiation-barrier axis	retinoids, rexinoids, vitamin-D analogs, and VDR agonists exist	activate differentiation/tolerogenic programs only in tissue contexts where barrier repair, not broad immune suppression, is measured	1	0	0	1	4.0	1	0	0	0	0	0	0	Vitamin D, retinoic-acid, and RXR/RAR immunomodulation are very crowded and pleiotropic.	NO_GO	route_positive_disease_union_count=4.0; l1000_qval_hits=0.0
s1p_receptors	S1P receptor trafficking / barrier axis	wave23_metabolite_barrier_circuit	S1P receptor trafficking / barrier axis	approved/clinical S1P receptor modulators exist	functionally antagonize S1PR1 lymphocyte egress or tune S1P barrier tone; this is not APC-state selective	1	0	0	1	4.0	0	0	0	0	0	0	0	Approved MS and UC S1P modulators make this direct broad immunosuppressive trafficking prior art.	NO_GO	route_positive_disease_union_count=4.0; l1000_qval_hits=0.0
FPR2_ANXA1_BIASED_RESOLUTION	Biased pro-resolution GPCR / ANXA1 mimetic	wave48_resolution_reopener_audit	FPR2/ALX biased agonism or ANXA1-mimetic resolution signaling	small molecule or peptide biased agonist; pro-resolution biologic	agonize pro-resolution signaling while avoiding inflammatory FPR2 modes	1	0	0	1	4.0	0	0	0	0	0	1	1	dynamic resolution biology and chemical tractability exist, but strict MS expression anchor is negative/non-significant, the GWAS hit is not target-resolved, Wave37 efferocytosis perturbation is unresolved, and prior literature already covers SPM/FPR2 activity in autoimmune/EAE/colitis contexts.	REOPEN_WITH_WETLAB_TEST_ONLY_NOT_V3_PROMOTION	FPR2 GWAS trait count=1, min_p=2e-06; FPR2 local positives=2.0 (Crohn disease;ulcerative colitis); ANXA1 rescue-context up=6.0 contexts/4.0 datasets; Wave37 FPR2 call=UNRESOLVED, ANXA1 call=UNRESOLVED; ChEMBL FPR2 activities=10101.
MFGE8_DEBRIS_OPSONIN	Debris-opsonin / efferocytosis biologic	wave54_mfge8_debris_opsonin_audit	MFGE8 bridging of apoptotic or myelin debris to phagocytes	secreted recombinant protein or engineered local biologic	augment debris clearance while avoiding bystander phagocytosis	1	0	0	0	1.0	0	0	0	0	0	1	0	cross-autoimmune/MS/efferocytosis/safety gates fail	PARK_BIOLOGIC_ROUTE_NOT_PROMOTED	cross_domain_mechanistic_anchor=remyelination_hits=62; autoimmunity_hits=294; local_cross_autoimmune_cell_state=positive=1.0; negative=0.0; diseases=type 1 diabetes mellitus; strict_ms_anchor=delta=0.5586776922734735; p=0.0686336045013876; fdr=0.8989378106274888; efferocytosis_screen_support=lfc=0.1589236226146265; fdr=1.0; call=UNRESOLVED; tractable_modality=secreted_opsonin=True; chembl_activity_rows=0; trials=5; safety_bystander_phagocytosis_resolved=phagoptosis_query_hits=39; novelty_prior_art_unblocked=clinical_trial_hits=5; direct_therapeutic_trial=False; direct patents searched separately; promotion_grade_package=local_and_screen_support_weak
GPR65_ACID_SENSING_GPCR	Acid-sensing GPCR	wave50_gpr65_acid_sensing_gpcr_audit	GPR65/TDAG8 pH-sensing immune modulation	small-molecule agonist/PAM or GPCR modulator	restore or bias GPR65 signaling in acidic inflammatory tissue	1	0	0	0	1.0	0	1	0	0	0	0	0	GPR65 remains a plausible biology axis but not a V3 finding: target-resolved direction, non-IBD coloc, and disease-cell agonist/PAM perturbation are missing, while public literature/patent prior art already covers autoimmune GPR65 modulation.	NO_GO_GPR65_PRIOR_ART_AND_LOCAL_CELLSTATE_MISMATCH	GPR65 has cross-disease genetic support (5 OT diseases: AS;Crohn;MS;Psoriasis;UC; 5 GWAS traits, min p=4e-18) and GPCR chemical matter, but local support is weak and contradictory (positive diseases=1.0, negative diseases=2.0), MS expression support is absent (delta=0.09040507812532, p=0.6241465917972195), and direct IBD/autoimmune prior art blocks novelty.
CFB_FACTOR_B_INHIBITION	Alternative complement inhibition	wave44_cfb_complement_stratification_audit	Factor B inhibition of alternative complement amplification	Secreted complement alternative-pathway serine protease; strong ChEMBL activity landscape; oral factor B inhibitors exist.	Inhibit factor B / alternative complement amplification.	1	0	0	1	4.0	0	0	0	0	0	0	0	Direct prior art: iptacopan/LNP023 in IgA nephropathy and complement diseases; Google Patents factor B inhibitor method claims.; Encapsulated-bacteria infection risk, complement host defense, kidney/complement indication crowding.	Use as druggability/prior-art comparator only.	Local extra: broad-positive 4 diseases; retained residual 4 diseases; strict-core residual only Crohn stromal; MS anchor absent.
MED16_MEDIATOR_MODULE	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	drug Mediator regulatory machinery, ideally via a selective CDK8/19 or Mediator-module strategy	small molecule or genetic perturbation depending on route	drug Mediator regulatory machinery, ideally via a selective CDK8/19 or Mediator-module strategy	1	1	0	0	4.0	0	0	0	0	0	1	0	The real Med16_KO signal is strong, but the route lacks a target-specific MS anchor and a safe selective druggable handle; practical Mediator/CDK8/19 modulation risks broad transcriptional or oncology-like toxicity.	WETLAB_ONLY_MED16_SELECTIVE_NONDRUGGABLE_ROUTE	selectivity=2.3051173986620066; target_vs_ifn=2.3416465218333142
GSK3B_INHIBITION	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	partial GSK3B inhibition to damp antigen-processing readouts	small molecule or genetic perturbation depending on route	partial GSK3B inhibition to damp antigen-processing readouts	0	1	1	0	1.0	0	0	0	0	0	0	0	Gsk3b_KO has real perturbation support but GSK3B is pleiotropic, prior-art crowded in neuroimmune disease, and locally lacks FDR-supported MS/cross-disease cell-state anchoring.	NO_GO_GSK3B_REAL_PERTURBATION_PRIOR_ART_PLEIOTROPY	selectivity=0.7779563820432978; target_vs_ifn=0.8271572726202511
TNFRSF1A_DAMPING	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	modulate TNFR1/TNF pathway output without worsening demyelination	small molecule or genetic perturbation depending on route	modulate TNFR1/TNF pathway output without worsening demyelination	1	1	0	0	0.0	0	1	0	0	0	0	0	TNFRSF1A/TNF perturbation is genetically broad but MS direction is unsafe because TNF blockade can worsen demyelinating biology; local MS expression is negative.	NO_GO_PERTURBATION_FIRST_PIVOT	selectivity=0.6211601610564657; target_vs_ifn=0.6624135343272808
