dataset	marker_compartment	module	n_genes_present	genes_present
GSE183047	keratinocyte_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
GSE183047	keratinocyte_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
GSE183047	keratinocyte_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
GSE183047	keratinocyte_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
GSE183047	keratinocyte_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
GSE183047	keratinocyte_like	il17_keratinocyte_inflammation	7	IL36G,S100A7,S100A8,S100A9,DEFB4A,KRT16,KRT17
GSE183047	keratinocyte_like	regulatory_dc_markers	5	THBD,CLEC4A,CD1C,CD14,LILRB4
GSE183047	myeloid_apc_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
GSE183047	myeloid_apc_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
GSE183047	myeloid_apc_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
GSE183047	myeloid_apc_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
GSE183047	myeloid_apc_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
GSE183047	myeloid_apc_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
GSE183047	myeloid_apc_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
GSE183047	myeloid_apc_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
GSE183047	myeloid_apc_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
GSE183047	myeloid_apc_like	il17_keratinocyte_inflammation	7	IL36G,S100A7,S100A8,S100A9,DEFB4A,KRT16,KRT17
GSE183047	myeloid_apc_like	regulatory_dc_markers	5	THBD,CLEC4A,CD1C,CD14,LILRB4
GSE183047	t_cell_like	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
GSE183047	t_cell_like	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
GSE183047	t_cell_like	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
GSE183047	t_cell_like	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
GSE183047	t_cell_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
GSE183047	t_cell_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
GSE183047	t_cell_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
GSE183047	t_cell_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
GSE183047	t_cell_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
GSE183047	t_cell_like	il17_keratinocyte_inflammation	7	IL36G,S100A7,S100A8,S100A9,DEFB4A,KRT16,KRT17
GSE183047	t_cell_like	regulatory_dc_markers	5	THBD,CLEC4A,CD1C,CD14,LILRB4
