assertion_id	required_understanding	claim_ids	claude_4_7_opus	gemini_2_5_pro	audit_note
C01	There is one live clinical route: the bounded APC/HLA-II monitoring score.	M01	pass	pass	Both named it as the strongest/live lead.
C02	The score is provisional and has no independent validation.	M01;A01	pass	pass	Both directly answered no external validation.
C03	Monitoring does not establish a drug target or treatment choice.	M05	pass	pass	Both directly answered that no target exists.
C04	The internal evidence is small (n=19) and cannot substitute for replication.	M03	pass	pass	Both retained n=19 and the internal-only boundary.
C05	Broad immune tone attenuates the monitoring score.	M04	pass	partial	Claude recovered the adjusted result; Gemini retained confounding generally but omitted the attenuation in its direct answer.
C06	The project has no intervention-grade therapeutic target.	G03;G04;M05	pass	pass	Both recovered the target-level null.
C07	Progression is blocked by missing longitudinal molecular-to-confirmed-disability data.	P01;P03	pass	pass	Both recovered the snapshots-versus-movie boundary.
C08	No progression biomarker, mechanism, target, or treatment effect was established.	P02	pass	pass	Both recovered the negative, although Gemini initially phrased it as nothing definitive.
C09	CD44/CXCR4 is identity-only and progression prediction is untested.	P06;C01	pass	pass	Both retained the data-gated identity-only boundary.
C10	The 0.127 bound is specific to the held corpus and gate, not a biological ceiling.	D04;D05	pass	pass	Both scoped the mental model correctly; one later wording suggestion oversimplified the bound and was rejected.
C11	ZMIZ1 is a direction-decoupling warning, while KIF21B/GPR25 and PTGER4 are the closed target routes.	G02;G03;G04;G05	partial	partial	Both placed ZMIZ1 in their closed-path recall, exposing an onboarding wording ambiguity corrected after the audit.
C12	A newcomer can contribute through a numbered problem and a falsifiable idea with data, null/holdout, and failure condition.	E03;A01;A02	pass	pass	Both recovered the contribution route and rigor gate.
