source_table	cohort	disease	therapy	context	candidate_feature	branch	auc	p_value	effect	status	caveat
validation_ledger_v22_ms_dmt	GSE235357	MS	dimethyl_fumarate	locked V22/V23 MS DMT validation	delta_HLAII - delta_IFN_APC	locked scalar	0.72	0.2979459256245464	0.6512291126085582	pass	small held cohort; primary rule pre-specified
validation_ledger_v22_ms_dmt	GSE250453	MS	fingolimod	locked V22/V23 MS DMT validation	delta_HLAII - delta_IFN_APC	locked scalar	0.6	0.7993087893522117	0.1502303301075881	fail	small held cohort; primary rule pre-specified
validation_ledger_v22_cross_disease	GSE85034_ADA	psoriasis	adalimumab	locked V22 cross-disease stress	-delta_IFN_APC	locked scalar	0.5111111111111111	0.9438741677855862	0.0442089727313232	fail	cross-disease; tofacitinib exact all-cell approximation caveated
validation_ledger_v22_cross_disease	GSE253006_TOF	ulcerative_colitis	tofacitinib	locked V22 cross-disease stress	-delta_IFN_APC	locked scalar	1.0	0.0339251555299743	1.5221148378698626	pass	cross-disease; tofacitinib exact all-cell approximation caveated
gse85034_mtx_feature_tests	GSE85034_MTX	psoriasis	methotrexate	out-of-domain skin stress test	negative_delta_RECEPTOR	CD74/receptor-state dynamics	0.9	0.0244755244755244	1.0918551066536035	post_hoc_stress_only	not bounded validation domain; 3 responders
gse85034_mtx_feature_tests	GSE85034_MTX	psoriasis	methotrexate	out-of-domain skin stress test	locked_signed_score	IFN/APC/STAT1 dynamics	0.6	0.3461538461538461	0.1654070010119129	post_hoc_stress_only	not bounded validation domain; 3 responders
gse24427_ifnb_timepoint_tests	GSE24427_month_1	MS	interferon-beta	longitudinal relapse-free timing audit	delta__hla_ii_without_cd74	HLA-II competence/induction	0.75	0.0200795984080318	1.0089237828082185	exploratory_context	older IFN-beta cohort; therapy-specific branch only
gse24427_ifnb_timepoint_tests	GSE24427_month_1	MS	interferon-beta	longitudinal relapse-free timing audit	delta__cd74_alone	CD74/receptor-state dynamics	0.7222222222222222	0.0369592608147837	0.9275925226189004	exploratory_context	older IFN-beta cohort; therapy-specific branch only
gse24427_ifnb_timepoint_tests	GSE24427_second_injection	MS	interferon-beta	longitudinal relapse-free timing audit	delta__ifn_apc	IFN/APC/STAT1 dynamics	0.7152777777777778	0.0420591588168236	0.3362000068942947	exploratory_context	older IFN-beta cohort; therapy-specific branch only
gse138064_ifnb_dose_hour_tests	GSE138064_stable_hour_4	MS	interferon-beta	dose/hour complete-vs-partial responder audit	delta__receptor_only_cd74_cd44_cxcr4	CD74/receptor-state dynamics	0.6934523809523809	0.007349632518374	0.6084492242852696	exploratory_context	complete-vs-partial labels; repeated dose/hour rows
gse138064_ifnb_dose_hour_tests	GSE138064_stable_8MU	MS	interferon-beta	dose/hour complete-vs-partial responder audit	delta__receptor_only_cd74_cd44_cxcr4	CD74/receptor-state dynamics	0.6875	0.0107494625268736	0.6556432341827483	exploratory_context	complete-vs-partial labels; repeated dose/hour rows
gse138064_ifnb_dose_hour_tests	GSE138064_all	MS	interferon-beta	dose/hour complete-vs-partial responder audit	baseline__hla_ii_without_cd74	HLA-II competence/induction	0.6852941176470588	0.0002499875006249	0.6992303008783517	exploratory_context	complete-vs-partial labels; repeated dose/hour rows
gse138064_ifnb_dose_hour_tests	GSE138064_stable_8MU	MS	interferon-beta	dose/hour complete-vs-partial responder audit	baseline__hla_ii_without_cd74	HLA-II competence/induction	0.6845238095238095	0.0106994650267486	0.8198001947039228	exploratory_context	complete-vs-partial labels; repeated dose/hour rows
gse138064_ifnb_dose_hour_tests	GSE138064_stable_hour_4	MS	interferon-beta	dose/hour complete-vs-partial responder audit	baseline__hla_ii_without_cd74	HLA-II competence/induction	0.6592261904761905	0.0247487625618719	0.6436377598052234	exploratory_context	complete-vs-partial labels; repeated dose/hour rows
