dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_responder	n_nonresponder	mean_responder	mean_nonresponder	delta_responder_minus_nonresponder	hedges_g	welch_t	p	auc_responder_high	confounders	generic_adjusted_delta	generic_adjusted_p	generic_adjusted_hedges_g	generic_adjustment_covariates	module_generic_max_abs_r	fdr	min_group_n	non_generic_module	generic_independent	effect_claim_allowed	kill_reason
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	ifn_apc	20	18	0.019959678826261772	-0.20410283778312172	0.22406251660938348	0.29254760748106234	0.9023848939265882	0.37407422108602717	0.5972222222222223	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.22598508836826156	0.35103891049131347	0.30536538185841505	inflammatory_nfkb	0.2538718244359903	0.7002088144592507	18	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	hla_ii_apc	20	18	-0.02096973238171072	-0.25690163027648727	0.23593189789477656	0.2663719907561829	0.8305741181000229	0.41205432445286955	0.5416666666666667	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.02017200276255179	0.8942492723845615	0.04301800485081904	inflammatory_nfkb,ifn_apc	0.849828954467205	0.7002088144592507	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	lysosomal_apc	20	18	-0.007586927479265026	0.06043548261617431	-0.06802241009543934	-0.12060573053074539	-0.3749448653247243	0.7101159484342763	0.45000000000000007	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.045461378947393216	0.7806219089352204	-0.09032570224444077	inflammatory_nfkb,ifn_apc	0.43712758116622125	0.7988804419885609	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	mif_cd74_receptor_state	20	18	-0.01674650986402635	-0.17392551720209062	0.15717900733806428	0.2487602392932267	0.7732781380345342	0.44490316537694924	0.5527777777777778	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.028349665455592796	0.8257584793425421	0.0718455316563291	inflammatory_nfkb,ifn_apc	0.7588025951321029	0.7002088144592507	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	mixscale_validated_ifng_readout	20	18	0.0002842582429940649	-0.1672034963866736	0.16748775462966764	0.23766480392676873	0.7365652960005366	0.4668058763061671	0.6027777777777777	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.01913328105657113	0.7658740897212301	-0.0962899884115015	inflammatory_nfkb,ifn_apc	0.9499230625952823	0.7002088144592507	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	lipid_loader_repair	20	18	-0.12184005107390612	0.023109957434198594	-0.14495000850810472	-0.4672843486003826	-1.4978719520214727	0.1434561859705262	0.4	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.0952616347122788	0.24127983333828226	-0.3728074421384279	inflammatory_nfkb,ifn_apc	0.4192169729083139	0.7002088144592507	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	complement_phagocytosis	20	18	-0.20710417558693192	-0.004168145311133006	-0.20293603027579893	-0.39940118691858234	-1.215333605285307	0.23589499564441246	0.3944444444444444	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.24862258818522265	0.07696831903956801	-0.6006323858202213	inflammatory_nfkb,ifn_apc	0.45514723430811854	0.7002088144592507	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	hif_nampt_metabolic	20	18	0.1133606571159074	-0.021387951380721304	0.1347486084966287	0.18610363334695942	0.5957728286921198	0.5552538029999347	0.5166666666666667	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.16228504729323218	0.23840673785495559	0.37861281412080305	inflammatory_nfkb,ifn_apc	0.7932357982746506	0.7138977467142017	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=adalimumab	inflammatory_nfkb	20	18	0.023253292152756393	0.03165349900020782	-0.008400206847451429	-0.009773669596553528	-0.030868949099150444	0.9755446506930097	0.49722222222222223	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.07149676061077803	0.7862089104636318	-0.08609074728413568	ifn_apc	0.2538718244359904	0.9755446506930097	18	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	ifn_apc	17	23	-0.10408278635397741	0.21930716832993372	-0.32338995468391113	-0.4029653392033833	-1.3325264925878202	0.19066366729851408	0.3861892583120205	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.32577028169481637	0.18634652476403002	-0.4082924080417144	inflammatory_nfkb	0.10215536453593664	0.4103425440333272	17	False	False	False	not_corrected_significant
