accession	therapy_class	therapy	status	response_labels	modality	url
GSE138746	anti-TNF	adalimumab/etanercept	analyzed_local_wave18_extended	EULAR response after 6 months; encoded in sample names	sorted PBMC/CD14/CD4 bulk RNA-seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138746
GSE253006	JAK/TYK	tofacitinib	analyzed_local_marker_compartment	5 responders, 6 non-responders at baseline in local Wave18/V3 parsing	10x scRNA, marker-derived compartments	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253006
GSE183047	IL-17/IL-23	secukinumab	analyzed_local_wave18_pd_only	none in GEO/local parsing	immune-enriched scRNA, marker-derived compartments	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183047
GSE73661	anti-TNF	infliximab	analyzed_public_bulk	mucosal healing at W4-6	colonic biopsy Affymetrix bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661
GSE73661	integrin	vedolizumab	analyzed_public_bulk	mucosal healing at W6/W12/W52; earliest label used for baseline scout	colonic biopsy Affymetrix bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661
GSE106992	anti-TNF	etanercept	analyzed_public_bulk	PASI75 responder/non-responder	skin biopsy Affymetrix bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106992
GSE106992	IL-17/IL-23	ustekinumab	analyzed_public_bulk	PASI75 responder/non-responder	skin biopsy Affymetrix bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106992
GSE24742	anti-CD20	rituximab	analyzed_public_bulk	EULAR good/moderate/poor	synovial biopsy Affymetrix bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24742
GSE228330	anti-CD20	ocrelizumab	public_metadata_pd_only_not_analyzed	none; clinically stable MS before/0.5m/6m	PBMC Clariom microarray	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228330
GSE250453	S1P	fingolimod	analyzed_public_processed_bulk	5 responders and 5 non-responders; NEDA-3 at 2 years	PBMC RNA-seq bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250453
GSE235357	fumarate	dimethyl fumarate	analyzed_public_processed_bulk	5 responders and 5 non-responders	PBMC RNA-seq bulk	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235357
GSE261334	integrin	vedolizumab	public_metadata_parked	series says 5 R/5 NR at W0/W6, but donor-response crosswalk not in local SOFT parse	PBMC scRNA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261334
GSE171012	IL-17/IL-23	secukinumab	public_metadata_pd_only_not_analyzed	no responder labels in GEO; longitudinal skin/T-cell RNA-seq	bulk skin and sorted cutaneous T-cell RNA-seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171012
GSE296117	anti-TNF/JAK	TNF-alpha/JAK inhibitor	public_metadata_heavy_controlled_parked	pre/post synovial-fluid scRNA; response labels not quickly extractable from GEO	single-cell RDS, controlled raw data	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296117
