dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_pairs	mean_post_minus_pre	median_post_minus_pre	one_sample_t	p	confounders	fdr
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	ifn_apc	4	0.30428526809726403	0.1455318358855222	1.5800883283546625	0.21221533566157263	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	hla_ii_apc	4	0.2705492513885443	0.1290682970387841	1.0984702488279585	0.3522546679843847	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	lysosomal_apc	4	0.05294981780207425	0.06804796069590514	1.1917516645775703	0.3190426510029622	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	mif_cd74_receptor_state	4	0.2934593417545398	0.10416658809894114	1.0639068120293966	0.36541193886159984	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	mixscale_validated_ifng_readout	4	0.1876452972852091	0.07441698776572464	1.4688582785030235	0.23819342090989196	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	lipid_loader_repair	4	0.0375018810172138	0.053601624692489046	1.4825754510458493	0.23480825399049168	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	complement_phagocytosis	4	0.008329144775815523	0.0089244228801401	1.3072015543091737	0.282310067500981	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	hif_nampt_metabolic	4	0.19650739482032822	0.2538760613179401	1.3041789592630197	0.28321347731871716	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	inflammatory_nfkb	4	0.13850048954363897	0.2255144120230557	1.0986693913390129	0.35218022208866107	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.36541193886159984
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	ifn_apc	4	0.15120547647744584	0.10007332902034825	1.375394169034437	0.2627170662480984	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.38443766010428015
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	hla_ii_apc	4	0.1403040291071951	0.04217658728232766	0.9090350442262705	0.43035072602586033	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.43035072602586033
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	lysosomal_apc	4	0.07791604375835298	0.08076114214556014	1.2529068612196448	0.2990070689699957	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.38443766010428015
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	mif_cd74_receptor_state	4	0.14639139546093183	0.052194314189867766	1.0680492812278894	0.3638100754112116	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.40928633483761306
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	mixscale_validated_ifng_readout	4	0.13109695500574203	0.0996811568404431	1.6442562376757608	0.19867066240714637	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3576071923328635
