gene	wave81_call	wave81_score	direct_perturbation	direct_perturbation_detail	foundation_model_support	foundation_model_detail	ms_expr_anchor	ms_delta_log2	ms_p	ms_genetic_anchor	strong_l2g_disease_count	positive_broad_disease_count	positive_broad_diseases	best_ibd_raw_response_p	best_ibd_raw_response_fdr	best_ibd_paired_p	best_ibd_paired_fdr	wave62_call	gene_class	intervention_route_read	manual_blocker	chembl_exact_human_target_count	chembl_exact_target_ids	uniprot_accessions	uniprot_locations	europepmc_hit_count	clinicaltrials_returned_count	google_patents_url	modality_or_accessible_route	evidence_channel_count	hard_failures	wave82_call
CD9	PARK_PERTURBATION_FIRST_CANDIDATE	8.0	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0		1	1.1100295973517351	0.0019686305906988	0	0	0		0.1780830366271985	1.0	0.1854140139866797	1.0		surface tetraspanin	antibody route plausible in principle but CD9 is broad and platelet/immune/stromal biology is nonspecific	broad_surface_tetraspanin_no_disease_breadth	0		P21926	Cell membrane;Membrane;Secreted, extracellular exosome	5455	3	https://patents.google.com/?q=CD9%20autoimmune%20inhibitor%20agonist	1	3	insufficient_cross_disease_state_breadth;broad_surface_tetraspanin_no_disease_breadth	PARK_READOUT_OR_PRECLINICAL_PROBE
PSAP	PARK_PERTURBATION_FIRST_CANDIDATE	7.0	0		1	wave57:support=1,strong=0,token_contexts=6	1	0.4733416802617221	0.0222704205658317	0	0	0		0.355494913816343	1.0	0.3035476276872365	1.0		secreted/lysosomal sphingolipid cofactor precursor	replacement/peptide biology plausible but not target-resolved and not cross-autoimmune anchored	secreted_lysosomal_readout_no_target_anchor	1	CHEMBL3580523	P07602	Lysosome;Mitochondrion outer membrane;Secreted;Secreted, extracellular space, extracellular matrix;Secreted, extracellular space, surface film	643	0	https://patents.google.com/?q=PSAP%20autoimmune%20inhibitor%20agonist	1	3	insufficient_cross_disease_state_breadth;secreted_lysosomal_readout_no_target_anchor	PARK_READOUT_OR_PRECLINICAL_PROBE
DAB2	PARK_PERTURBATION_FIRST_CANDIDATE	9.0	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0		1	0.5378984279794476	0.0111306912319104	0	0	0		0.0836599691107984	1.0	0.047169838467308	1.0		intracellular endocytic/adaptor protein	no selective direct modality; possible pathway/readout only	adaptor_not_druggable_directly	0		P98082	Cytoplasm;Cytoplasmic vesicle, clathrin-coated vesicle membrane;Membrane, clathrin-coated pit	1109	0	https://patents.google.com/?q=DAB2%20autoimmune%20inhibitor%20agonist	0	2	insufficient_cross_disease_state_breadth;no_direct_modality_or_accessible_route;adaptor_not_druggable_directly	PARK_READOUT_OR_PRECLINICAL_PROBE
RGS14	NO_GO_NO_PERTURBATION_SUPPORT	9.0	0		0		1	-0.5035394425450566	0.0463387063426136	1	3	1	Crohn disease	0.0231153036723188	1.0	0.0287252207518441	1.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	regulator of G-protein signaling/scaffold	no selective immune intervention route identified	no_direct_perturbation_or_modality	0		O43566	Cell membrane;Cell projection, dendrite;Cell projection, dendritic spine;Cytoplasm;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle;Cytoplasm, cytoskeleton, spindle pole;Membrane;Nucleus;Nucleus, PML body;Postsynaptic density	141	0	https://patents.google.com/?q=RGS14%20autoimmune%20inhibitor%20agonist	0	2	no_positive_perturbation_or_model_support;insufficient_cross_disease_state_breadth;no_direct_modality_or_accessible_route;no_direct_perturbation_or_modality	PARK_READOUT_OR_PRECLINICAL_PROBE
PARK7	PARK_PERTURBATION_FIRST_CANDIDATE	8.0	0		1	wave57:support=2,strong=0,token_contexts=3	0	0.1710418567143854	0.4469378955677691	0	0	2	psoriasis;ulcerative colitis	0.6241174547054757	1.0	0.007300224821745	0.6155718115592173	NO_GO_WAVE62_TARGET_RESOLUTION	redox/chaperone enzyme-like stress protein	small-molecule modulation exists in adjacent neurodegeneration space; autoimmune direction not anchored locally	generic_oxidative_stress_no_ms_anchor	2	CHEMBL5169188;CHEMBL6066048	Q99497	Cell membrane;Cytoplasm;Endoplasmic reticulum;Membrane raft;Mitochondrion;Nucleus	979	0	https://patents.google.com/?q=PARK7%20autoimmune%20inhibitor%20agonist	1	2	no_ms_anchor;insufficient_cross_disease_state_breadth;generic_oxidative_stress_no_ms_anchor	PARK_READOUT_OR_PRECLINICAL_PROBE
HEXA	PARK_PERTURBATION_FIRST_CANDIDATE	5.0	0		1	wave57:support=1,strong=1,token_contexts=3	0	-0.2333966796222828	0.3783657469096832	0	0	1	Crohn disease	0.2452265677169609	1.0	0.0013822504255144	0.5416990453726748		lysosomal enzyme subunit	enzyme replacement/gene therapy precedent in storage disease, not autoimmune module intervention	lysosomal_housekeeping_enzyme_no_autoimmune_direction	2	CHEMBL1250415;CHEMBL3038485	P06865	Lysosome	1715	5	https://patents.google.com/?q=HEXA%20autoimmune%20inhibitor%20agonist	1	2	no_ms_anchor;insufficient_cross_disease_state_breadth;lysosomal_housekeeping_enzyme_no_autoimmune_direction	PARK_READOUT_OR_PRECLINICAL_PROBE
HEXB	PARK_PERTURBATION_FIRST_CANDIDATE	5.0	0		1	wave57:support=1,strong=1,token_contexts=4	0	0.2440950857530737	0.2023278254000029	0	0	0		0.2747581303543149	1.0	0.0351922658670569	1.0		lysosomal enzyme subunit	enzyme replacement/gene therapy precedent in storage disease, not autoimmune module intervention	lysosomal_housekeeping_enzyme_no_autoimmune_direction	2	CHEMBL5877;CHEMBL3038485	P07686	Cytoplasmic vesicle, secretory vesicle, Cortical granule;Lysosome	39530	0	https://patents.google.com/?q=HEXB%20autoimmune%20inhibitor%20agonist	1	2	no_ms_anchor;insufficient_cross_disease_state_breadth;lysosomal_housekeeping_enzyme_no_autoimmune_direction	PARK_READOUT_OR_PRECLINICAL_PROBE
SP140	NO_GO_PERTURBATION_FIRST_BLOCKED	8.0	0		0		0	-0.0867628128456026	0.7262224269643743	1	3	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0152328403374826	0.7417124806231342	0.6397325281783008	1.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	immune chromatin reader	bromodomain inhibitor precedent exists, but prior Wave56 direction/modality and novelty blockers remain	prior_art_directionality_and_no_strict_model_support	2	CHEMBL3108643;CHEMBL4105997	Q13342	Cytoplasm;Nucleus;Nucleus, PML body	320	0	https://patents.google.com/?q=SP140%20autoimmune%20inhibitor%20agonist	1	4	no_positive_perturbation_or_model_support;prior_art_directionality_and_no_strict_model_support	NO_GO_WAVE82_BLOCKED
STAT4	NO_GO_PERTURBATION_FIRST_BLOCKED	7.0	0		0		0	0.8684079555977076	0.4607005214454064	1	8	2	Crohn disease;ulcerative colitis	0.0015163184704909	0.5873562852590756	0.5808361587347401	1.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	transcription factor	broad Th1/Th17 TF biology; no direct selective modality	tf_not_selectively_druggable_wrong_direction	2	CHEMBL4523296;CHEMBL4523706	Q14765	Cytoplasm;Nucleus	6781	3	https://patents.google.com/?q=STAT4%20autoimmune%20inhibitor%20agonist	1	3	no_positive_perturbation_or_model_support;insufficient_cross_disease_state_breadth;tf_not_selectively_druggable_wrong_direction	NO_GO_WAVE82_BLOCKED
LYN	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	0		1	wave70c:support=3,strong=1,token_contexts=6	0	0.1003572031246236	0.4510979646191576	0	0	3	Crohn disease;psoriasis;ulcerative colitis	0.0124701068861812	0.735902312729011	0.8536441932351698	1.0		SRC-family kinase	kinase inhibitors exist but selectivity and immune pleiotropy are poor	broad_src_family_kinase	2	CHEMBL3905;CHEMBL6066565	P07948	Cell membrane;Cytoplasm;Cytoplasm, perinuclear region;Golgi apparatus;Membrane;Nucleus	4575	4	https://patents.google.com/?q=LYN%20autoimmune%20inhibitor%20agonist	1	3	no_ms_anchor;broad_src_family_kinase	NO_GO_WAVE82_BLOCKED
