scope	scenario	check	status	detail	score_values_read
step	scoreable_canonical_pre_result	score_values_read_false_step_1	PASS	receipt_manifest	false
step	scoreable_canonical_pre_result	score_values_read_false_step_2	PASS	first30_status_board	false
step	scoreable_canonical_pre_result	score_values_read_false_step_3	PASS	safe_class_report_readiness	false
step	scoreable_canonical_pre_result	score_values_read_false_step_4	PASS	report_skeleton	false
step	unscoreable_aggregate_repair_path	score_values_read_false_step_1	PASS	receipt_manifest	false
step	unscoreable_aggregate_repair_path	score_values_read_false_step_2	PASS	first30_status_board	false
step	unscoreable_aggregate_repair_path	score_values_read_false_step_3	PASS	safe_class_report_readiness	false
step	unscoreable_aggregate_repair_path	score_values_read_false_step_4	PASS	report_skeleton	false
step	terms_blocked_no_package_review	score_values_read_false_step_1	PASS	receipt_manifest	false
step	terms_blocked_no_package_review	score_values_read_false_step_2	PASS	first30_status_board	false
step	terms_blocked_no_package_review	score_values_read_false_step_3	PASS	safe_class_report_readiness	false
step	terms_blocked_no_package_review	score_values_read_false_step_4	PASS	report_skeleton	false
report_skeleton	scoreable_canonical_pre_result	required_header_before_body:cohort_token:	PASS	analysis/v46_operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	false
report_skeleton	scoreable_canonical_pre_result	required_header_before_body:route_class:	PASS	analysis/v46_operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	false
report_skeleton	scoreable_canonical_pre_result	required_header_before_body:terms_class:	PASS	analysis/v46_operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	false
report_skeleton	scoreable_canonical_pre_result	required_header_before_body:safe_class:	PASS	analysis/v46_operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	false
report_skeleton	scoreable_canonical_pre_result	required_header_before_body:locked_rule_path:	PASS	analysis/v46_operator_transcript_fixture/report_skeletons/scoreable_canonical_pre_result.md	false
