cell_type	chrom	pos	id	info_gene_hit	credible_id_hit	info
CD4_NAIVE	chr1	200591248	rs2809352	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.00476436455e-07;Beta=0.724869188597
CD4_NAIVE	chr1	200591915	rs2808245	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=4.72141937077e-07;Beta=0.671663501073
CD4_NAIVE	chr1	200591937	rs2808246	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=4.72141937077e-07;Beta=0.671663501073
CD4_NAIVE	chr1	200591983	rs2808247	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=4.72141937077e-07;Beta=0.671663501073
CD4_NAIVE	chr1	200592361	rs2808249	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.30520771604e-07;Beta=0.714116610954
CD4_NAIVE	chr1	200592722	rs2808251	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.30520771604e-07;Beta=0.714116610954
CD4_NAIVE	chr1	200592795	rs34510201	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=2.34178790372e-07;Beta=0.707808730607
CD4_NAIVE	chr1	200592841	rs145135351	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=2.34178790372e-07;Beta=0.707808730607
CD4_NAIVE	chr1	200593636	rs2809351	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.30520771604e-07;Beta=0.714116610954
CD4_NAIVE	chr1	200594005	rs2808257	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.30520771604e-07;Beta=0.714116610954
CD4_NAIVE	chr1	200600110	rs2809340	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=2.25695376983e-05;Beta=0.581774180811
CD4_NAIVE	chr1	200627312	rs10919993	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.19228719979e-10;Beta=-0.815225353972
CD4_NAIVE	chr1	200638662	rs11588318	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200638847	rs6661240	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200639683	rs3806358	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200640792	rs6656619	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200641252	rs6670887	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200641948	rs28608585	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200642094	rs12047921	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200642485	rs10494821	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200643454	rs4265457	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=3.54115136795e-06;Beta=0.584070490181
CD4_NAIVE	chr1	200643838	rs6667172	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200645345	rs7527499	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200645489	rs7550238	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200645647	rs6427838	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200646073	rs6700559	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200646359	rs6700859	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200646776	rs12061346	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200647371	rs7533971	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200648310	rs10919998	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200649131	rs4072552	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.16968881465e-06;Beta=0.616818100588
CD4_NAIVE	chr1	200655233	rs11581339	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=5.77570131819e-09;Beta=-0.745078965327
CD4_NAIVE	chr1	200655728	rs7520407	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=5.77570131819e-09;Beta=-0.745078965327
CD4_NAIVE	chr1	200662835	rs12076946	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=3.15009167368e-08;Beta=-0.715121079996
CD4_STIM	chr1	200592275	rs2808248	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.65790019598e-05;Beta=-0.713439961472
CD4_STIM	chr1	200592363	rs7521550	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=6.15840032252e-05;Beta=0.668152417538
CD4_STIM	chr1	200592547	rs2808250	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.65790019598e-05;Beta=-0.713439961472
CD4_STIM	chr1	200592854	rs10919987	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.65790019598e-05;Beta=-0.713439961472
CD4_STIM	chr1	200593169	rs2808253	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=1.65790019598e-05;Beta=-0.713439961472
CD4_STIM	chr1	200595273	rs10399615	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=6.15840032252e-05;Beta=0.668152417538
CD4_STIM	chr1	200595369	rs10399790	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=6.15840032252e-05;Beta=0.668152417538
CD4_STIM	chr1	200595565	rs66717951	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=4.36489983651e-07;Beta=-0.808880312464
CD4_STIM	chr1	200595593	rs67040424	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=4.36489983651e-07;Beta=-0.808880312464
CD4_STIM	chr1	200595657	rs35941344	False	True	Gene=ENSG00000118197;GeneSymbol=DDX59;Pvalue=4.36489983651e-07;Beta=-0.808880312464
