package_id	expected_route	provided_fields
example_01_full_paired_response	monitoring_validation	subject_id;baseline_expression;early_treatment_expression;response_label;feature_annotation;module_gene_coverage;batch_QC_metadata
example_02_no_response_label	pharmacodynamic_context_only	subject_id;baseline_expression;early_treatment_expression;feature_annotation;treatment_timing;expression_or_immune_profile
example_03_missing_baseline	monitoring_validation	subject_id;early_treatment_expression;response_label;feature_annotation
example_04_chr1_genotype_expression	chr1_target_resolution	chr1_credible_set_dosage;ancestry_PCs;candidate_gene_expression_or_protein;cell_state_labels;disease_status
example_05_chr1_inhibitor_only	chr1_modality_workup	perturbation_modality;MS_relevant_phenotype_readout
example_06_postpartum_ms_timed	postpartum_secondary_biology	postpartum_timing;relapse_timing;immune_profile;APC_HLAII_CD64_coverage;DMT_steroid_infection_metadata
example_07_tb_no_composition	TB_secondary_monitoring	T_B_compartment_resolution;paired_timing_or_response_labels
example_08_structure_only	structure_context_only	protein_id;model_source_and_version;confidence_metrics;relationship_to_lead
example_09_terms_unclear	access_or_terms_blocked	data_availability_statement
example_10_aggregate_plot_only	metadata_only_or_aggregate_only	source_description;available_fields
