entity	modality_source_family_collapsed_recurrence
apc_hla_ifn_monitoring	16
apc_axis	13
ifn_apc	11
hla_ii_apc	11
coupled_apc_axis	10
mif_cd74_receptor_state	9
lysosomal_apc	7
mixscale_validated_ifng_readout	5
metabolic_sterol	5
complement_lipid_axis	4
hla_ii_apc__mif_cd74_receptor_state	4
tb_readable_compartment	3
lipid_loader_repair	3
layer_transfer_map	3
ifn_apc__mixscale_validated_ifng_readout	3
ifn_apc__lysosomal_apc	3
ifn_apc__mif_cd74_receptor_state	3
genetic_backdrop_ms_uc	3
hla_ii_apc__mixscale_validated_ifng_readout	2
hla_ii_apc__ifn_apc	2
cell_composition	2
lipid_loader_repair__lysosomal_apc	2
glucocorticoid_steroid	2
lysosomal_apc__mixscale_validated_ifng_readout	2
hla_ii_apc__lysosomal_apc	2
mif_cd74_receptor_state__mixscale_validated_ifng_readout	2
chr1_kif21b_gpr25	2
postpartum_apc_split	2
multi_lineage_and_rpt_lenses_add_prioritization_not_evidence	1
zfp36l1	1
rel_pus10_usp34	1
complement_phagocytosis	1
ms_uc_genetic_backdrop	1
gpr25	1
hif_nampt_metabolic	1
kif21b	1
zmiz1	1
