sequence	section	phase	artifact_id	script	present_in_readme	script_in_regression_suite	script_in_smoke_bundle	covered_by_drift_fixture	source	score_values_read
1	handoff_manifest	cold_start	current_action_card	scripts/v45_current_action_card.py	true	false	false	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
2	handoff_manifest	cold_start	cold_start_operator_sequence	scripts/v45_cold_start_operator_sequence.py	true	false	false	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
3	handoff_manifest	pre_touch_guard	receipt_manifest_schema_linter	scripts/v46_receipt_manifest_schema_linter.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
4	handoff_manifest	pre_touch_guard	package_manifest_shape_classifier	scripts/v46_package_manifest_shape_classifier.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
5	handoff_manifest	pre_touch_guard	receipt_manifest_to_command_plan_handoff	scripts/v46_receipt_manifest_to_command_plan_handoff.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
6	handoff_manifest	first_30_minutes	first30_decision_table	scripts/v46_first30_returned_package_decision_table.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
7	handoff_manifest	first_30_minutes	first30_status_board	scripts/v46_first30_returned_package_status_board_dryrun.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
8	handoff_manifest	first_30_minutes	status_board_schema_linter	scripts/v46_returned_package_status_board_schema_linter.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
9	handoff_manifest	first_30_minutes	status_board_markdown_roundtrip_renderer	scripts/v46_status_board_markdown_roundtrip_renderer.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
10	handoff_manifest	preflight_composition	returned_package_preflight_dryrun	scripts/v46_returned_package_preflight_dryrun.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
11	handoff_manifest	command_order	command_order_planner	scripts/v46_returned_package_command_order_planner.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
12	handoff_manifest	state_guard	state_transition_validator	scripts/v46_returned_package_state_transition_validator.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
13	handoff_manifest	interpretation_boundary	safe_interpretation_classifier	scripts/v46_returned_package_safe_interpretation.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
