delta_id	item	v37_relevance	v37_novelty	v37_evidence_grade	v54_current_grade	delta_type	progression_specific_status	interpretation	supporting_artifacts
V54D01	Bounded APC/HLA-II early treatment-response monitoring scalar	5	4	provisional	provisional	unchanged_scope	not_a_progression_endpoint	V54 does not alter its monitoring evidence; no held analysis links it to disability progression.	docs/locked_rules/LOCKED_RULE_V22.md;analysis/v54_progression_intervention_direction_map/REPORT.md
V54D02	Tool-robust but simple V22 scalar	4	3	supported	supported	unchanged_scope	not_a_progression_endpoint	Tool robustness remains valid for treatment monitoring and is not evidence of progression prediction.	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md;analysis/v54_progression_data_inventory/REPORT.md
V54D03	V22 scalar is immune-tone bounded, not steroid/composition artifact	4	3	supported	supported	unchanged_scope	not_a_progression_endpoint	Its confounder-bounded monitoring interpretation is unchanged; V54 adds no disability outcome.	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md;analysis/v54_progression_data_inventory/REPORT.md
V54D04	Coupled APC remodeling architecture	4	4	supported	supported	narrowed_for_progression	architecture_supported_progression_transfer_not_supported	The architecture remains supported as cross-context structure, but no module transfers through the V54 progression-stage/lesion gates.	docs/findings/DEEP_STRUCTURE_V26.md;analysis/v54_progressive_stage_modules/REPORT.md;analysis/v54_progression_lesion_state/REPORT.md
V54D05	IFN-beta HLA-II/CD74 branch	3	3	provisional	provisional	unchanged_scope	pharmacodynamic_context_only_for_progression	The branch remains therapy-specific context and cannot substitute for longitudinal disability.	analysis/v36_ms_ifnb_longitudinal_audit/;analysis/v54_transition_identifiability/REPORT.md
V54D06	T/B-readable early IFN/APC/STAT1 monitoring state	3	4	provisional	provisional	unchanged_scope	monitoring_context_only_for_progression	The state remains a replication-gated monitoring audit; no progression endpoint was added.	docs/history/HYPOTHESIS_SLATE_V36.md;analysis/v54_progression_data_inventory/REPORT.md
V54D07	Postpartum HLA-II/CD64 APC-arm imbalance	3	4	provisional	provisional	unchanged_scope	relapse_window_not_disability_progression	Postpartum timing remains data-gated and relapse risk cannot be substituted for disability accumulation.	docs/history/HYPOTHESIS_SLATE_V35.md;analysis/v54_transition_identifiability/REPORT.md
V54D08	Complement/lipid progressive axis downgraded	2	3	negative-established	negative-established	negative_reinforced	no_orthogonal_progression_support	V54 targeted lesion tests provide no orthogonally supported complement/lipid progression state.	docs/history/HYPOTHESIS_SLATE_V36.md;analysis/v54_progression_lesion_state/REPORT.md
V54D09	Lysosomal APC bottleneck not proven	3	3	provisional	provisional	narrowed_for_progression	exploratory_morphology_only_no_bottleneck	A local foamy-morphology association fails the global sequential family and donor-estimand checks; bottleneck and progression claims remain unproven.	analysis/v54_post_result_morphology_multiplicity/REPORT.md;analysis/v54_foamy_donor_estimand_audit/REPORT.md
V54D10	Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	3	2	provisional	provisional	narrowed_for_progression	exploratory_morphology_context_only	OXPHOS is morphology-associated only before the global/donor limitations and supplies no progression or intervention direction.	analysis/v54_progression_lesion_module_panel/REPORT.md;analysis/v54_post_result_morphology_multiplicity/REPORT.md
V54D11	Multi-lineage and RPT lenses add prioritization, not evidence	2	3	supported	supported	method_strengthened	proposal_only_review_changed_grade_after_grounding	Claude/Gemini review added value by triggering a data-grounded morphology downgrade; model output itself remained non-evidence.	analysis/v54_multilineage_progression_review/REPORT.md
V54D12	First-principles druggability discipline changed target interpretation	4	4	supported	supported	method_strengthened	no_progression_candidate_reached_structure_gate	Zero of nine candidates passed the progression-specific association/direction gate, so structure was correctly not used to decorate a target.	analysis/v54_progression_intervention_direction_map/REPORT.md
V54D13	cd44_cxcr4_ms_state_not_progression_marker	not_scored_in_v37	not_scored_in_v37	not_in_v37	supported-provisional	new_post_v37_item	cd44_cxcr4_ms_state_not_progression_marker	The replicated MS microglial disease-state association remains real at its bounded scope; V54 found no portable PPMS-versus-SPMS association.	analysis/v53_microglia_cross_cohort_meta/REPORT.md;analysis/v54_progressive_stage_modules/REPORT.md
V54D14	foamy_oxphos_lysosomal_state_not_progression	not_scored_in_v37	not_scored_in_v37	not_in_v37	exploratory	new_post_v37_item	foamy_oxphos_lysosomal_state_not_progression	Post-result morphology coefficients do not survive the complete family and are substantially between-donor or unresolved.	analysis/v54_post_result_morphology_multiplicity/REPORT.md;analysis/v54_foamy_donor_estimand_audit/REPORT.md
