record_id	check	status	detail
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	present_in_packet	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/high_priority_source_terms_packet_v48.tsv
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.record_type	PASS	queue=external_claim packet=external_claim
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.epistemic_class	PASS	queue=external-unverifiable packet=external-unverifiable
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.source_domain	PASS	queue=www.nature.com packet=www.nature.com
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.review_class	PASS	queue=publisher_literature packet=publisher_literature
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.source_url	PASS	queue=https://www.nature.com/articles/s41467-021-25768-0 packet=https://www.nature.com/articles/s41467-021-25768-0
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.terms_review_reason	PASS	queue=controlled/commercial/manual/publisher terms can materially constrain reuse packet=controlled/commercial/manual/publisher terms can materially constrain reuse
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.recommended_next_step	PASS	queue=Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely. packet=Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	not_project_grounded_marker	PASS	packet row must preserve external/not-grounded boundary marker
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	record_path_resolved	PASS	packet row must point back to its external JSON record
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	present_in_packet	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/high_priority_source_terms_packet_v48.tsv
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.record_type	PASS	queue=external_claim packet=external_claim
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.epistemic_class	PASS	queue=external-unverifiable packet=external-unverifiable
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.source_domain	PASS	queue=www.nature.com packet=www.nature.com
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.review_class	PASS	queue=publisher_literature packet=publisher_literature
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.source_url	PASS	queue=https://www.nature.com/articles/s41467-021-25768-0 packet=https://www.nature.com/articles/s41467-021-25768-0
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.terms_review_reason	PASS	queue=controlled/commercial/manual/publisher terms can materially constrain reuse packet=controlled/commercial/manual/publisher terms can materially constrain reuse
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	field_matches.recommended_next_step	PASS	queue=Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely. packet=Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	not_project_grounded_marker	PASS	packet row must preserve external/not-grounded boundary marker
claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	record_path_resolved	PASS	packet row must point back to its external JSON record
resource.disgenet.platform.2026-06-13	present_in_packet	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/high_priority_source_terms_packet_v48.tsv
resource.disgenet.platform.2026-06-13	field_matches.record_type	PASS	queue=external_resource_catalog packet=external_resource_catalog
resource.disgenet.platform.2026-06-13	field_matches.epistemic_class	PASS	queue=external-unverifiable packet=external-unverifiable
resource.disgenet.platform.2026-06-13	field_matches.source_domain	PASS	queue=disgenet.com packet=disgenet.com
resource.disgenet.platform.2026-06-13	field_matches.review_class	PASS	queue=mixed_commercial_or_registration_access packet=mixed_commercial_or_registration_access
resource.disgenet.platform.2026-06-13	field_matches.source_url	PASS	queue=https://disgenet.com/ packet=https://disgenet.com/
resource.disgenet.platform.2026-06-13	field_matches.terms_review_reason	PASS	queue=controlled/commercial/manual/publisher terms can materially constrain reuse packet=controlled/commercial/manual/publisher terms can materially constrain reuse
resource.disgenet.platform.2026-06-13	field_matches.recommended_next_step	PASS	queue=Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely. packet=Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
resource.disgenet.platform.2026-06-13	not_project_grounded_marker	PASS	packet row must preserve external/not-grounded boundary marker
