artifact	output_class	commit_policy	hash_policy	note
analysis/received_package_intake/20260710_synthetic_monitoring_manifest/manifest.tsv	synthetic_dry_run_manifest	commit_allowed_synthetic_only	do_not_hash_as_operator_control	safe synthetic manifest used for intake path dry run
analysis/received_package_intake/20260710_synthetic_monitoring_manifest/route_classification.tsv	synthetic_dry_run_output	commit_allowed_synthetic_only	do_not_hash_as_operator_control	classifier output from synthetic intake dry run
analysis/v52_package_id_validation/package_id_validation_checks.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	package ID validator pass/fail output
analysis/v52_received_intake_safety_audit/intake_safety_audit.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	tracked intake safety audit output
analysis/v52_package_intake_cross_reference_audit/package_intake_cross_reference_audit.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	package-intake path reference audit output
analysis/v52_package_intake_cli_help_snapshot/cli_help_snapshot.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	CLI help surface snapshot output
analysis/v52_package_intake_combined_smoke_suite/combined_smoke_suite.tsv	synthetic_regression_output	commit_allowed	do_not_hash_as_operator_control	combined synthetic intake smoke-suite summary
analysis/v52_package_intake_combined_smoke_suite/synthetic_route_classification.tsv	synthetic_regression_output	commit_allowed	do_not_hash_as_operator_control	route output generated inside combined smoke suite
analysis/v52_manifest_readme_consistency_audit/manifest_readme_consistency_audit.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	manifest/README consistency audit output
analysis/v52_route_classifier_examples_regression/examples_as_manifest.tsv	synthetic_regression_input	commit_allowed	do_not_hash_as_operator_control	manifest-shaped route-classifier examples
analysis/v52_route_classifier_examples_regression/examples_route_classification.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	route-classifier examples regression output
analysis/v52_route_classifier_examples_regression/examples_regression_summary.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	route-classifier examples regression summary
analysis/v52_package_intake_raw_term_scanner/raw_term_scan.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	raw/credential wording scan output
analysis/v52_received_package_dry_run_replay/dry_run_replay_summary.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	dry-run replay summary
analysis/v52_received_package_dry_run_replay/replayed_route_classification.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	dry-run replay classifier output
analysis/v52_handoff_ordered_flow_audit/handoff_ordered_flow_audit.tsv	regression_output	commit_allowed	do_not_hash_as_operator_control	handoff Universal Intake order audit output
