gene	scope	routing_decision	manual_status	manual_reason	positive_disease_count	negative_disease_count	positive_compartment_count	positive_fdr10_compartment_count	positive_diseases	top_positive_compartments	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_evidence_present	geneformer_contexts_with_token	geneformer_disease_cells_with_token	geneformer_support_contexts	geneformer_strong_support_contexts	geneformer_mean_cosine_z_vs_random	geneformer_mean_projection_shift	residual_raw_positive_disease_count	residual_retained_positive_disease_count	residual_non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	residual_gate_priority_score	focused_strict_core_covariate_surviving_analysis_count	focused_retained_positive_disease_count
CHI3L1	adjacent_from_candidate_tsv	demote	prior_art_demote	crowded YKL-40 biomarker/target prior art	3.0	0.0	4.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:5.94,p=0.00056;ibd_crohn_stromal:4.7,p=0.011;t1d_endothelial_cell:2.71,p=0.038;t1d_stellate_cell:1.53,p=0.043	2.006853151074319	0.0046126032857275	0.8344760564031432	False	5.0	11.0	0.0	0.0	0.0981595032981655	0.0180594950914382	2.0	2.0	1.0	0.0		7.0	0.0	2.0
LTA4H	adjacent_from_candidate_tsv	demote	prior_art_demote	direct EAE/MS and inflammatory-disease inhibitor prior art; prior Geneformer veto	3.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_myeloid:1.23,p=0.0072;t1d_acinar_cell:0.427,p=0.0087;ibd_uc_myeloid:1.18,p=0.02	0.8088474560590342	0.0063566148101549	0.8344760564031432	False	0.0	0.0	0.0	0.0			2.0	2.0	0.0	0.0		4.0	0.0	0.0
APOC1	adjacent_from_candidate_tsv	demote	model_demote	post-triage Geneformer deletion screen showed no normalization support	3.0	1.0	3.0	0.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	t1d_acinar_cell:1.51,p=0.0077;sjogren_gland_epithelial:1.18,p=0.0097;ibd_uc_epithelial:1.28,p=0.047	0.8063088065414767	0.0333487255864159	0.8506970233122761	False	3.0	4.0	0.0	0.0	-1.091748006188827	-0.0170548669993877	0.0	0.0	0.0	0.0		-3.0	0.0	0.0
CBX3	adjacent_from_candidate_tsv	hold	generic_hold	chromatin/proliferation-associated; no clear lipid-lysosomal intervention point	4.0	0.0	10.0	2.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027	0.3505111291715241	0.0165873089490037	0.8372898579012464	False	0.0	0.0	0.0	0.0			3.0	3.0	2.0	1.0	ibd_uc_stromal:ulcerative colitis	16.0	0.0	0.0
C15ORF48	focus	hold	model_blocked_hold	strong expression marker but absent from Geneformer token dictionary in the current route	3.0	0.0	4.0	2.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_myeloid:4.45,p=2.9e-05;ibd_crohn_myeloid:3.88,p=0.00061;t1d_endothelial_cell:3.21,p=0.0014;t1d_stellate_cell:3.09,p=0.015	1.223015588579818	0.0037534871126623	0.8344760564031432	False	0.0	0.0	0.0	0.0			3.0	3.0	1.0	0.0		7.0	0.0	3.0
CXCL9	adjacent_from_candidate_tsv	hold	generic_hold	IFN/CXCR3 chemokine axis; likely broad inflammatory trafficking rather than module-specific node	3.0	0.0	3.0	0.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	t1d_stellate_cell:1.47,p=0.015;sjogren_gland_apc:2.6,p=0.025;ibd_uc_myeloid:3.28,p=0.041	2.5544176187121583	0.0309913568123503	0.8506970233122761	False	2.0	3.0	0.0	0.0	0.7202243997707136	0.0361523702740669	1.0	1.0	0.0	0.0		3.0	0.0	1.0
PPP3CA	adjacent_from_candidate_tsv	hold	prior_art_hold	calcineurin is drugged by cyclosporine/tacrolimus with broad toxicity and direct transplant/autoimmunity precedent	3.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:1.13,p=0.021;ibd_crohn_epithelial:0.631,p=0.026;t1d_acinar_cell:0.448,p=0.039	0.3662550380794975	0.0343364012152779	0.8506970233122761	False	4.0	8.0	0.0	0.0	-0.3499631312952315	-0.0151299240533262	0.0	0.0	0.0	0.0		2.0	0.0	0.0
SNX10	focus	test_or_scout	unknown		3.0	0.0	4.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_myeloid:1.94,p=0.00012;ibd_uc_myeloid:1.31,p=0.0026;t1d_endothelial_cell:2.53,p=0.0028;t1d_stellate_cell:1.72,p=0.017	0.712408223548989	0.0127398445881719	0.8349413280632139	False	7.0	25.0	4.0	1.0	-0.0319654384098506	0.0058473419963515	2.0	2.0	0.0	0.0		4.0	0.0	2.0
DAP	focus	test_or_scout	unknown		3.0	0.0	4.0	0.0	Crohn disease;psoriasis;ulcerative colitis	ibd_uc_epithelial:0.851,p=0.0022;psoriasis_skin_stromal:0.636,p=0.0025;psoriasis_skin_apc:0.662,p=0.0069;ibd_crohn_epithelial:0.889,p=0.0076	0.3933456450044126	0.0080691967127082	0.8344760564031432	False	10.0	55.0	3.0	1.0	-0.2188240310841635	0.0091395323863252	3.0	2.0	1.0	0.0		6.0	0.0	2.0
FMNL2	focus	test_or_scout	unknown		4.0	0.0	5.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035	0.4116873433440275	0.0323812070948891	0.8506970233122761	False	4.0	14.0	1.0	0.0	-0.0928349243473628	0.0017445090925321	2.0	2.0	1.0	0.0		6.0	0.0	0.0
