gene	source	api_url	status	accession	entry_type	protein_name	function_excerpt	subcellular_location_excerpt	transmembrane_feature_count	signal_peptide_feature_count	uniprot_url
CHI3L1	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:CHI3L1%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	P36222	UniProtKB reviewed (Swiss-Prot)	Chitinase-3-like protein 1	Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling pathway and subsequent IL8 production in colonic epithelial cells. Regulates antibacterial responses in lung by contributing to macropha	Secreted, extracellular space; Cytoplasm; Cytoplasm, perinuclear region; Endoplasmic reticulum	0	1	https://www.uniprot.org/uniprotkb/P36222/entry
LTA4H	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:LTA4H%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	P09960	UniProtKB reviewed (Swiss-Prot)	Leukotriene A-4 hydrolase	Bifunctional zinc metalloenzyme that comprises both epoxide hydrolase (EH) and aminopeptidase activities. Acts as an epoxide hydrolase to catalyze the conversion of LTA4 to the pro-inflammatory mediator leukotriene B4 (LTB4) (PubMed:11917124, PubMed:12207002, PubMed:15078870, PubMed:18804029, PubMed:1897988, PubMed:1975494, PubMed:2244921, PubMed:2996528). Can utilize LTA5 less effectively as a substrate than LTA4, and produce LTB5 (PubMed:2996528). Also has aminopeptidase activity, with high affinity for N-terminal arginines of various synthetic tripeptides (PubMed:18804029, PubMed:20813919). In addition to its pro-inflammatory EH activity, may also counteract inflammation by its aminopepti	Cytoplasm	0	0	https://www.uniprot.org/uniprotkb/P09960/entry
APOC1	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:APOC1%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	P02654	UniProtKB reviewed (Swiss-Prot)	Apolipoprotein C-I	Inhibitor of lipoprotein binding to the low density lipoprotein (LDL) receptor, LDL receptor-related protein, and very low density lipoprotein (VLDL) receptor. Associates with high density lipoproteins (HDL) and the triacylglycerol-rich lipoproteins in the plasma and makes up about 10% of the protein of the VLDL and 2% of that of HDL. Appears to interfere directly with fatty acid uptake and is also the major plasma inhibitor of cholesteryl ester transfer protein (CETP). Binds free fatty acids and reduces their intracellular esterification. Modulates the interaction of APOE with beta-migrating VLDL and inhibits binding of beta-VLDL to the LDL receptor-related protein	Secreted	0	1	https://www.uniprot.org/uniprotkb/P02654/entry
CBX3	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:CBX3%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	Q13185	UniProtKB reviewed (Swiss-Prot)	Chromobox protein homolog 3	Component of heterochromatin, which recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression (PubMed:11242053). Also recognizes and binds histone H1.4 methylated at 'Lys-26' (H1.4K26me) (PubMed:16127177). Excluded from chromatin when histone H1.4 is Simultaneously methylated at Lys-26 (H1.4K26me) and phosphorylated at Ser-27 (H1.4S27Ph) (PubMed:16127177). Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins (PubMed:15502821). Contributes to the conversion of local chromatin to a heterochromatin-like repressive state through H3 'Lys-9' trimethylation, mediates the recruitment of the methyltransferases SUV39H1 	Nucleus	0	0	https://www.uniprot.org/uniprotkb/Q13185/entry
C15ORF48	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:C15ORF48%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	Q9C002	UniProtKB reviewed (Swiss-Prot)	Cytochrome c oxidase associated subunit FA4L3	Mitochondrial small peptide that orchestrates a two-pronged immunoregulatory mechanism in response to inflammatory stimuli. Replaces the canonical cytochrome c oxidase subunit COXFA4 in mitochondrial complex IV and targets it to degradation, attenuating mitochondrial respiration, reducing membrane potential as well as ROS generation and modulates innate immune signaling (PubMed:33837217, PubMed:34878835). Additionally, initiates stress-independent autophagy by lowering ATP levels, activating AMPK-ULK1 signaling, boosting glutathione production, and thereby mitigating oxidative stress and supporting immune tolerance (PubMed:38296961)	Mitochondrion inner membrane	1	0	https://www.uniprot.org/uniprotkb/Q9C002/entry
CXCL9	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:CXCL9%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	Q07325	UniProtKB reviewed (Swiss-Prot)	C-X-C motif chemokine 9	Cytokine that affects the growth, movement, or activation state of cells that participate in immune and inflammatory response. Chemotactic for activated T-cells. Binds to CXCR3	Secreted	0	1	https://www.uniprot.org/uniprotkb/Q07325/entry
PPP3CA	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:PPP3CA%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	Q08209	UniProtKB reviewed (Swiss-Prot)	Protein phosphatase 3 catalytic subunit alpha	Calcium-dependent, calmodulin-stimulated protein phosphatase which plays an essential role in the transduction of intracellular Ca(2+)-mediated signals (PubMed:15671020, PubMed:18838687, PubMed:19154138, PubMed:23468591, PubMed:30254215). Many of the substrates contain a PxIxIT motif and/or a LxVP motif (PubMed:17498738, PubMed:17502104, PubMed:22343722, PubMed:23468591, PubMed:27974827). In response to increased Ca(2+) levels, dephosphorylates and activates phosphatase SSH1 which results in cofilin dephosphorylation (PubMed:15671020). In response to increased Ca(2+) levels following mitochondrial depolarization, dephosphorylates DNM1L inducing DNM1L translocation to the mitochondrion (PubMe	Cytoplasm; Cell membrane; Cell membrane, sarcolemma; Cytoplasm, myofibril, sarcomere, Z line; Cell projection, dendritic spine	0	0	https://www.uniprot.org/uniprotkb/Q08209/entry
SNX10	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:SNX10%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	Q9Y5X0	UniProtKB reviewed (Swiss-Prot)	Sorting nexin-10	Probable phosphoinositide-binding protein involved in protein sorting and membrane trafficking in endosomes. Plays a role in cilium biogenesis through regulation of the transport and the localization of proteins to the cilium. Required for the localization to the cilium of V-ATPase subunit ATP6V1D and ATP6V0D1, and RAB8A. Involved in osteoclast differentiation and therefore bone resorption	Cytoplasm; Endosome membrane; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome	0	0	https://www.uniprot.org/uniprotkb/Q9Y5X0/entry
DAP	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:DAP%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	P51397	UniProtKB reviewed (Swiss-Prot)	Death-associated protein 1	Ribosome-binding protein involved in ribosome hibernation, a process during which ribosomes are stabilized in an inactive state and preserved from proteasomal degradation (By similarity). Acts via its association with eiF5a (EIF5A and EIF5A2) at the polypeptide exit tunnel of the ribosome, preventing mRNA translation (By similarity). Involved in ribosome hibernation in the mature oocyte by preventing mRNA translation, leading to ribosome inactivation (By similarity). Ribosomes, which are produced in large quantities during oogenesis, are stored and translationally repressed in the oocyte and early embryo (By similarity). Also acts as a negative regulator of autophagy (PubMed:20537536). Invol		0	0	https://www.uniprot.org/uniprotkb/P51397/entry
FMNL2	UniProt	https://rest.uniprot.org/uniprotkb/search?query=gene_exact:FMNL2%20AND%20organism_id:9606%20AND%20reviewed:true&fields=accession,reviewed,protein_name,cc_function,cc_subcellular_location,ft_transmem,ft_signal&format=json&size=1	ok	Q96PY5	UniProtKB reviewed (Swiss-Prot)	Formin-like protein 2	Plays a role in the regulation of cell morphology and cytoskeletal organization. Required in the cortical actin filament dynamics	Cytoplasm	0	0	https://www.uniprot.org/uniprotkb/Q96PY5/entry
