gene	query_symbol	status	url	gencode_id	chromosome	start	end	gene_symbol	error
SLC15A4	SLC15A4	ok	https://gtexportal.org/api/v2/reference/gene?geneId=SLC15A4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000139370.11	chr12	128793191	128823983	SLC15A4	
TASL	CXorf21	ok	https://gtexportal.org/api/v2/reference/gene?geneId=CXorf21&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000120280.5	chrX	30558824	30577844	CXorf21	
IRF5	IRF5	ok	https://gtexportal.org/api/v2/reference/gene?geneId=IRF5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000128604.19	chr7	128937612	128950035	IRF5	
PTPN2	PTPN2	ok	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000175354.18	chr18	12785478	12929643	PTPN2	
TNFAIP3	TNFAIP3	ok	https://gtexportal.org/api/v2/reference/gene?geneId=TNFAIP3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000118503.14	chr6	137867188	137883312	TNFAIP3	
CLEC16A	CLEC16A	ok	https://gtexportal.org/api/v2/reference/gene?geneId=CLEC16A&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000038532.14	chr16	10944488	11182189	CLEC16A	
SH2B3	SH2B3	ok	https://gtexportal.org/api/v2/reference/gene?geneId=SH2B3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000111252.10	chr12	111405948	111451623	SH2B3	
GPR65	GPR65	ok	https://gtexportal.org/api/v2/reference/gene?geneId=GPR65&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000140030.5	chr14	88005124	88014811	GPR65	
CIITA	CIITA	ok	https://gtexportal.org/api/v2/reference/gene?geneId=CIITA&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000179583.18	chr16	10866222	10932281	CIITA	
RFX5	RFX5	ok	https://gtexportal.org/api/v2/reference/gene?geneId=RFX5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000143390.17	chr1	151340640	151347357	RFX5	
GSK3B	GSK3B	ok	https://gtexportal.org/api/v2/reference/gene?geneId=GSK3B&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000082701.14	chr3	119821323	120094417	GSK3B	
CD74	CD74	ok	https://gtexportal.org/api/v2/reference/gene?geneId=CD74&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=5	ENSG00000019582.14	chr5	150401637	150412929	CD74	
