source_file	gene	present	row_json	note
results_v3/wave57_intervention_first_geneformer_screen/wave57_intervention_first_candidate_calls.tsv	IFI30	0		no_row
results_v3/wave57_intervention_first_geneformer_screen/wave57_intervention_first_candidate_calls.tsv	SP140	1	"{""best_context"": ""ra_nonclassical_monocyte"", ""best_cosine_shift_z_vs_random"": ""-0.4743264352507738"", ""best_mean_shift_to_control_cosine"": ""-0.0005422234535217"", ""best_n_disease_cells_with_token"": ""1"", ""best_projection_minus_random"": ""0.018558719669171102"", ""best_random_mean_shift_to_control_cosine"": ""-0.0002157058980729"", ""contexts_tested"": ""11"", ""contexts_with_token_ge_3_cells"": ""0"", ""contrast_fdr"": ""0.920009505703422"", ""critical_gate_pass_count"": ""2"", ""cross_disease_genetics_pass"": ""True"", ""diseases_genetic_ge_0_25"": ""AS;Crohn;MS;Psoriasis;RA;UC"", ""efferocytosis_pass"": ""False"", ""gene"": ""SP140"", ""in_lipid_lysosomal_myeloid_neighborhood"": ""False"", ""local_recurrence_pass"": ""True"", ""max_clinical_score"": ""0.0"", ""max_literature_score"": ""0.5046103221229447"", ""median_efficient_minus_noneater_lfc"": ""1.0553304433165922"", ""model_support_pass"": ""False"", ""ms_genetic_association"": ""0.7593921205206332"", ""ms_wm_delta_log2"": ""-0.0867628128456026"", ""ms_wm_fdr"": ""0.9677805697088556"", ""ms_wm_p"": ""0.7262224269643743"", ""n_diseases_genetic_ge_0_25"": ""6.0"", ""negative_disease_count"": ""0"", ""negative_diseases"": """", ""positive_disease_count"": ""4"", ""positive_diseases"": ""Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis"", ""retained_positive_disease_count"": ""1.0"", ""screen_call"": ""UNRESOLVED"", ""strict_core_covariate_surviving_analyses"": """", ""strict_core_covariate_surviving_disease_count"": ""0.0"", ""strict_ms_pass"": ""False"", ""strong_support_contexts"": ""0"", ""strong_supporting_contexts"": """", ""support_contexts"": ""0"", ""supporting_contexts"": """", ""top_retained_tests"": ""ibd_crohn_myeloid|hla_ii_apc:0.255,p=0.015;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.284,p=0.016;ibd_crohn_myeloid|complement_phagocytosis:0.262,p=0.025;ibd_crohn_myeloid|complement_effector:0.24,p=0.026;ibd_crohn_myeloid|lipid_loader_repair:0.246,p=0.029;ibd_crohn_myeloid|mif_cd74_receptor_state:0.209,p=0.046"", ""wave57_call"": ""NO_GO_MODEL_SCREEN"", ""wave57_call_priority"": ""2"", ""wave57_model_priority_score"": ""0.0""}"	
results_v3/wave57_intervention_first_geneformer_screen/wave57_intervention_first_candidate_calls.tsv	GALC	1	"{""best_context"": ""IBD_myeloid"", ""best_cosine_shift_z_vs_random"": ""1.2767979884541334"", ""best_mean_shift_to_control_cosine"": ""0.0008011062745936"", ""best_n_disease_cells_with_token"": ""3"", ""best_projection_minus_random"": ""-0.039924054403349396"", ""best_random_mean_shift_to_control_cosine"": ""-0.0002126751674546"", ""contexts_tested"": ""11"", ""contexts_with_token_ge_3_cells"": ""1"", ""contrast_fdr"": ""0.9965506589785832"", ""critical_gate_pass_count"": ""2"", ""cross_disease_genetics_pass"": ""True"", ""diseases_genetic_ge_0_25"": ""AS;Crohn;MS;SLE;UC"", ""efferocytosis_pass"": ""False"", ""gene"": ""GALC"", ""in_lipid_lysosomal_myeloid_neighborhood"": ""False"", ""local_recurrence_pass"": ""True"", ""max_clinical_score"": ""0.0"", ""max_literature_score"": ""0.0582575951564313"", ""median_efficient_minus_noneater_lfc"": ""-0.6411892122129084"", ""model_support_pass"": ""False"", ""ms_genetic_association"": ""0.5501215829794394"", ""ms_wm_delta_log2"": ""0.1897668310526405"", ""ms_wm_fdr"": ""0.9234563450681982"", ""ms_wm_p"": ""0.4547265367950667"", ""n_diseases_genetic_ge_0_25"": ""5.0"", ""negative_disease_count"": ""0"", ""negative_diseases"": """", ""positive_disease_count"": ""3"", ""positive_diseases"": ""psoriasis;type 1 diabetes mellitus;ulcerative colitis"", ""retained_positive_disease_count"": """", ""screen_call"": ""UNRESOLVED"", ""strict_core_covariate_surviving_analyses"": """", ""strict_core_covariate_surviving_disease_count"": """", ""strict_ms_pass"": ""False"", ""strong_support_contexts"": ""0"", ""strong_supporting_contexts"": """", ""support_contexts"": ""0"", ""supporting_contexts"": """", ""top_retained_tests"": """", ""wave57_call"": ""NO_GO_MODEL_SCREEN"", ""wave57_call_priority"": ""2"", ""wave57_model_priority_score"": ""0.25""}"	
results_v3/wave57_intervention_first_geneformer_screen/wave57_intervention_first_candidate_calls.tsv	CD58	0		no_row
results_v3/wave57_intervention_first_geneformer_screen/wave57_intervention_first_candidate_calls.tsv	IL7R	1	"{""best_context"": ""ra_myeloid_dendritic"", ""best_cosine_shift_z_vs_random"": ""0.5289555289406979"", ""best_mean_shift_to_control_cosine"": ""0.0002086361200781"", ""best_n_disease_cells_with_token"": ""12"", ""best_projection_minus_random"": ""0.0317525753667318"", ""best_random_mean_shift_to_control_cosine"": ""-0.0001121775971518"", ""contexts_tested"": ""11"", ""contexts_with_token_ge_3_cells"": ""1"", ""contrast_fdr"": ""1.0"", ""critical_gate_pass_count"": ""3"", ""cross_disease_genetics_pass"": ""True"", ""diseases_genetic_ge_0_25"": ""AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D"", ""efferocytosis_pass"": ""False"", ""gene"": ""IL7R"", ""in_lipid_lysosomal_myeloid_neighborhood"": ""False"", ""local_recurrence_pass"": ""True"", ""max_clinical_score"": ""0.0"", ""max_literature_score"": ""0.8421622906901755"", ""median_efficient_minus_noneater_lfc"": ""-0.1553618289551992"", ""model_support_pass"": ""True"", ""ms_genetic_association"": ""0.7885940637617141"", ""ms_wm_delta_log2"": ""-0.6536992297096775"", ""ms_wm_fdr"": ""0.9431647247323408"", ""ms_wm_p"": ""0.5724603142052797"", ""n_diseases_genetic_ge_0_25"": ""7.0"", ""negative_disease_count"": ""0"", ""negative_diseases"": """", ""positive_disease_count"": ""3"", ""positive_diseases"": ""Crohn disease;type 1 diabetes mellitus;ulcerative colitis"", ""retained_positive_disease_count"": ""2.0"", ""screen_call"": ""UNRESOLVED"", ""strict_core_covariate_surviving_analyses"": ""ibd_uc_stromal:ulcerative colitis"", ""strict_core_covariate_surviving_disease_count"": ""1.0"", ""strict_ms_pass"": ""False"", ""strong_support_contexts"": ""1"", ""strong_supporting_contexts"": ""ra_myeloid_dendritic"", ""support_contexts"": ""1"", ""supporting_contexts"": ""ra_myeloid_dendritic"", ""top_retained_tests"": ""ibd_uc_myeloid|hla_ii_apc:3.16,p=0.0011;ibd_uc_myeloid|c1q_phagocytic_myeloid:2.96,p=0.002;ibd_crohn_myeloid|hla_ii_apc:2.2,p=0.0026;ibd_uc_myeloid|lipid_loader_repair:3.12,p=0.0038;ibd_uc_stromal|complement_effector:2.03,p=0.004;ibd_uc_stromal|inflammatory_nfkb:2.17,p=0.0065;ibd_uc_stromal|ifn_apc:1.92,p=0.0075;ibd_uc_myeloid|complement_phagocytosis:2.49,p=0.0087"", ""wave57_call"": ""REOPEN_MODEL_SUPPORTED_INTERVENTION_FIRST"", ""wave57_call_priority"": ""1"", ""wave57_model_priority_score"": ""7.25""}"	
results_v3/wave81_perturbation_first_rescue/perturbation_first_integrated_rank.tsv	IFI30	0		no_row
results_v3/wave81_perturbation_first_rescue/perturbation_first_integrated_rank.tsv	SP140	1	"{""blocker"": ""closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification"", ""broad_positive_disease_count"": ""4"", ""broad_positive_diseases"": ""Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis"", ""decision_reason"": ""closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification"", ""direct_perturbation"": ""0"", ""direct_perturbation_detail"": """", ""direct_table_presence"": ""1"", ""foundation_model_detail"": """", ""foundation_model_support"": ""0"", ""foundation_table_presence"": ""1"", ""gene"": ""SP140"", ""genetics_or_target_resolution"": ""1"", ""ibd_response_fdr10"": ""0"", ""ibd_response_nominal"": ""1"", ""modality_channel"": ""1"", ""ms_anchor"": ""1"", ""ms_delta_log2"": ""-0.0867628128456026"", ""ms_p"": ""0.7262224269643743"", ""prior_not_blocked"": ""0"", ""score"": ""8"", ""sources"": ""wave57_geneformer;wave69d_geneformer"", ""wave62_call"": ""PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW"", ""wave71_call"": ""NO_REOPEN_BLOCKED_BRANCH"", ""wave81_call"": ""NO_GO_PERTURBATION_FIRST_BLOCKED""}"	
results_v3/wave81_perturbation_first_rescue/perturbation_first_integrated_rank.tsv	GALC	1	"{""blocker"": ""sphingolipid enzyme route prior audited; no translational specificity"", ""broad_positive_disease_count"": ""3"", ""broad_positive_diseases"": ""psoriasis;type 1 diabetes mellitus;ulcerative colitis"", ""decision_reason"": ""sphingolipid enzyme route prior audited; no translational specificity"", ""direct_perturbation"": ""0"", ""direct_perturbation_detail"": """", ""direct_table_presence"": ""1"", ""foundation_model_detail"": """", ""foundation_model_support"": ""0"", ""foundation_table_presence"": ""1"", ""gene"": ""GALC"", ""genetics_or_target_resolution"": ""1"", ""ibd_response_fdr10"": ""0"", ""ibd_response_nominal"": ""0"", ""modality_channel"": ""1"", ""ms_anchor"": ""1"", ""ms_delta_log2"": ""0.1897668310526405"", ""ms_p"": ""0.4547265367950667"", ""prior_not_blocked"": ""0"", ""score"": ""7"", ""sources"": ""wave57_geneformer"", ""wave62_call"": ""PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW"", ""wave71_call"": ""NO_REOPEN_INSUFFICIENT_CONVERGENCE"", ""wave81_call"": ""NO_GO_PERTURBATION_FIRST_BLOCKED""}"	
results_v3/wave81_perturbation_first_rescue/perturbation_first_integrated_rank.tsv	CD58	0		no_row
results_v3/wave81_perturbation_first_rescue/perturbation_first_integrated_rank.tsv	IL7R	1	"{""blocker"": ""IL7R genetics/druggability but prior audited and broad T-cell biology"", ""broad_positive_disease_count"": ""3"", ""broad_positive_diseases"": ""Crohn disease;type 1 diabetes mellitus;ulcerative colitis"", ""decision_reason"": ""IL7R genetics/druggability but prior audited and broad T-cell biology"", ""direct_perturbation"": ""0"", ""direct_perturbation_detail"": """", ""direct_table_presence"": ""1"", ""foundation_model_detail"": ""wave57:support=1,strong=1,token_contexts=1;wave69d:support=1,strong=1,token_contexts=2;wave70c:support=3,strong=1,token_contexts=4"", ""foundation_model_support"": ""1"", ""foundation_table_presence"": ""1"", ""gene"": ""IL7R"", ""genetics_or_target_resolution"": ""1"", ""ibd_response_fdr10"": ""0"", ""ibd_response_nominal"": ""1"", ""modality_channel"": ""0"", ""ms_anchor"": ""1"", ""ms_delta_log2"": ""-0.6536992297096775"", ""ms_p"": ""0.5724603142052797"", ""prior_not_blocked"": ""0"", ""score"": ""9"", ""sources"": ""wave57_geneformer;wave69d_geneformer;wave70c_geneformer"", ""wave62_call"": ""PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW"", ""wave71_call"": ""PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED"", ""wave81_call"": ""NO_GO_PERTURBATION_FIRST_BLOCKED""}"	
