source	pattern	effect	hedges_g	p_value	tier_minus_1_flag	interpretation	next_check	abs_hedges_g
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 8-20 weeks postpartum - 32-40 weeks	-0.6163937631033535	-1.4378258410926248	1.728710352767314e-08	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	1.4378258410926248
results/pregnancy_dimension/gse108497_sle	GSE108497 lysosomal_apc 8-20 weeks postpartum - <16 weeks	-0.6247984235019504	-1.3903057271861283	2.5641892866692272e-08	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	1.3903057271861283
results/pregnancy_dimension/gse108497_sle	GSE108497 lysosomal_apc 8-20 weeks postpartum - 32-40 weeks	-0.4859919240423206	-0.9757416697220564	6.1007691986468025e-05	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.9757416697220564
results/pregnancy_dimension/gse108497_sle	GSE108497 regulatory_pregnancy 8-20 weeks postpartum - 32-40 weeks	0.3672525366540321	0.9260223108447676	0.0001230467319258	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.9260223108447676
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major Mono_macro ifn_apc raw remission	-0.9260495872128134	-1.2980738447902214	0.0001788119992597	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.2980738447902214
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 8-20 weeks postpartum - 32-40 weeks	-0.4952314935308118	-0.8823987894426097	0.0005479290964762	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.8823987894426097
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 32-40 weeks - <16 weeks	0.3377318260948013	0.8154986683088516	0.0007335660026835	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.8154986683088516
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major DC ifn_apc raw remission	-0.6874907904339285	-1.0560312917371324	0.0010487258532171	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.0560312917371324
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes myeloid_lipid_partial active_edge_vs_inactive_edge residual	0.4276809992997886	4.096465945119271	0.0011231736074654	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	4.096465945119271
results/pregnancy_dimension/gse108497_sle	GSE108497 regulatory_pregnancy 8-20 weeks postpartum - <16 weeks	0.2715094572626365	0.7552610808962347	0.0011280919645484	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.7552610808962347
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major Mono_macro hla_ii_without_cd74 raw remission	0.4914610700231666	0.9957102949370042	0.0011501724707556	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.9957102949370042
results/pregnancy_dimension/gse108497_sle	GSE108497 regulatory_pregnancy 8-20 weeks postpartum - 32-40 weeks	0.3057505351434189	0.8316335108522016	0.0019396726083354	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.8316335108522016
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine C1Qhi IL1Bhi macro ifn_apc raw remission	-1.0330137127798729	-1.8572720162674796	0.0029873949046017	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.8572720162674796
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 residual isg_only adjusted_for_monocyte_only	0.6426874967498273	1.6041766018522616	0.0030739757020159	True	Adjustment behavior identifies whether composition absorbs or preserves the pregnancy signal.	treat absorbed covariate set as candidate mechanism if biologically plausible	1.6041766018522616
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine CD1Chi DC ifn_apc raw remission	-0.8223901364420141	-1.163235032656881	0.003886541108675	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.163235032656881
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 residual ifn_apc adjusted_for_monocyte_only	0.4548426057494655	1.5423065917460004	0.0041133146231376	True	Adjustment behavior identifies whether composition absorbs or preserves the pregnancy signal.	treat absorbed covariate set as candidate mechanism if biologically plausible	1.5423065917460004
