source_id	source_type	title	url	query_terms	used_for
S_TFEB_CLEAR	PubMed	A gene network regulating lysosomal biogenesis and function	https://pubmed.ncbi.nlm.nih.gov/19556463/	TFEB CLEAR network lysosomal biogenesis	TFEB as CLEAR/lysosomal biogenesis master regulator.
S_TFEB_AUTOPHAGY	PubMed	TFEB links autophagy to lysosomal biogenesis	https://pubmed.ncbi.nlm.nih.gov/21617040/	TFEB links autophagy lysosomal biogenesis	TFEB autophagy-lysosome activation biology.
S_TFEB_MTOR	PubMed	mTORC1 controls lysosomal function through TFEB regulation	https://pubmed.ncbi.nlm.nih.gov/22576015/	mTORC1 TFEB lysosomal function	mTOR/TFEB direction and broadness.
S_TFEB_TRPML1	PubMed	Lysosomal calcium signalling regulates autophagy through calcineurin and TFEB	https://pubmed.ncbi.nlm.nih.gov/25720963/	TRPML1 calcineurin TFEB lysosomal calcium	MCOLN1/TRPML1 activation mechanism.
S_MLSA1	PubMed	Differential mechanisms of action of the mucolipin synthetic agonist ML-SA1	https://pubmed.ncbi.nlm.nih.gov/25266962/	ML-SA1 TRPML1 agonist	TRPML1 chemical-matter precedent.
S_PIKFYVE_APILIMOD_IL12	PubMed	Selective abrogation of Th1 response by STA-5326, a potent IL-12/IL-23 inhibitor	https://pubmed.ncbi.nlm.nih.gov/17053051/	apilimod IL-12 IL-23 PIKfyve	PIKFYVE/apilimod anti-inflammatory perturbation channel.
S_PIKFYVE_CROHN_TRIAL	PubMed	Apilimod mesylate in patients with active Crohn disease	https://pubmed.ncbi.nlm.nih.gov/19918967/	apilimod mesylate active Crohn disease trial	Autoimmune/IBD prior art and clinical precedent.
S_PIKFYVE_CHRONIC_TOX	PMC	PIKfyve deficiency/inhibition impairs lysosomal homeostasis in macrophages	https://pmc.ncbi.nlm.nih.gov/articles/PMC6791654/	PIKfyve inhibition lysosomal homeostasis macrophage apilimod	Broad lysosomal-disruption liability.
S_LIPA_UNIPROT	UniProt	LIPA human lysosomal acid lipase/cholesteryl ester hydrolase	https://www.uniprot.org/uniprotkb/P38571/entry	UniProt LIPA P38571	Target function and biology.
S_LIPA_GENEREVIEWS	NCBI Bookshelf	Lysosomal Acid Lipase Deficiency	https://www.ncbi.nlm.nih.gov/books/NBK305870/	GeneReviews lysosomal acid lipase deficiency sebelipase alfa	Human disease, direction, and replacement therapy precedent.
S_LIPA_MACROPHAGE	PMC	Macrophage lysosomal acid lipase controls inflammatory phenotypes in LAL-deficient mice	https://pmc.ncbi.nlm.nih.gov/articles/PMC3178672/	lysosomal acid lipase macrophage inflammation PMC3178672	Independent perturbation/mechanistic support.
S_LIPA_EFFEROCYTOSIS	PMC	Lysosomal acid lipase, macrophage efferocytosis, and LXR biology	https://pmc.ncbi.nlm.nih.gov/articles/PMC6034181/	LIPA macrophage efferocytosis LXR cholesterol	LIPA to cholesterol-efflux/anti-inflammatory mechanism.
S_LIPA_CHEMBL	ChEMBL	CHEMBL4184 lysosomal acid lipase and CHEMBL3039537 sebelipase alfa	https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4184	ChEMBL LIPA sebelipase alfa	Druggability/modality precedent.
S_LIPA_FDA	FDA label	Kanuma (sebelipase alfa) prescribing information	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125561s020lbl.pdf	FDA Kanuma sebelipase alfa label	Approved enzyme replacement and delivery route.
S_LIPA_MS_REPAIR	Journal article	LAL/Lipa microglial white-matter repair/remyelination report	https://link.springer.com/article/10.1186/s12974-026-03782-7	lysosomal acid lipase GPNMB microglia remyelination 2026	MS/CNS repair prior art and mechanistic plausibility.
S_NPC_GENEREVIEWS	NCBI Bookshelf	Niemann-Pick Disease Type C	https://www.ncbi.nlm.nih.gov/books/NBK1296/	GeneReviews Niemann-Pick disease type C NPC1 NPC2	NPC1/NPC2 disease biology and CNS delivery context.
S_NPC_HPBCD_TRIAL	ClinicalTrials.gov	Hydroxypropyl-beta-cyclodextrin in Niemann-Pick type C disease	https://clinicaltrials.gov/search?term=hydroxypropyl-beta-cyclodextrin%20Niemann-Pick%20type%20C	hydroxypropyl-beta-cyclodextrin Niemann-Pick type C trial	NPC modality and delivery precedent.
S_GBA_AMBROXOL	PubMed	Ambroxol as a glucocerebrosidase chaperone in Parkinson disease	https://pubmed.ncbi.nlm.nih.gov/31779818/	ambroxol glucocerebrosidase Parkinson disease trial	GBA chemical and CNS chaperone precedent.
S_GBA_GAUCHER_FDA	FDA label	Cerezyme (imiglucerase) prescribing information	https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020367s081lbl.pdf	FDA Cerezyme imiglucerase label	Peripheral GBA enzyme-replacement precedent.
S_LRRK2_CROHN_PD	Science Translational Medicine	Functional variants in LRRK2 confer shared effects on risk for Crohn disease and Parkinson disease	https://www.science.org/doi/10.1126/scitranslmed.aai7795	LRRK2 Crohn disease Parkinson functional variants	LRRK2 genetics and disease-specific rationale.
S_LRRK2_CT	ClinicalTrials.gov	LRRK2 inhibitor clinical trials	https://clinicaltrials.gov/search?term=LRRK2%20inhibitor	LRRK2 inhibitor ClinicalTrials.gov BIIB122 DNL151	LRRK2 modality/drug-development maturity.
S_LXR_EAE	PubMed	Liver X receptor agonists modulate experimental autoimmune encephalomyelitis	https://pubmed.ncbi.nlm.nih.gov/16955483/	LXR agonist experimental autoimmune encephalomyelitis	LXR autoimmune prior art.
S_LXR_LIPOGENESIS	PubMed	Role of LXRs in control of lipogenesis	https://pubmed.ncbi.nlm.nih.gov/11090131/	LXR agonist SREBP-1c lipogenesis hypertriglyceridemia	LXR toxicity/selectivity concern.
S_PPARG_UC_TRIAL	PubMed	Rosiglitazone for mildly to moderately active ulcerative colitis	https://pubmed.ncbi.nlm.nih.gov/18325386/	rosiglitazone ulcerative colitis trial PPAR gamma	PPAR-gamma autoimmune/IBD prior art.
