item	category	evidence_grade	relevance	novelty	mechanism_level	therapeutic_constraint	failure_modes	direction_modality_labels	has_direction_modality_constraint
ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	supported	3	4	genetics_direction	same_locus_opposite_disease_direction	opposite_direction;transfer_invalid	opposite_or_invalid_transfer_direction	True
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	supported	3	3	genetics_to_target	restoration_or_up_function_required	hard_protective_direction;causal_gene_ambiguity;weak_modality_fit	hard_up_function_or_restoration;modality_or_target_fit_failure	True
PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	negative-established	3	3	genetics_direction	signal_specific_direction_unresolved	mixed_signals;direction_conflict;transfer_invalid	opposite_or_invalid_transfer_direction;direction_unresolved_or_missing	True
MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	negative-established	3	2	genetics_coloc	shared_region_not_shared_target	distinct_causal_variants;overlap_not_mechanism		False
UC genetics vs treatment-response layer split	decoupling_negative	supported	4	3	cross_axis_transfer	genetics_does_not_define_response_rule	axis_mismatch;baseline_not_dynamic		False
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	supported	3	3	cross_axis_transfer	response_analogy_not_target_transfer	axis_mismatch;downstream_context_dependence		False
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	supported	3	3	cross_axis_transfer	pregnancy_timing_not_blood_biomarker	compartment_mismatch;context_dependence		False
Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	supported	2	3	cross_axis_transfer	antigen_presentation_not_lesion_repair	compartment_mismatch;module_specificity_failure		False
No load-bearing invariant found in V26	decoupling_negative	negative-established	2	4	deep_structure	no_conserved_invariant_target	invariance_not_supported;underpowered_modality_count		False
No validated broad immune-state simulator from held data	kills_closed	negative-established	4	3	modeling	cannot_triage_patient_or_genetics_claims	generalization_failure;heldout_validation_failure;scope_too_broad		False
Coupled-axis successor rule does not beat scalar	kills_closed	negative-established	4	3	treatment_response_modeling	do_not_replace_locked_scalar	complexity_no_improvement;small_n_overfit_risk		False
Locked V7 general cross-disease baseline fallback killed	kills_closed	negative-established	4	3	treatment_response	baseline_stratifier_invalid	baseline_not_dynamic;cross_disease_generalization_failure		False
GPR25 demoted from protected favorite	kills_closed	negative-established	3	3	genetics_to_target	agonism_or_restoration_required	causal_gene_ambiguity;weak_expression_support;hard_protective_direction;immature_chemical_matter	hard_up_function_or_restoration;modality_or_target_fit_failure	True
NAMPT/eNAMPT not reactivated as target	kills_closed	negative-established	2	2	target_nomination	covariate_not_target	marker_not_driver;weak_genetic_support;prior_art_not_enough	modality_or_target_fit_failure	True
ZFP36L1 chr14 parked	kills_closed	provisional	2	2	genetics_coloc	no_direction_matched_target	subthreshold_coloc;missing_qtl_direction	direction_unresolved_or_missing	True
REL/PUS10/USP34 chr2 closed	kills_closed	negative-established	2	2	genetics_coloc	no_shared_disease_signal	coloc_failure;expression_cannot_rescue	direction_unresolved_or_missing	True
EBV/IFN APC imprint downgraded by specificity control	kills_closed	negative-established	3	3	exploratory_module	broad_ifn_not_ebv_specific	module_specificity_failure;random_control_failure		False
Complement/lipid progressive axis downgraded	kills_closed	negative-established	2	3	exploratory_module	weak_lipid_context_only	donor_aware_nonreplication;module_specificity_failure		False
Lysosomal APC bottleneck not proven	kills_closed	provisional	3	3	exploratory_module	needs_flux_or_peptidomics	coupling_not_causality;bottleneck_not_proven		False
Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	provisional	3	2	exploratory_module	covariate_not_intervention	confounder_context_not_mechanism;direction_not_actionable	modality_or_target_fit_failure	True
