route_or_lead	impact_route	current_status	evidence_status	structural_context	genetics_or_rule_context	primary_blocker	reopen_or_validation_evidence	next_action	verdict
Bounded APC/HLA-II early treatment-response scalar	Monitoring / stratification	Live provisional clinical route	Tool-robust, confounder-audited, externally validation-gated	Not structure-relevant	Immutable V22/V42/V44 rule; immune-tone bounded under V32	External validation pending; likely small-cohort power limits	Frozen Gafson/Karolinska-style paired PBMC plus NEDA labels; batch and confounder diagnostics	Run frozen harness when a complete package arrives	Most defensible near-term impact route; not a drug target
APC/HLA/IFN/MIF-CD74 coupled architecture	Mechanistic context	Supported context, not a successor rule	Mechanistic recurrence/convergence support	Not structure-relevant	V26/V41 recurrence; V27/V28 complexity did not beat scalar	Mechanism does not provide direction-matched target or superior rule	Use only to interpret validation transfer boundaries and confounders	Keep as assay/context backbone	Mechanistically useful; not target-promoted
chr1 KIF21B/GPR25 locus	Causal-biology / future target handoff	Real shared MS-UC biology, target-unready	Supported locus-level biology with unresolved causal gene	AlphaFold context exists for both KIF21B and GPR25; prediction context only	V17/V19 support shared locus; local sources split between GPR25 and KIF21B	Causal gene, cell state, protective direction, and modality unresolved	Genotype-linked immune/CSF expression/protein plus direction-matched perturbation	Acquire chr1 genotype-linked data package	Closest target bridge but not intervention-grade
GPR25	Conditional receptor candidate	Closed for target promotion under current evidence	Structurally plausible but biologically under-resolved	AlphaFold AF-O00155-F1 has high-confidence receptor-like core	V17 eQTLGen supports GPR25; later immune-QTL and scRNA context weak	Causal uncertainty against KIF21B/local alternatives; sparse MS cell-state support; immature agonism/restoration path	Protective haplotype raises GPR25 in relevant cell state and agonism/restoration moves phenotype protectively	Do not start wet-lab target program without full chain	Still closed; structure does not rescue
KIF21B	Conditional restoration candidate	Closed for target promotion under current evidence	Serious chr1 candidate but directionally hard	AlphaFold AF-O75037-F1 motor/binding region interpretable; full length mixed confidence	QTD000021 and bounded coloc support KIF21B; risk alleles lower KIF21B in exact shared SNPs	Required direction is restoration/up-function; conventional inhibition/degradation/knockdown likely wrong-direction	Causal KIF21B in relevant cell state plus restoration/up-function perturbation and plausible modality	Queue only future restoration-modality workup if controlled data arrive	Still closed but biologically serious
PTGER4	Naive transfer target	Closed	Direction-conflicted / multi-signal caution	AlphaFold AF-P35408-F1 receptor-core context compatible with GPCR tractability	Genetic interpretation remains mixed and signal-specific	Structural tractability does not solve mixed causal/direction blocker	Signal-specific fine mapping/QTL, MS-protective direction, and safe EP4 modality	Do not reopen by GPCR class or AlphaFold context	Confirmed closed under V52
ZMIZ1	Cross-disease transfer guardrail	Not a therapeutic path	Supported decoupling / opposite-direction warning	No V52 structure triage needed for promotion	Restored OpenGWAS can polish bounded direction manifest; no target route	Opposite MS/Crohn direction and no direct modality	MS-specific genotype-linked direction plus perturbation and plausible modality	Use as transfer-validity warning	Not target-promoted
Postpartum HLA-II/CD64 APC-arm imbalance	Natural-history biomarker / mechanism	Provisional, data-gated	Exploratory supported outside MS-specific postpartum validation	Not structure-relevant	V33-V44 preregistered/triaged but lacks true postpartum MS relapse-timing cohort	MS specificity and relapse-window validation missing	Postpartum MS blood/CSF with relapse timing, DMT restart, steroid/infection/lactation/cell-count metadata	Run V44 preregistered harness if data arrive	Promising biology lead; not therapeutic target
T/B compartment remodeling state	Monitoring / compartment context	Pre-registered secondary lead	Provisional and replication-gated	Not structure-relevant	V44 preregistered harness exists	Needs independent compatible single-cell/compartment data and composition controls	Compatible T/B compartment dataset with labels and cell-state measurements	Run frozen secondary harness if data arrive	Secondary validation route only
EBV/IFN APC imprint	Cross-disease context	Downgraded	Specificity controls failed	Not structure-relevant	V35/V36 stricter controls downgraded MS-specific claim	Broad IFN/APC context is not MS-specific enough	EBV-stratified B-cell/APC data showing MS-specific module imprint	Do not treat broad EBV/IFN context as target evidence	Not supported as specific therapeutic route
Complement/lipid progressive axis	Progressive-MS context	Downgraded / needs data	Weak, data-limited	Not structure-relevant	V33-V35 exploratory triage did not produce target-grade evidence	No APC-resolved causal direction or progressive lesion validation	Progressive/chronic-active lesion data with reproducible direction and perturbation	Queue only if suitable lesion data arrive	Not target-promoted
NAMPT / eNAMPT	Marker or covariate context	Closed for target promotion	Confounder/metabolic context, not causal target evidence	Not structure-relevant	V32/V39 place metabolic tone as confounder/context	Broad stress/inflammation correlation, not direction-matched causality	MS-relevant perturbation proving protective causal modulation	Use as confounder/covariate, not intervention lead	Not target-promoted
REL / PUS10 / USP34 and other closed SuSiE-coloc screen leads	Genetics target candidates	Closed	Negative-established under frozen screens	Not structure-relevant	Disease SuSiE-coloc screen did not support promotion	No robust coloc/direction chain	Reopen only with new robust coloc and direction evidence under frozen criteria	No current action	Closed
