lead	current_status	minimum_reopen_gate_1	minimum_reopen_gate_2	minimum_reopen_gate_3	what_does_not_count	current_action
GPR25	closed_for_target_promotion	causal_gene_resolution_over_KIF21B_and_local_alternatives	protective_haplotype_raises_or_restores_GPR25_in_MS_relevant_cell_state	agonism_or_restoration_perturbation_moves_MS_relevant_phenotype_protectively	GPCR_class_membership_or_AlphaFold_context_or_antagonist_tooling	keep_closed_until_full_direction_matched_chain
KIF21B	closed_for_target_promotion	causal_gene_resolution_over_GPR25_and_local_alternatives	protective_direction_is_higher_or_restored_KIF21B_state	restoration_or_up_function_perturbation_moves_MS_relevant_phenotype_protectively	motor_ligandability_or_inhibition_degradation_ASO_siRNA_without_protective_lowering_proof	keep_closed_as_target_but_priority_controlled_data_handoff
PTGER4	closed_signal_conflicted	signal_specific_fine_mapping_separates_shared_and_distinct_components	MS_protective_PTGER4_direction_resolved_in_relevant_cell_state	safe_EP4_modulation_direction_matches_MS_protection	generic_GPCR_tractability_or_receptor_structure_or_Crohn_transfer	keep_closed_naive_transfer_target
ZMIZ1	not_therapeutic_path	MS_specific_genotype_linked_expression_or_protein_direction	perturbation_shows_MS_protective_modulation_direction	plausible_modality_for_that_direction	Crohn_intuition_or_general_ZMIZ1_mechanistic_context	use_as_transfer_validity_warning
chr1_KIF21B_GPR25_locus	target_unready	one_candidate_gene_beats_local_alternatives	cell_state_and_protective_direction_resolved	direction_matched_perturbation_and_modality_exist	region_level_coloc_or_structure_context_without_gene_direction_modality	acquire_genotype_linked_immune_CSF_data
Postpartum_HLAII_CD64_APC_arm	provisional_data_gated	postpartum_MS_relapse_timing_data_available	frozen_V44_harness_supports_HLAII_minus_CD64_relapse_window	metadata_supports_steroid_DMT_infection_lactation_cell_count_adjustment	RA_SLE_healthy_pregnancy_trajectory_without_MS_relapse_window_data	run_preregistered_harness_if_data_arrive
T_B_compartment_remodeling_state	secondary_replication_gated	compatible_T_B_compartment_data_available	composition_controls_show_not_pure_cell_fraction_shift	association_replicates_under_frozen_secondary_harness	post_hoc_compartment_feature_or_unadjusted_cell_fraction_effect	run_secondary_harness_if_data_arrive
EBV_IFN_APC_imprint	downgraded	EBV_stratified_MS_APC_or_B_cell_data_available	MS_specific_module_imprint_survives_autoimmune_comparator_controls	signal_is_not_generic_IFN_APC_tone	broad_EBV_MS_biology_or_B_cell_context_without_specificity_controls	keep_downgraded_until_specificity_grounding
Complement_lipid_progressive_axis	downgraded_needs_data	progressive_or_chronic_active_lesion_data_available	reproducible_APC_or_lipid_repair_direction_observed	perturbation_or_orthogonal_support_matches_direction	broad_lipid_context_without_progressive_lesion_direction	keep_not_target_promoted
NAMPT_eNAMPT	closed_marker_covariate	MS_relevant_causal_perturbation_available	direction_matched_beneficial_effect_not_broad_stress_response	confounder_adjusted_signal_survives	metabolic_or_inflammatory_correlation_alone	use_as_covariate_context_only
REL_PUS10_USP34_closed_screen_leads	closed	new_robust_coloc_under_frozen_criteria	allele_harmonized_protective_direction	resolved_modality_and_relevant_cell_state	prior_single_signal_interest_without_current_coloc_direction	closed_no_current_action
APC_HLA_IFN_MIF_CD74_architecture	mechanistic_context_not_target	independent_mechanistic_validation_in_relevant_context	direction_matched_intervention_point_identified	intervention_improves_phenotype_without_collapsing_to_generic_tone	recurrence_or_network_centrality_alone	use_as_assay_and_transfer_context
