route	current_status	impact_route	next_gate	primary_blocker	current_action	verdict
Bounded_APC_HLAII_monitoring_scalar	live_provisional	monitoring_stratification	frozen_external_validation_with_batch_and_confounder_reporting	external_validation_pending	run_frozen_V42_V44_harness_when_complete_package_arrives	most_defensible_near_term_impact_not_drug_target
APC_HLA_IFN_MIF_CD74_architecture	mechanistic_context	mechanism_transfer_boundary	independent_mechanistic_validation_without_successor_rule_claim	no_direction_matched_target_or_superior_rule	use_as_assay_and_transfer_context	not_target_promoted
chr1_KIF21B_GPR25_locus	target_unready	causal_biology_handoff	genotype_linked_cell_state_direction_and_perturbation	causal_gene_cell_state_direction_modality_unresolved	acquire_genotype_linked_immune_CSF_package	closest_target_bridge_but_not_intervention_grade
GPR25	closed_for_target_promotion	conditional_receptor_candidate	protective_haplotype_restores_GPR25_and_agonism_restoration_is_protective	causal_uncertainty_sparse_cell_state_and_immature_restoration_modality	keep_closed_until_full_direction_matched_chain	structure_does_not_rescue
KIF21B	closed_for_target_promotion	conditional_restoration_candidate	protective_higher_or_restored_KIF21B_state_plus_restoration_perturbation	wrong_direction_risk_for_standard_inhibition_degradation_knockdown	queue_only_if_controlled_data_resolve_direction	biologically_serious_but_closed
PTGER4	closed_signal_conflicted	naive_transfer_target	signal_specific_MS_protective_direction_plus_safe_EP4_modality	mixed_signal_and_direction_conflict	keep_closed_naive_transfer_target	confirmed_closed
ZMIZ1	not_therapeutic_path	transfer_validity_warning	MS_specific_direction_plus_perturbation_and_modality	opposite_cross_disease_direction	use_as_transfer_validity_warning	not_target_promoted
Postpartum_HLAII_CD64_APC_arm	provisional_data_gated	natural_history_biomarker	postpartum_MS_relapse_timing_immune_data_under_V44_harness	MS_specific_relapse_window_validation_missing	run_preregistered_harness_if_data_arrive	promising_biology_not_therapeutic_target
T_B_compartment_remodeling_state	secondary_replication_gated	secondary_monitoring_context	compatible_compartment_data_with_composition_controls	replication_and_composition_separation_missing	run_frozen_secondary_harness_if_data_arrive	secondary_validation_route_only
EBV_IFN_APC_imprint	downgraded	cross_disease_context	EBV_stratified_MS_APC_or_B_cell_specificity	broad_IFN_APC_context_not_specific_enough	keep_downgraded_until_specificity_grounding	not_supported_as_specific_therapeutic_route
Complement_lipid_progressive_axis	downgraded_needs_data	progressive_MS_context	progressive_chronic_active_lesion_direction_and_perturbation	no_APC_resolved_causal_direction_or_lesion_validation	queue_only_if_suitable_lesion_data_arrive	not_target_promoted
NAMPT_eNAMPT	closed_marker_covariate	marker_covariate_context	MS_relevant_direction_matched_causal_perturbation	broad_stress_inflammation_correlation	use_as_confounder_covariate_only	not_target_promoted
REL_PUS10_USP34_closed_screen_leads	closed	genetics_target_candidates	new_robust_coloc_and_direction_under_frozen_criteria	no_current_coloc_direction_chain	no_current_action	closed
