artifact	sha256	role	frozen_status	note
docs/validation/MEDICAL_TEAM_THERAPEUTIC_DATA_REQUEST_V52.md	3a5359fc902b0c267c0864c30f90d37b7ca8e720a501ef73fe4fbf776dd1ef76	data_request	current	sendable monitoring and target-development request packet
docs/validation/TARGET_PACKAGE_ACCEPTANCE_CRITERIA_V52.tsv	d41ccb548585ed0254eb237f597b0a86b3678c77d63937850355256882f848ee	acceptance_criteria	current	package-level accept partial reject criteria
docs/validation/VALIDATION_PACKAGE_FIELD_DICTIONARY_V52.tsv	0577b4cda10b9ca38633b05c2883cf20811c56e4256232daf9e6024ba041e8ac	field_dictionary	current	field-level package dictionary by route
docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_V52.tsv	c0aec736123c8eefa99c81c6cc4cc12fe9eb3656303909b1cc8fd6f1ce65f498	route_classifier	current	package route classifier
docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_EXAMPLES_V52.tsv	3e9d0fe6a966d7e959b6e876716d058583944d41181ae044123a26606982377c	route_examples	current	worked package route examples
docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_SCHEMA_CHECK_V52.md	f58b7bf7b0e47f55ca89e94c5838e9143d60e474395c4cf6cbd7c6a0e4f74cfa	schema_check	current	classifier and examples schema check
docs/validation/INCOMING_PACKAGE_PREFLIGHT_CHECKLIST_V52.md	8c5cf51e7626b3bf6770f9a4367c83a2ec435b6dc811973b1a4eff49e70d6c70	preflight_checklist	current	incoming package pre-analysis checklist
docs/validation/MONITORING_VALIDATION_DECISION_TREE_V52.md	0aa8bc0fedcb9850b936fe67eb084f51ed866296acd5feba47aafd09ebaed851	decision_tree	current	monitoring validation result routing
docs/validation/MONITORING_VALIDATION_COMMAND_MANIFEST_V52.md	7ba176673ca0cb9ee737612cc9703be1563a6cda16a83060cca55652342055e9	command_manifest	current	monitoring validation command order
docs/validation/MONITORING_PUBLIC_WORDING_TABLE_V52.tsv	8b24e1f85ea5d8d1f42a5a34c97c615905216ca6b6de3658ac670a9c8d250b77	public_wording	current	safe wording by monitoring result class
docs/validation/MONITORING_VALIDATION_RESULT_REPORT_TEMPLATE_V52.md	29264869a3cc1a51ab63a19c4bb48d0d81842da950c76953b443dd703370c42f	result_template	current	future monitoring result report shell
docs/validation/MONITORING_OPERATOR_ONE_PAGE_CARD_V52.md	1da12d2f46903a4e3bda9be3617ed27f1f7b03951f55696c144abc140dbe371b	operator_card	current	one-page monitoring operator card
docs/validation/MONITORING_MINIMUM_VIABLE_PACKAGE_CHECKLIST_V52.md	2bb0043736e7f515564114f9e3b54f72ee80654464dea3f8fcf1acab97dd116c	minimum_package_checklist	current	required vs preferred monitoring package fields
docs/validation/PACKAGE_CHECKSUM_INTAKE_CHECKLIST_V52.md	0602d8e741f83fdda0dfbab12d204675d277be6c2348ea95a290d0575b1350fb	intake_checklist	current	package receipt and quarantine checklist
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	03ba72d3075f275377179315c70d184c39da9119ef1fb74a811de150eb20a82f	handoff_bundle_index	current	operator-facing handoff bundle index
docs/reports/V52_OPERATOR_ARTIFACT_HASH_VERIFY_COMMANDS.md	18a080dfe34459a60075dc39d9fc5b23f95f9e44e97478135c27bf704a5be1c7	hash_verify_note	current	operator artifact hash verification command note
docs/reports/V52_OPERATOR_ARTIFACT_HASH_REFRESH_COMMANDS.md	7e4a6755f32ef579ff002b5893f8a40d8d6ea393fdfcd2d8cd385327039baf10	hash_refresh_note	current	operator artifact hash refresh command note
docs/workups/genetics/CHR1_GENOTYPE_LINKED_DATA_SPEC_V52.md	3ce4f332288569cebfeded589cf634c6a72ae229c4e24f34c6a56e5d1fe7e2ad	chr1_data_spec	current	chr1 genotype-linked package specification
docs/workups/genetics/CHR1_DIRECTION_MATCHED_EXPERIMENT_BLUEPRINT_V52.md	66c73041fdee281786e2cdcb1babff4bf3ab473c5f94660d1ba44a9ccb25c515	chr1_blueprint	current	chr1 staged direction-matched experiment flow
docs/workups/genetics/CHR1_COLLABORATOR_ASSAY_REQUEST_APPENDIX_V52.md	f07726a89b31cb1ee3bf3594aa73017130687bf85cb0f3e7c4eb51af5de3d50b	chr1_collaborator_request	current	chr1 assay and metadata request appendix
docs/workups/genetics/CHR1_NO_GO_COMMUNICATION_APPENDIX_V52.md	67ce033f0d174dc067973a236482732d303ec2650415ac11742ace6eb793e92e	chr1_no_go_wording	current	collaborator-safe chr1 no-go wording
docs/workups/genetics/CHR1_PACKAGE_RESULT_REPORT_TEMPLATE_V52.md	844b29c5971c4adbdb0ae43b9c681a81f675fadb968df708c37479d457160797	chr1_result_template	current	future chr1 package result shell
docs/workups/genetics/CHR1_OPERATOR_ONE_PAGE_CARD_V52.md	5417e8824e35406ba241bcce42c5d2d0c45eff5a306393e91b121eaffc5b96a2	chr1_operator_card	current	one-page chr1 operator card
docs/workups/genetics/CHR1_TARGET_RESOLUTION_DECISION_COMPACT_V52.tsv	e915406ff05977189ab4cef15e83b1858823e883360e071b426131261116e1c4	chr1_decision_compact	current	chr1 target-resolution decision states
docs/workups/genetics/OPENGWAS_PRE_EXPIRY_BOUNDED_POLISH_COMMANDS_V52.md	6d90f25e50b462c22e08b85ac4c559b652415707c106eab1f8625c2c7a74863a	opengwas_command_list	current	bounded pre-expiry OpenGWAS command list
