gene	gate_call	priority_score	gate_reason	gate_failures_or_review_flags	biology_class	expected_intervention_direction	modality_score	modality_evidence	guardrail_class	guardrail_reason	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_analyses	retained_positive_disease_count	non_ibd_retained_positive_disease_count	broad_positive_disease_count	broad_negative_disease_count	positive_diseases	top_positive_compartments	ms_anchor	ms_wm_delta_log2	ms_wm_p	ot_credible_disease_count_ge_0_5	ot_credible_diseases_ge_0_5	ot_candidate_hit_genetic_disease_count	opentargets_disease_count_any	chembl_target_chembl_id	chembl_target_pref_name	chembl_activity_total_count	chembl_activity_values_nM_count	chembl_best_standard_value_nM	uniprot_accession	protein_name	uniprot_locations	uniprot_keywords	prior_exclusion_sources	prior_exclusion_calls	prior_exclusion_reasons	manual_blocker
SQLE	GO_REVIEW	17.5	only strict residual survivor with a clear enzyme/small-molecule modality; GO_REVIEW is hostile-review routing only	requires novelty/prior-art review; no local genetics or perturbation support; strict core residual survival is IBD-stromal only despite broader raw recurrence	sterol-biosynthesis enzyme	inhibit SQLE only if sterol-pathway activation is causal in disease stromal cells	3.0	ChEMBL activity present (99 records); UniProt suggests enzymatic/catalytic biology; manual class prior: sterol-biosynthesis enzyme			2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	1	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:1.65,p=0.00033;ibd_crohn_stromal:1.71,p=0.0012;t1d_endothelial_cell:1.3,p=0.016;psoriasis_skin_stromal:0.948,p=0.022	False	-0.3408177110309154	0.3307572199460259	0		0	0	CHEMBL3592	Squalene monooxygenase	99.0	1.0	960.0	Q14534	Squalene monooxygenase	Endoplasmic reticulum membrane;Microsome membrane					Plausible small-molecule enzyme modality, but no local genetics/perturbation and strict survival is IBD-stromal only.
LDLRAD3	PARK_REVIEW	13.75	strict residual signal exists, but missing one or more hard gates before promotion	no actionable modality from ChEMBL/UniProt/manual class audit; intervention direction remains unclear	undercharacterized membrane/LDL-receptor-repeat protein	unclear; antibody or extracellular-domain targeting is speculative	1.5	UniProt suggests membrane/secreted/extracellular accessibility; UniProt suggests enzymatic/catalytic biology; manual class prior: undercharacterized membrane/LDL-receptor-repeat protein			2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	1	3	0	Crohn disease;psoriasis;ulcerative colitis	ibd_crohn_myeloid:2.56,p=0.00089;ibd_crohn_stromal:2.88,p=0.0022;ibd_uc_stromal:2.86,p=0.0024;psoriasis_skin_apc:0.911,p=0.0079;psoriasis_skin_stromal:1.05,p=0.014;ibd_uc_myeloid:2.72,p=0.018	False	0.174502585370285	0.8376004526982199	0		0	0						Q86YD5	Low-density lipoprotein receptor class A domain-containing protein 3	Cell membrane					Accessible-protein hypothesis is not yet an intervention route; no ChEMBL/genetics support found locally.
C1QTNF1	PARK_REVIEW	12.5	strict residual signal exists, but missing one or more hard gates before promotion	no actionable modality from ChEMBL/UniProt/manual class audit; intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	secreted C1q/TNF-related adipokine-like protein	unclear; agonism versus blockade is not justified by local expression alone	1.5	UniProt suggests membrane/secreted/extracellular accessibility; manual class prior: secreted C1q/TNF-related adipokine-like protein			2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:1.75,p=0.00071;psoriasis_keratinocyte:1.55,p=0.0041;ibd_crohn_stromal:2.05,p=0.0058;t1d_ductal_cell:1.64,p=0.0059	False	-0.2172605175146804	0.8642634636230562	0		0	0						Q9BXJ1	Complement C1q tumor necrosis factor-related protein 1	Secreted					Secreted biology may be reachable by biologics, but no disease direction or target-level support is present.
TGM2	PARK_REVIEW	11.5	strict residual signal exists, but missing one or more hard gates before promotion	no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	transglutaminase enzyme / matrix and celiac-associated biology	inhibit only if pathogenic extracellular/cellular TGM2 activity is proven in the target compartment	3.0	ChEMBL-rich target (807 activity records); UniProt suggests membrane/secreted/extracellular accessibility; UniProt suggests enzymatic/catalytic biology; manual class prior: transglutaminase enzyme / matrix and celiac-associated biology			1	1	ibd_uc_stromal:ulcerative colitis	2	0	3	0	Crohn disease;psoriasis;ulcerative colitis	ibd_uc_epithelial:4.69,p=0.00026;ibd_uc_stromal:1.44,p=0.00042;ibd_crohn_stromal:1.02,p=0.0031;ibd_crohn_myeloid:3.18,p=0.0043;ibd_uc_myeloid:3.21,p=0.0044;ibd_crohn_epithelial:2.62,p=0.013;psoriasis_skin_stromal:1.36,p=0.042	False	-0.9454639666769412	0.3323926040170903	0		0	3	CHEMBL2730	Protein-glutamine gamma-glutamyltransferase	807.0	1.0	280.0	P21980	Protein-glutamine gamma-glutamyltransferase 2	Cell membrane;Chromosome;Cytoplasm, cytosol;Cytoplasm, perinuclear region;Mitochondrion;Nucleus;Secreted, extracellular space, extracellular matrix					Enzyme-druggable but close celiac/fibrosis/repair prior art and no new cross-autoimmune delta.
REG1A	PARK_REVIEW	10.0	strict residual signal exists, but missing one or more hard gates before promotion	no actionable modality from ChEMBL/UniProt/manual class audit; intervention direction remains unclear	secreted epithelial regeneration marker	unclear; likely injury/repair readout	1.5	UniProt suggests membrane/secreted/extracellular accessibility; manual class prior: secreted epithelial regeneration marker			1	2	t1d_ductal_cell:type 1 diabetes mellitus;t1d_endothelial_cell:type 1 diabetes mellitus	2	1	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_epithelial:9.48,p=0.00013;t1d_stellate_cell:2.09,p=0.00054;ibd_uc_epithelial:9.89,p=0.0047;t1d_ductal_cell:1.01,p=0.0052;t1d_endothelial_cell:1.9,p=0.012;t1d_beta_cell:1.46,p=0.021;ibd_crohn_stromal:1.91,p=0.044;ibd_crohn_myeloid:1.78,p=0.045	False			0		0	0						P05451	Lithostathine-1-alpha	Secreted					Strict signal is T1D ductal/endothelial; biology looks like tissue injury/regeneration rather than a target.
PTPRE	PARK_REVIEW	9.0	strict residual signal exists, but missing one or more hard gates before promotion	intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	receptor-type tyrosine phosphatase	unclear; phosphatase modulation direction is not established	2.0	ChEMBL activity present (61 records); UniProt suggests membrane/secreted/extracellular accessibility; UniProt suggests enzymatic/catalytic biology; manual class prior: receptor-type tyrosine phosphatase			1	1	ibd_uc_stromal:ulcerative colitis	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_myeloid:0.745,p=0.00055;ibd_uc_myeloid:0.803,p=0.00089;ibd_uc_stromal:1.86,p=0.0015;t1d_acinar_cell:1.28,p=0.032;ibd_crohn_stromal:1.06,p=0.032;psoriasis_keratinocyte:1.11,p=0.047	False	-0.2158191727655953	0.5499680359747707	0		0	0	CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	61.0	1.0	500000.0	P23469	Receptor-type tyrosine-protein phosphatase epsilon	Cell membrane;Cytoplasm					Potentially targetable class in principle, but current autoimmune direction and chemical matter are insufficient.
ATOX1	NO_GO	11.0	fails hard local/API gate	no actionable modality from ChEMBL/UniProt/manual class audit; intervention direction remains unclear	intracellular copper chaperone / metal-handling stress axis	unclear; disease expression is increased but no safe autoimmune direction follows from local data	0.5	manual class prior: intracellular copper chaperone / metal-handling stress axis			2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	1	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	ibd_uc_stromal:0.901,p=5.2e-05;sjogren_gland_stromal:0.585,p=0.0049;ibd_crohn_stromal:0.611,p=0.011;sjogren_gland_apc:0.917,p=0.011;psoriasis_keratinocyte:0.857,p=0.032	False	0.5235633697570927	0.5641167566536998	0		0	0						O00244	Copper transport protein ATOX1						Strict residual support is real locally, but current direct druggability is weak and intervention direction is not explicit.
CFB	NO_GO	9.0	fails hard local/API gate	prior_exhausted_route: complement route; already excluded unless a new selective intervention delta appears; intervention direction remains unclear	Complement factor B	unclear from expression-only residual data	3.0	ChEMBL-rich target (341 activity records); UniProt suggests membrane/secreted/extracellular accessibility; UniProt suggests enzymatic/catalytic biology	prior_exhausted_route	complement route; already excluded unless a new selective intervention delta appears	1	1	ibd_crohn_stromal:Crohn disease	4	2	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	t1d_stellate_cell:3.63,p=1.5e-08;ibd_crohn_epithelial:2.3,p=0.00029;psoriasis_keratinocyte:2.4,p=0.004;t1d_ductal_cell:2.28,p=0.011;ibd_crohn_stromal:1.93,p=0.016;psoriasis_skin_stromal:0.917,p=0.026;ibd_uc_epithelial:2.62,p=0.026;t1d_acinar_cell:3.54,p=0.027	False	-0.9822682065524936	0.2868607768107353	0		0	0	CHEMBL5731	Complement factor B	341.0	1.0	3400.0	P00751	Complement factor B	Cell surface;Secreted		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:complement route; already excluded unless a new selective intervention delta appears	
TIMP1	NO_GO	6.75	fails hard local/API gate	no actionable modality from ChEMBL/UniProt/manual class audit; prior_exhausted_route: matrix/remodeling and repair-liability route; no new intervention delta; intervention direction remains unclear	Metalloproteinase inhibitor 1	unclear from expression-only residual data	1.5	UniProt suggests membrane/secreted/extracellular accessibility; UniProt suggests enzymatic/catalytic biology	prior_exhausted_route	matrix/remodeling and repair-liability route; no new intervention delta	1	1	ibd_uc_stromal:ulcerative colitis	3	2	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:2.09,p=3.3e-05;ibd_uc_myeloid:3.59,p=5e-05;ibd_uc_epithelial:3.44,p=9.4e-05;ibd_crohn_myeloid:2.37,p=0.0004;t1d_acinar_cell:1.65,p=0.001;psoriasis_keratinocyte:1.49,p=0.0078;ibd_crohn_stromal:1.18,p=0.028;t1d_ductal_cell:0.431,p=0.03	False	-0.5836919250703687	0.415232450290228	0		0	0						P01033	Metalloproteinase inhibitor 1	Secreted		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:matrix/remodeling and repair-liability route; no new intervention delta	
TPM4	NO_GO	6.25	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear	Tropomyosin alpha-4 chain	unclear from expression-only residual data	2.0	ChEMBL activity present (2 records)	core_machinery	core machinery/stress/structural marker without selective intervention delta	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	3	1	3	0	Crohn disease;psoriasis;ulcerative colitis	ibd_uc_epithelial:1.1,p=0.0011;ibd_crohn_epithelial:0.978,p=0.0019;ibd_crohn_stromal:1.19,p=0.0028;ibd_crohn_myeloid:0.775,p=0.0034;ibd_uc_myeloid:0.624,p=0.0044;ibd_uc_stromal:1.01,p=0.0055;psoriasis_skin_stromal:0.868,p=0.0098	False	-0.0374723547260309	0.9001013429967964	0		0	0	CHEMBL4295789	Tropomyosin alpha-4 chain	2.0	1.0	1220.12	P67936	Tropomyosin alpha-4 chain	Cytoplasm, cytoskeleton		static_wave21_guardrail	CORE_MACHINERY	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta	
HIF1A	NO_GO	6.25	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	Hypoxia-inducible factor 1-alpha	unclear from expression-only residual data	3.0	ChEMBL-rich target (5615 activity records); sub-100 nM ChEMBL potency observed (0.14 nM); UniProt suggests membrane/secreted/extracellular accessibility; UniProt suggests enzymatic/catalytic biology	core_machinery	core machinery/stress/structural marker without selective intervention delta	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	2	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_epithelial:1.32,p=3e-05;ibd_uc_stromal:1.87,p=0.00015;ibd_crohn_stromal:1.76,p=0.00046;ibd_uc_epithelial:1.38,p=0.0056;ibd_uc_myeloid:1.38,p=0.019;ibd_crohn_myeloid:1.21,p=0.028;t1d_stellate_cell:0.443,p=0.047	False	-0.1231736174707265	0.7282461776522897	0		0	4	CHEMBL4261	Hypoxia-inducible factor 1-alpha	5615.0	1000.0	0.14	Q16665	Hypoxia-inducible factor 1-alpha	Cytoplasm;Nucleus;Nucleus speckle		static_wave21_guardrail	CORE_MACHINERY;EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta | static_wave21_guardrail:generic hypoxia/stress controller route without a new targetable delta	
