gene	prior_source	prior_call	prior_reason
ABCA1	wave19_lysosomal_candidates		
ABCA1	wave19_lysosomal_routes	NO_GO	PPAR_LXR_cholesterol_efflux_activation: Local V3 signal is mixed/negative for PPARG/NR1H3/ABCG1 and promotion criteria explicitly demote saturated generic PPAR/LXR claims.
ABCA1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
ABCG1	wave19_lysosomal_candidates		
ABCG1	wave19_lysosomal_routes	NO_GO	PPAR_LXR_cholesterol_efflux_activation: Local V3 signal is mixed/negative for PPARG/NR1H3/ABCG1 and promotion criteria explicitly demote saturated generic PPAR/LXR claims.
ABCG1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
ACSL1	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior V2/V3 lipid-metabolism route; local strict signal is IBD-stromal only and intervention direction remains unsafe
ACSL3	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	lipid-metabolism adjacent route; no new intervention delta beyond prior lipid-handling failures
APOC1	wave20_unrestricted	ADJACENT_DEMOTE_MODEL	manual_reason=post-triage Geneformer deletion screen showed no normalization support; wave20_rationale=Failed the previous survivor route.
APOE	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
AQR	static_wave21_guardrail	CORE_MACHINERY	core machinery/stress/structural readout; no selective intervention delta
AQR	wave20_orchestrator	DEMOTE_LOCAL_TRIAGE	
AQR	wave20_unrestricted	NO_GO_CORE_SPLICEOSOME_MARKER	wave20_rationale=Expression recurrence only; core nuclear machinery is a kill under Wave19 gates.
ASAH1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
ATG16L1	wave20_genetic_altaxis	NO_GO	gate_failures=target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; manual_blocker=Autophagy pathway modulation is indirect and broad; no selective ATG16L1 target engagement package.
ATG5	wave19_lysosomal_candidates		
ATG5	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
ATG7	wave19_lysosomal_candidates		
ATG7	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
AXL	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement/Fc/TAM/TREM checkpoint-like route
BCL6	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
BECN1	wave19_lysosomal_candidates		
BECN1	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
BTLA	wave19_checkpoint	PARK	wave19_reason=state coupling below gate (0<3); checkpoint biology is not myeloid/APC-state selective; crowded prior art snapshot (EuropePMC=2105, CT.gov=2)
BTLA	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
C15ORF48	wave20_orchestrator	PARK_FOR_WORKER_REVIEW	
C15ORF48	wave20_unrestricted	STATE_MARKER_ONLY	manual_reason=strong expression marker but absent from Geneformer token dictionary in the current route; wave20_rationale=Strong expression marker, including myeloid IBD, but model-blocked and non-druggable.
C1QA	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement route
C1QB	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement route
C1QC	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement route
CARD9	wave20_genetic_altaxis	NO_GO	gate_failures=target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; real perturbation or strong model support is insufficient; manual_blocker=No direct druggability now and infectious-risk direction is unfavorable.
CBX3	static_wave21_guardrail	CORE_MACHINERY	core machinery/stress/structural readout; no selective intervention delta
CBX3	wave20_orchestrator	PARK_FOR_WORKER_REVIEW	
