gene	chembl_status	chembl_search_hit_count	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	uniprot_status	uniprot_accession	uniprot_entry	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_function_excerpt	uniprot_active_binding_feature_count	uniprot_active_binding_features	uniprot_accessible_hint	uniprot_enzyme_hint	chembl_target_organism	chembl_target_gene_symbols	chembl_activity_total_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM	chembl_median_standard_value_nM	chembl_activity_type_counts
ATOX1	no_human_target	0				found	O00244		Copper transport protein ATOX1				Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense	2	Binding site;Binding site	False	False								
SQLE	target_found	3	CHEMBL3592	Squalene monooxygenase	SINGLE PROTEIN	found	Q14534		Squalene monooxygenase		Endoplasmic reticulum membrane;Microsome membrane		Catalyzes the stereospecific oxidation of squalene to (S)-2,3-epoxysqualene, and is considered to be a rate-limiting enzyme in steroid biosynthesis	8	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	False	True	Homo sapiens	SQLE	99.0	1.0	1.0	960.0	960.0	"{""IC50"": 1}"
TPM4	target_found	1	CHEMBL4295789	Tropomyosin alpha-4 chain	SINGLE PROTEIN	found	P67936		Tropomyosin alpha-4 chain		Cytoplasm, cytoskeleton		Binds to actin filaments in muscle and non-muscle cells. Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction. Smooth muscle contraction is regulated by interaction with caldesmon. In non-muscle cells is implicated in stabilizing cytoskeleton actin filaments (By similarity). Binds calcium (PubMed:1836432). Plays a role in platelet biogenesis	0		False	False	Homo sapiens	TPM4	2.0	1.0	1.0	1220.12	1220.12	"{""Kd"": 1}"
LDLRAD3	no_human_target	0				found	Q86YD5		Low-density lipoprotein receptor class A domain-containing protein 3		Cell membrane		May influence APP processing, resulting in a decrease in sAPP-alpha production and increased amyloidogenic P3 peptide production. May regulate ITCH and NEDD4 E3 ligase activity and degradation (PubMed:26854353) (Microbial infection) Acts as a receptor for Venezuelan equine encephalitis virus	0		True	True								
C1QTNF1	no_human_target	0				found	Q9BXJ1		Complement C1q tumor necrosis factor-related protein 1		Secreted			0		True	False								
HIF1A	target_found	6	CHEMBL4261	Hypoxia-inducible factor 1-alpha	SINGLE PROTEIN	found	Q16665		Hypoxia-inducible factor 1-alpha		Cytoplasm;Nucleus;Nucleus speckle		Functions as a master transcriptional regulator of the adaptive response to hypoxia (PubMed:11292861, PubMed:11566883, PubMed:15465032, PubMed:16973622, PubMed:17610843, PubMed:18658046, PubMed:20624928, PubMed:22009797, PubMed:30125331, PubMed:9887100). Under hypoxic conditions, activates the transcription of over 40 genes, including erythropoietin, glucose transporters, glycolytic enzymes, vascular endothelial growth factor, HILPDA, and other genes whose protein products increase oxygen delive	0		True	True	Homo sapiens	HIF1A	5615.0	1000.0	935.0	0.14	3981.1	"{""EC50"": 2, ""IC50"": 122, ""Ki"": 12, ""Potency"": 864}"
CBX3	target_found	1	CHEMBL3826866	Chromobox protein homolog 3	SINGLE PROTEIN	found	Q13185		Chromobox protein homolog 3		Nucleus		Component of heterochromatin, which recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression (PubMed:11242053). Also recognizes and binds histone H1.4 methylated at 'Lys-26' (H1.4K26me) (PubMed:16127177). Excluded from chromatin when histone H1.4 is Simultaneously methylated at Lys-26 (H1.4K26me) and phosphorylated at Ser-27 (H1.4S27Ph) (PubMed:16127177). Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins (PubM	0		False	True	Homo sapiens	CBX3	4.0	1.0	1.0	100000.0	100000.0	"{""Kd"": 1}"
CFB	target_found	2	CHEMBL5731	Complement factor B	SINGLE PROTEIN	found	P00751		Complement factor B		Cell surface;Secreted		Precursor of the catalytic component of the C3 and C5 convertase complexes of the alternative pathway of the complement system, a cascade of proteins that leads to phagocytosis and breakdown of pathogens and signaling that strengthens the adaptive immune system (PubMed:3638964, PubMed:624565, PubMed:6554279, PubMed:6919543, PubMed:9748277). The alternative complement pathway acts as an amplification loop that enhances other complement pathways (classical, lectin and GZMK) by promoting formation 	9	Active site:Charge relay system;Active site:Charge relay system;Active site:Charge relay system;Binding site;Binding site;Binding site;Binding site;Binding site	True	True	Homo sapiens	CFB	341.0	1.0	1.0	3400.0	3400.0	"{""IC50"": 1}"
TIMP1	no_human_target	0				found	P01033		Metalloproteinase inhibitor 1		Secreted		Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor. Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16. Does not act on MMP14. Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1. Plays a role in integrin sign	1	Binding site	True	True								
REG1A	no_human_target	0				found	P05451		Lithostathine-1-alpha		Secreted		Might act as an inhibitor of spontaneous calcium carbonate precipitation. May be associated with neuronal sprouting in brain, and with brain and pancreas regeneration	0		True	False								
COL4A1	no_human_target	1				found	P02462		Collagen alpha-1(IV) chain		Secreted, extracellular space, extracellular matrix, basement membrane		Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen Arresten, comprising the C-terminal NC1 domain, inhibits angiogenesis and tumor formation. The C-terminal half is found to possess the anti-angiogenic activity. Specifically inhibits endothelial cell proliferation, migration and tube formation	0		True	False								
