candidate	n_evidence_records	sources	best_direct_selectivity_score	best_direct_target_suppression	best_direct_target_vs_ifn_margin	direct_evidence_calls	gse162463_mhcii_low_gate_rank_if_available	nomination_strength	nomination_priority	gene_norm
Med16_KO	2	mouse_macrophage_CRISPR_screen;mouse_macrophage_RNAseq	2.3051173986620066	3.139501453617054	2.3416465218333142	selective_target_suppression	42.0	strong_mechanistic_comparator_not_druggable	1	MED16
Gsk3b_KO	2	mouse_macrophage_CRISPR_screen;mouse_macrophage_RNAseq	0.7779563820432978	1.6223580114004137	0.8271572726202511	selective_target_suppression	39.0	candidate_evidence_not_enough_to_nominate_drug	2	GSK3B
RFX5	1	Mixscale_CRISPRi	0.5231987939104686	0.5517938735080701	0.5517938735080701	weak_selective_target_suppression		weak_followup_only	4	RFX5
CHUK	1	Mixscale_CRISPRi	0.3353338408117842	0.672021576511123	0.402896081494298	weak_selective_target_suppression		weak_followup_only	4	CHUK
JAK1	2	Mixscale_CRISPRi	0.1522168759847912	1.0321591183170895	0.1592736075924636	null_or_wrong_direction;target_suppression_not_selective		comparator_only_broad_ifn_jak_collapse	5	JAK1
JAK2	1	Mixscale_CRISPRi	-0.0523161574949977	1.079602966179328	-0.0503947907384045	broad_ifn_jak_like_collapse		comparator_only_broad_ifn_jak_collapse	5	JAK2
IFNGR2	1	Mixscale_CRISPRi	-0.1009923741845148	1.330709485184696	-0.0987086510896968	broad_ifn_jak_like_collapse		comparator_only_broad_ifn_jak_collapse	5	IFNGR2
IFNGR1	1	Mixscale_CRISPRi	-0.1123163899158959	1.4021573988750948	-0.108331689934384	broad_ifn_jak_like_collapse		comparator_only_broad_ifn_jak_collapse	5	IFNGR1
STAT1	2	Mixscale_CRISPRi	-0.4012258865119662	1.0117337805990914	-0.396380121408133	broad_ifn_jak_like_collapse;null_or_wrong_direction		comparator_only_broad_ifn_jak_collapse	5	STAT1
TYK2	1	Mixscale_CRISPRi	-0.4053316992344634	0.6408352558212436	-0.3800706936894638	broad_ifn_jak_like_collapse		comparator_only_broad_ifn_jak_collapse	5	TYK2
IFNAR2	1	Mixscale_CRISPRi	-0.5097787971595411	0.6611289298703412	-0.4593722086768544	broad_ifn_jak_like_collapse		comparator_only_broad_ifn_jak_collapse	5	IFNAR2
IFNAR1	1	Mixscale_CRISPRi	-0.6589025927502802	0.3507928719514278	-0.6586484280015467	target_suppression_not_selective		comparator_only_broad_ifn_jak_collapse	5	IFNAR1
TNFRSF1A	1	Mixscale_CRISPRi	0.6211601610564657	0.9683862679530189	0.6624135343272808	selective_target_suppression		not_nominated	6	TNFRSF1A
SOX9	1	Mixscale_CRISPRi	0.1551609201775471	0.3035349790216474	0.1743171938883423	target_suppression_not_selective		not_nominated	6	SOX9
CEBPB	3	Mixscale_CRISPRi	0.095687931997956	0.211461795291348	0.1032633439631451	null_or_wrong_direction		not_nominated	6	CEBPB
ZNF267	2	Mixscale_CRISPRi	0.0899514955146346	0.1358552511315687	0.0903533721985992	null_or_wrong_direction		not_nominated	6	ZNF267
IRF2	1	Mixscale_CRISPRi	0.0705716855827597	0.1606164539157387	0.1004809199388269	null_or_wrong_direction		not_nominated	6	IRF2
JUN	3	Mixscale_CRISPRi	0.0686171525190816	0.0880350296448546	0.0880350296448546	null_or_wrong_direction		not_nominated	6	JUN
MMP9	1	Mixscale_CRISPRi	0.0624567452637861	0.0711909058990569	0.0711909058990569	null_or_wrong_direction		not_nominated	6	MMP9
PLEK	1	Mixscale_CRISPRi	0.0612576752638293	0.0637272869158896	0.0637272869158896	null_or_wrong_direction		not_nominated	6	PLEK
FADD	1	Mixscale_CRISPRi	0.0572866762740464	0.1737860249532461	0.0580448802966657	null_or_wrong_direction		not_nominated	6	FADD
POU2F1	1	Mixscale_CRISPRi	0.0540813502322408	0.1099964989990966	0.0544527479555773	null_or_wrong_direction		not_nominated	6	POU2F1
MYC	3	Mixscale_CRISPRi	0.0528308602834423	0.0734323538208265	0.0734323538208265	null_or_wrong_direction		not_nominated	6	MYC
ZFP36	1	Mixscale_CRISPRi	0.0462024882789616	0.0488979444668603	0.0488979444668603	null_or_wrong_direction		not_nominated	6	ZFP36
MCRS1	1	Mixscale_CRISPRi	0.0397920265784559	0.2746834809315896	0.0610356769259946	target_suppression_not_selective		not_nominated	6	MCRS1
IKBKG	1	Mixscale_CRISPRi	0.0354575807819541	0.1828389573779459	0.0660868254677357	null_or_wrong_direction		not_nominated	6	IKBKG
PDCD5	1	Mixscale_CRISPRi	0.0237874054661671	0.0792422201543072	0.0792422201543072	null_or_wrong_direction		not_nominated	6	PDCD5
ATF5	1	Mixscale_CRISPRi	0.0176213200591352	0.0382742918023563	0.0382742918023563	null_or_wrong_direction		not_nominated	6	ATF5
ADAR	1	Mixscale_CRISPRi	0.014209700037279	0.1086808389924466	0.1086808389924466	null_or_wrong_direction		not_nominated	6	ADAR
CSF1	1	Mixscale_CRISPRi	0.0118251092693067	0.0414031680913976	0.0226611509189743	null_or_wrong_direction		not_nominated	6	CSF1
CASP8	1	Mixscale_CRISPRi	0.0034833489727077	0.101107440684024	0.0453755198490025	null_or_wrong_direction		not_nominated	6	CASP8
BIRC2	1	Mixscale_CRISPRi	0.0033498647591914	0.0425663048504042	0.0203764118763952	null_or_wrong_direction		not_nominated	6	BIRC2
RUNX1	1	Mixscale_CRISPRi	-0.0001246849374553	0.0	0.0	null_or_wrong_direction		not_nominated	6	RUNX1
CASP10	1	Mixscale_CRISPRi	-0.000239789090651	0.0	0.0	null_or_wrong_direction		not_nominated	6	CASP10
NFKBIA	1	Mixscale_CRISPRi	-0.000407829735903	0.0	0.0	null_or_wrong_direction		not_nominated	6	NFKBIA
PTPN11	1	Mixscale_CRISPRi	-0.0005204511468217	0.0	0.0	null_or_wrong_direction		not_nominated	6	PTPN11
ATF3	1	Mixscale_CRISPRi	-0.0008369248717864	0.0	0.0	null_or_wrong_direction		not_nominated	6	ATF3
CEBPE	1	Mixscale_CRISPRi	-0.0008583203898353	0.0	0.0	null_or_wrong_direction		not_nominated	6	CEBPE
TAPBPL	1	Mixscale_CRISPRi	-0.0011621622178167	0.0	0.0	null_or_wrong_direction		not_nominated	6	TAPBPL
TRAF3	1	Mixscale_CRISPRi	-0.00141097830447	0.0	0.0	null_or_wrong_direction		not_nominated	6	TRAF3
