gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	supporting_contexts	strong_supporting_contexts	geneformer_remission_priority_score	gene_norm
FCGR2A	6	3	2	1	GSE282122_Mono_macro_post_nonremission_to_remission	12	1.0568239060008964	0.0341361358367268	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_Mono_macro_post_nonremission_to_remission	9.75	FCGR2A
JAK1	6	3	1	1	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.719032330134307	0.0296228533927609	GSE282122_DC_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_CD_only	7.75	JAK1
IL7R	6	2	1	1	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.3475858023767018	0.0621426369969008	GSE282122_DC_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_UC_only	7.5	IL7R
CD80	6	2	1	1	GSE282122_DC_post_nonremission_to_remission_UC_only	3	0.5011429582620628	0.0070502733785866	GSE282122_DC_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_UC_only	7.5	CD80
NCF1	6	4	3	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	0.4617930355456027	0.046513119579241	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		7.0	NCF1
SRC	6	6	1	0	GSE282122_DC_post_nonremission_to_remission	8	0.0996221609779181	0.0057472698616846	GSE282122_DC_post_nonremission_to_remission		3.5	SRC
SYK	6	3	1	0	GSE282122_DC_post_nonremission_to_remission	3	0.417241877964892	0.0153604950982197	GSE282122_DC_post_nonremission_to_remission		2.75	SYK
CD274	6	2	1	0	GSE282122_DC_post_nonremission_to_remission_CD_only	4	0.2644216920959175	0.0269256947879006	GSE282122_DC_post_nonremission_to_remission_CD_only		2.5	CD274
JAK2	6	1	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	0.2265797023203478	0.0151276946041939	GSE282122_DC_post_nonremission_to_remission_UC_only		2.25	JAK2
FCGR2B	6	4	0	0	GSE282122_DC_post_nonremission_to_remission	5	0.8278829329338027	-0.0228439988342062			1.0	FCGR2B
PRKDC	6	1	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	1	1.1463393728851727	0.00029413833658			0.25	PRKDC
STAT4	6	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.4903460250566796	-0.0172170472725863			0.25	STAT4
TNFSF15	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	1	0.8324543870079212	0.0188877245941613			0.0	TNFSF15
FYN	6	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	1	0.5592898615323384	0.009438001920676			0.0	FYN
GSK3B	6	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	1	0.4616314402869036	-0.0140649684387931			0.0	GSK3B
MAPK14	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	2	0.2917735599539487	0.0132504532644007			0.0	MAPK14
SP140	6	0	0	0	GSE282122_DC_post_nonremission_to_remission	1	-0.3570072808525479	-0.0240805782151356			0.0	SP140
RGS14	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	-0.4512406115637777	0.0174502513908211			0.0	RGS14
BLK	6	0	0	0	GSE282122_DC_post_nonremission_to_remission	0					0.0	BLK
