gene	wave19_call	wave19_reason	axis	aliases	desired_direction	modality	delivery	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_count_union	local_state_coupled_union	broad_positive_disease_count	broad_positive_diseases	broad_negative_disease_count	broad_negative_diseases	residual_gate_retained_positive_disease_count	residual_gate_retained_diseases	orchestrator_resid_state_support_diseases	ms_wm_delta_log2	ms_wm_p	gse162463_mhcii_median_low_vs_high_log2	gse162463_mhcii_rank_required_low_vs_high	geneformer_total_support_contexts	geneformer_total_strong_support_contexts	europepmc_hit_count	pubmed_hit_count	preprint_hit_count	clinicaltrials_hit_count	chembl_target_chembl_id	chembl_pref_name	chembl_nM_activity_count	europepmc_url	pubmed_url	preprint_url	clinicaltrials_url	chembl_activity_url
CD274	PARK	crowded prior art snapshot (EuropePMC=33145, CT.gov=5); known checkpoint/tolerance axis with non-novel autoimmune direction; tractable but saturated ChEMBL small-molecule/assay footprint (1875 nM records)	PD-L1/PD-1 tolerance checkpoint	PD-L1;B7-H1	agonize PD-1 pathway or provide PD-L1-like tolerogenic signal	PD-L1-Fc/PD-1 agonist biologic concept	systemic biologic; tissue-targeted tolerization required to avoid broad suppression	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	3	Crohn disease;psoriasis;type 1 diabetes mellitus	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0		2	Crohn disease;Sjogren syndrome	3	0.3544765521359103	0.3282160655447695	-0.05968761887243351	6946.0	0	0	33145	1495	135	5	CHEMBL3580522	Programmed cell death 1 ligand 1	1875	https://europepmc.org/search?query=%28CD274+OR+%22PD-L1%22+OR+B7-H1%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD274+OR+%22PD-L1%22+OR+B7-H1%29+autoimmune	https://europepmc.org/search?query=%28%28CD274+OR+%22PD-L1%22+OR+B7-H1%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=PD-L1+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3580522
CD24	PARK	state coupling below gate (0<3); crowded prior art snapshot (EuropePMC=5154, CT.gov=1); known checkpoint/tolerance axis with non-novel autoimmune direction	CD24-SIGLEC10 DAMP/glycan checkpoint ligand	CD24Fc	agonize CD24-Siglec-10 inhibitory DAMP checkpoint	CD24Fc or engineered CD24 ligand	systemic biologic; tissue-local activity not proven	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0		4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0		2	type 1 diabetes mellitus;ulcerative colitis	0	-0.3131457372415891	0.79096128985077			0	0	5154	225	72	1				https://europepmc.org/search?query=%28CD24+OR+CD24Fc%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD24+OR+CD24Fc%29+autoimmune	https://europepmc.org/search?query=%28%28CD24+OR+CD24Fc%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CD24Fc+autoimmune	
BTLA	PARK	state coupling below gate (0<3); checkpoint biology is not myeloid/APC-state selective; crowded prior art snapshot (EuropePMC=2105, CT.gov=2)	BTLA-HVEM checkpoint	CD272	agonize BTLA inhibitory signaling	agonist antibody or HVEM-ligand biologic concept	systemic biologic; T-cell weighted rather than myeloid selective	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0		3	Crohn disease;Sjogren syndrome;ulcerative colitis	0		0		0					0	0	2105	117	13	2				https://europepmc.org/search?query=%28BTLA+OR+CD272%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28BTLA+OR+CD272%29+autoimmune	https://europepmc.org/search?query=%28%28BTLA+OR+CD272%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=BTLA+autoimmune	
CD200	PARK	state coupling below gate (0<3); crowded prior art snapshot (EuropePMC=2492, CT.gov=1)	CD200-CD200R inhibitory myeloid checkpoint ligand	OX2	provide CD200-like inhibitory signal to CD200R1	CD200-Fc/ligand fusion concept	systemic or mucosal biologic concept	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0		0	1.8384397244159705	0.0908591902171466			0	0	2492	111	30	1	CHEMBL3712870	OX-2 membrane glycoprotein	0	https://europepmc.org/search?query=%28CD200+OR+OX2%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD200+OR+OX2%29+autoimmune	https://europepmc.org/search?query=%28%28CD200+OR+OX2%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CD200+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3712870
CD47	PARK	state coupling below gate (0<3); crowded prior art snapshot (EuropePMC=5095, CT.gov=0); known checkpoint/tolerance axis with non-novel autoimmune direction	CD47-SIRPA phagocytosis checkpoint ligand	IAP	enhance do-not-eat signaling only if state-coupled; blockade likely wrong	CD47/SIRPA biologic modulation	systemic biologic has anemia/phagocytosis liabilities	3	Crohn disease;psoriasis;type 1 diabetes mellitus	0		3	Crohn disease;psoriasis;type 1 diabetes mellitus	0		0		0	0.2176408940367711	0.2416861608396672	1.221964163179058	1189.0	0	0	5095	105	20	0	CHEMBL3714583	Leukocyte surface antigen CD47	25	https://europepmc.org/search?query=%28CD47+OR+%22integrin+associated+protein%22%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD47+OR+%22integrin+associated+protein%22%29+autoimmune	https://europepmc.org/search?query=%28%28CD47+OR+%22integrin+associated+protein%22%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CD47+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3714583
CLEC12A	PARK_LOW	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); crowded prior art snapshot (EuropePMC=12023, CT.gov=0)	CLEC12A/MICL inhibitory myeloid receptor	MICL;CLL-1	agonize inhibitory myeloid receptor if state-coupled	antibody modulation concept; oncology targeting precedent	systemic biologic; myeloid depletion risk if wrong format	2	Sjogren syndrome;psoriasis	0		2	Sjogren syndrome;psoriasis	0		0		0	-0.4158224382744016	0.7234500434034304	1.1265628805895558	1422.0	0	0	12023	14	86	0				https://europepmc.org/search?query=%28CLEC12A+OR+MICL+OR+CLL-1%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CLEC12A+OR+MICL+OR+CLL-1%29+autoimmune	https://europepmc.org/search?query=%28%28CLEC12A+OR+MICL+OR+CLL-1%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CLEC12A+autoimmune	
LILRB1	PARK_LOW	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); crowded prior art snapshot (EuropePMC=1136, CT.gov=1)	LILRB1/ILT2 inhibitory HLA receptor	ILT2;CD85J	agonize inhibitory HLA receptor if disease-state coupling exists	antibody/HLA-ligand biologic concept	systemic biologic; broad leukocyte expression risk	2	Crohn disease;ulcerative colitis	0		2	Crohn disease;ulcerative colitis	0		0		0	-0.2480039987346405	0.3035041507515239			0	0	1136	55	10	1				https://europepmc.org/search?query=%28LILRB1+OR+ILT2+OR+CD85J%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB1+OR+ILT2+OR+CD85J%29+autoimmune	https://europepmc.org/search?query=%28%28LILRB1+OR+ILT2+OR+CD85J%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=LILRB1+autoimmune	
LILRB2	PARK_LOW	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3)	LILRB2/ILT4 inhibitory myeloid HLA receptor	ILT4;CD85D	agonize inhibitory myeloid HLA receptor	agonist antibody/HLA-ligand biologic concept; oncology antagonists are opposite	systemic biologic; tissue-selective delivery undeveloped	2	Crohn disease;ulcerative colitis	0		2	Crohn disease;ulcerative colitis	0		0		0	-0.7296611895492067	0.0077844079989185			0	0	911	42	7	0				https://europepmc.org/search?query=%28LILRB2+OR+ILT4+OR+CD85D%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB2+OR+ILT4+OR+CD85D%29+autoimmune	https://europepmc.org/search?query=%28%28LILRB2+OR+ILT4+OR+CD85D%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=LILRB2+autoimmune	
LILRB3	PARK_LOW	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3)	LILRB3/ILT5 inhibitory myeloid receptor	ILT5;CD85A	agonize inhibitory receptor if disease-state coupling exists	antibody modulation concept	systemic biologic; little tissue-targeted precedent	2	Crohn disease;ulcerative colitis	0		2	Crohn disease;ulcerative colitis	0		0		0	-0.3769548589371787	0.5039530830837081			0	0	198	3	2	0				https://europepmc.org/search?query=%28LILRB3+OR+ILT5+OR+CD85A%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB3+OR+ILT5+OR+CD85A%29+autoimmune	https://europepmc.org/search?query=%28%28LILRB3+OR+ILT5+OR+CD85A%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=LILRB3+autoimmune	
PVR	PARK_LOW	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); checkpoint biology is not myeloid/APC-state selective; crowded prior art snapshot (EuropePMC=1030, CT.gov=0)	PVR/CD155 ligand for TIGIT/CD96/CD226	CD155	bias PVR axis toward TIGIT inhibitory signaling	ligand engineering/antibody concept	systemic; competing activating receptors make direction risky	2	psoriasis;ulcerative colitis	0		2	psoriasis;ulcerative colitis	0		0		0	0.196143512329753	0.6066059392681019	0.838921402041153	2273.0	0	0	1030	18	4	0				https://europepmc.org/search?query=%28PVR+OR+CD155%29+TIGIT+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28PVR+OR+CD155%29+TIGIT+autoimmune	https://europepmc.org/search?query=%28%28PVR+OR+CD155%29+TIGIT+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=PVR+TIGIT+autoimmune	
