gene	scope	routing_decision	manual_status	manual_reason	positive_disease_count	negative_disease_count	positive_compartment_count	positive_fdr10_compartment_count	positive_diseases	top_positive_compartments	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_evidence_present	geneformer_contexts_with_token	geneformer_disease_cells_with_token	geneformer_support_contexts	geneformer_strong_support_contexts	geneformer_mean_cosine_z_vs_random	geneformer_mean_projection_shift	residual_raw_positive_disease_count	residual_retained_positive_disease_count	residual_non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	residual_gate_priority_score	focused_strict_core_covariate_surviving_analysis_count	focused_retained_positive_disease_count	biology_class	gate1_recurrence_residual	gate2_perturbation_or_model	gate3_explicit_intervention_direction	gate4_modality_druggability	gate5_safety_repair_risk	gate6_prior_art_delta	wave20_call	least_bad_comparator_rank	wave20_rationale
SNX10	focus	test_or_scout	unknown		3.0	0.0	4.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_myeloid:1.94,p=0.00012;ibd_uc_myeloid:1.31,p=0.0026;t1d_endothelial_cell:2.53,p=0.0028;t1d_stellate_cell:1.72,p=0.017	0.712408223548989	0.0127398445881719	0.8349413280632139	False	7.0	25.0	4.0	1.0	-0.0319654384098506	0.0058473419963515	2.0	2.0	0.0	0.0		4.0	0.0	2.0	intracellular endosomal/phagolysosomal trafficking marker	FAIL_RETAINED_ONLY_NO_STRICT_CORE_SURVIVAL	WEAK_MODEL_PLUS_PUBLIC_MOUSE_PRIOR_ART_NOT_V3_CAUSALITY	No safe direction. Inhibition/knockdown is the plausible anti-colitis direction; restoration/activation is plausible for host defense and phagosome maturation.	Poor. Intracellular PX-domain trafficking protein; no mature selective SNX10 drug modality found.	High host-defense and repair risk: SNX10 supports macrophage phagosome maturation and bacterial killing; osteoclast biology adds bone/remodeling liabilities.	Weak. IBD macrophage/colitis and phagosome biology are already public; broad autoimmunity delta is not established.	LEAST_BAD_COMPARATOR_ONLY	1	Best comparator because it has Crohn/UC myeloid recurrence plus weak model and public macrophage perturbation, but it fails strict residual specificity, modality, safety, and novelty.
C15ORF48	focus	hold	model_blocked_hold	strong expression marker but absent from Geneformer token dictionary in the current route	3.0	0.0	4.0	2.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_myeloid:4.45,p=2.9e-05;ibd_crohn_myeloid:3.88,p=0.00061;t1d_endothelial_cell:3.21,p=0.0014;t1d_stellate_cell:3.09,p=0.015	1.223015588579818	0.0037534871126623	0.8344760564031432	False	0.0	0.0	0.0	0.0			3.0	3.0	1.0	0.0		7.0	0.0	3.0	intracellular mitochondrial/inflammatory macrophage marker (MOCCI/miR-147b)	FAIL_RETAINED_ONLY_NO_STRICT_CORE_SURVIVAL	FAIL_NO_MODEL_OR_REAL_PERTURBATION	Ambiguous. Literature suggests MOCCI can be anti-inflammatory feedback, so high expression is not automatically a pathogenic inhibition target.	Poor. Mitochondrial microprotein plus miRNA biology; no practical target-engagement modality for autoimmune tissue state.	High uncertainty: manipulating mitochondrial inflammatory feedback can impair host defense or stress adaptation.	Weak. MOCCI/C15ORF48 inflammatory macrophage biology is already published; local signal is still marker-like.	STATE_MARKER_ONLY	2	Strong expression marker, including myeloid IBD, but model-blocked and non-druggable.
NCK1	focus	test_or_scout	unknown		3.0	0.0	5.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:0.886,p=0.0018;t1d_endothelial_cell:0.672,p=0.02;ibd_crohn_stromal:0.523,p=0.026;t1d_acinar_cell:0.595,p=0.04;ibd_crohn_epithelial:0.482,p=0.042	0.4449989986308154	0.0055557148533128	0.8344760564031432	False	10.0	24.0	0.0	0.0	-0.1786909371997134	-0.0013019204139709	1.0	0.0	0.0	0.0		2.0	0.0	0.0	intracellular adaptor for TCR/actin signaling	FAIL_EXPRESSION_RECURRENCE_ONLY	PUBLIC_PERTURBATION_WRONG_CONTEXT_PRIOR_ART	Inhibit TCR-Nck interaction if pursuing autoimmunity, but that is a broad T-cell immunosuppression route rather than V3 tissue-state control.	Medium but wrong context. PPI/small-molecule precedent exists for TCR-Nck; not a selective tissue APC/repair-state modality.	High: broad TCR, immune synapse, actin, and Treg/function effects.	Poor. Autoimmune TCR-Nck inhibitor prior art already captures the plausible intervention.	MODALITY_COMPARATOR_ONLY	3	Useful as a druggability comparator, not as a V3 survivor target.
FMNL2	focus	test_or_scout	unknown		4.0	0.0	5.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035	0.4116873433440275	0.0323812070948891	0.8506970233122761	False	4.0	14.0	1.0	0.0	-0.0928349243473628	0.0017445090925321	2.0	2.0	1.0	0.0		6.0	0.0	0.0	intracellular formin/actin migration and barrier-remodeling marker	FAIL_RETAINED_ONLY_NO_STRICT_CORE_SURVIVAL	MODEL_WEAK_NO_REAL_V3_PERTURBATION	Inhibition of actin/formin migration is the only obvious direction, but local disease signal could mark repair/remodeling.	Poor. No selective autoimmune-ready FMNL2 modality found.	High: cytoskeletal migration, epithelial repair, macrophage/mesenchymal motility.	Insufficient. A Crohn rare-variant report exists but does not supply a broad therapeutic delta.	NO_GO_INTRACELLULAR_REMODELING_MARKER	4	Broad expression recurrence is offset by weak residual/model evidence and non-druggable repair biology.
DAP	focus	test_or_scout	unknown		3.0	0.0	4.0	0.0	Crohn disease;psoriasis;ulcerative colitis	ibd_uc_epithelial:0.851,p=0.0022;psoriasis_skin_stromal:0.636,p=0.0025;psoriasis_skin_apc:0.662,p=0.0069;ibd_crohn_epithelial:0.889,p=0.0076	0.3933456450044126	0.0080691967127082	0.8344760564031432	False	10.0	55.0	3.0	1.0	-0.2188240310841635	0.0091395323863252	3.0	2.0	1.0	0.0		6.0	0.0	2.0	intracellular IFN/cell-death/autophagy stress marker	FAIL_RETAINED_ONLY_NO_STRICT_CORE_SURVIVAL	MODEL_ONLY_WEAK_NO_REAL_V3_PERTURBATION	Ambiguous. DAP1 inhibition or restoration would affect apoptosis/autophagy rather than a defined APC-state controller.	Poor. No mature target-selective autoimmune modality found.	High: apoptosis, autophagy, stress-response and cell survival liabilities.	Poor. IFN-gamma cell-death/autophagy biology is old and nonspecific.	NO_GO_STRESS_MARKER	5	Model signal is not enough; biology is generic IFN/death/autophagy.
PPIL3	focus	test_or_scout	unknown		3.0	0.0	5.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:0.996,p=0.0049;t1d_endothelial_cell:1.62,p=0.025;ibd_crohn_epithelial:0.629,p=0.028;t1d_ductal_cell:1.31,p=0.03;t1d_stellate_cell:1.53,p=0.035	0.6072339458133413	0.0182948169279802	0.8372898579012464	False	7.0	16.0	1.0	0.0	0.0158740082870822	0.0068518198427877	0.0	0.0	0.0	0.0		2.0	0.0	0.0	nuclear cyclophilin/spliceosome-associated protein	FAIL_EXPRESSION_RECURRENCE_ONLY	MODEL_WEAK_NO_REAL_V3_PERTURBATION	No explicit therapeutic direction.	Poor. Nuclear PPIase/spliceosome biology lacks selective autoimmune modality.	High: spliceosome/proteostasis intervention would be broadly toxic.	None useful; sparse gene-specific autoimmunity art.	NO_GO_NONDRUGGABLE_INTRACELLULAR	6	Expression-only survivor with no direction or tractability.
PLEK2	focus	test_or_scout	unknown		3.0	0.0	4.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:1.27,p=0.0036;ibd_crohn_epithelial:1.02,p=0.0082;ibd_crohn_myeloid:1.61,p=0.019;t1d_stellate_cell:1.53,p=0.028	3.0459958234208124	0.0073786076112192	0.8344760564031432	False	4.0	6.0	0.0	0.0	-0.3023971802676646	-0.0467829041881486	0.0	0.0	0.0	0.0		2.0	0.0	0.0	intracellular PI3K-phosphoinositide/actin cytoskeleton marker	FAIL_EXPRESSION_RECURRENCE_ONLY	FAIL_NO_MODEL_OR_REAL_PERTURBATION	No safe explicit direction; inhibition would likely affect actin remodeling and hematopoietic/tissue functions.	Poor. No selective PLEK2 autoimmune modality found.	High: cytoskeleton, spreading, migration, and tissue repair liabilities.	None useful; biology is generic cytoskeletal remodeling.	NO_GO_CYTOSKELETAL_MARKER	7	Strong MS nominal expression does not overcome zero residual/model/druggability support.
TNFAIP8L1	focus	test_or_scout	unknown		4.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_stromal:1.43,p=0.024;ibd_uc_epithelial:1.28,p=0.031;t1d_beta_cell:0.593,p=0.034;psoriasis_skin_stromal:0.466,p=0.043	0.4563149724166724	0.0085624242089706	0.8349413280632139	False	5.0	9.0	0.0	0.0	-0.0400307589330994	-0.0033070056699216	0.0	0.0	0.0	0.0		2.0	0.0	0.0	intracellular TIPE-family inflammation/cell-death/lipid-transfer-adjacent marker	FAIL_EXPRESSION_RECURRENCE_ONLY	FAIL_NO_MODEL_OR_REAL_PERTURBATION	Ambiguous across TIPE-family immune regulation, cell death, autophagy, and lipid second-messenger biology.	Poor. No gene-selective autoimmune modality found.	High uncertainty: immune homeostasis and cell-death pathway risk.	Thin. Family-level inflammation literature exists but TNFAIP8L1-specific autoimmunity evidence is weak.	NO_GO_THIN_INTRACELLULAR_MARKER	8	Four-disease expression recurrence collapses under residual/model gates.
SEL1L3	focus	test_or_scout	unknown		3.0	0.0	3.0	1.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:2.09,p=0.001;ibd_crohn_stromal:1.46,p=0.007;t1d_endothelial_cell:1.55,p=0.0076	0.922501683138024	0.0181382735511015	0.8372898579012464	False	4.0	11.0	0.0	0.0	0.4773651805201125	0.0196646736003458	1.0	1.0	0.0	0.0		3.0	0.0	0.0	undercharacterized intracellular/ER-adjacent SEL1L-family marker	FAIL_EXPRESSION_RECURRENCE_ONLY	FAIL_NO_MODEL_OR_REAL_PERTURBATION	No explicit therapeutic direction.	Poor. No mature target modality found.	Unknown-to-high: undercharacterized ER/protein-quality biology and tissue expression.	None useful for autoimmunity.	NO_GO_UNDERCHARACTERIZED_MARKER	9	Thin biology plus no residual, perturbation, direction, or modality.
AQR	focus	test_or_scout	unknown		3.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	ibd_uc_epithelial:0.648,p=0.0038;ibd_crohn_epithelial:0.541,p=0.012;psoriasis_skin_stromal:0.347,p=0.047	0.2576228255837183	0.0459326873416809	0.8734815344479258	False	11.0	23.0	0.0	0.0	-0.2485375839107816	-0.016389526172795	0.0	0.0	0.0	0.0		2.0	0.0	0.0	nuclear spliceosome RNA helicase marker	FAIL_EXPRESSION_RECURRENCE_ONLY	FAIL_NO_MODEL_OR_REAL_PERTURBATION	No autoimmune-relevant direction.	Poor. Spliceosome helicase intervention is not selective for inflamed tissue states.	Very high: core RNA processing liability.	None; any spliceosome-autoimmunity link would be generic and unsafe.	NO_GO_CORE_SPLICEOSOME_MARKER	10	Expression recurrence only; core nuclear machinery is a kill under Wave19 gates.
