strength	scope	n
data_gated_not_established	genetics colocalization	1
negative_established	MS/autoimmune treatment response	1
negative_established	clinical utility	1
negative_established	cross-disease treatment response	1
negative_established	deep structure	1
negative_established	genetics colocalization	1
negative_established	in-silico modeling	1
negative_established	infectious-trigger exploratory biology	1
negative_established	progressive/lesion biology	1
negative_established	shared genetics interpretation	1
negative_established	shared genetics target transfer	1
negative_established	target nomination	1
negative_established	treatment-response mechanism	1
negative_established	treatment-response modeling	1
supported_exclusion	treatment-response confounding	2
