case	row_number	check	status	detail
partial_label_to_plan_with_label_classifier		required_columns_present	PASS	all required columns present
partial_label_to_plan_with_label_classifier		no_extra_columns	PASS	no extra columns
partial_label_to_plan_with_label_classifier		has_at_least_one_row	PASS	10
partial_label_to_plan_with_label_classifier	1	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	1	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	1	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	1	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	1	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	2	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	2	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	2	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	2	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	2	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	3	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	3	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	3	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	3	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	3	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	4	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	4	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	4	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	4	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	4	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	5	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	5	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	5	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	5	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	5	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	6	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	6	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	6	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	6	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	6	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	7	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	7	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	7	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	7	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	7	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	8	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	8	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	8	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	8	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	8	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	9	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	9	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	9	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	9	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	9	sha_recorded_or_not_recordable	PASS	synthetic
partial_label_to_plan_with_label_classifier	10	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
partial_label_to_plan_with_label_classifier	10	sensitivity_class_safe	PASS	derived_non_sensitive_summary
partial_label_to_plan_with_label_classifier	10	commit_allowed_safe	PASS	yes
partial_label_to_plan_with_label_classifier	10	bytes_present_or_unknown	PASS	123
partial_label_to_plan_with_label_classifier	10	sha_recorded_or_not_recordable	PASS	synthetic
