gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation	call	critical_gate_pass_count	critical_gate_total	chembl_activity_rows	chembl_best_nM	europepmc_hit_count	primary_blocker
IL7R	ENSG00000168685	interleukin 7 receptor	26.0	False	7	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	7	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	7	0.7885940637617141	0.5755767565735939	0.5755767565735939	0.0	0.8421622906901755	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.6536992297096775	0.5724603142052797	0.9431647247323408	1	False				do_not_promote	NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		600	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
SP140	ENSG00000079263	SP140 nuclear body protein	26.0	False	6	AS;Crohn;MS;Psoriasis;RA;UC	6	AS;Crohn;MS;Psoriasis;RA;UC	6	0.7593921205206332	0.4647797254821645	0.4811263565322617	0.0	0.5046103221229447	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	-0.0867628128456026	0.7262224269643743	0.9677805697088556	0	False					REOPEN_COLOC_OR_PERTURBATION_PRIORITY_ONLY	4	8	0		61	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
CD40	ENSG00000101017	CD40 molecule	24.0	False	8	AITD;AS;Crohn;MS;Psoriasis;RA;SLE;UC	8	AITD;AS;Crohn;MS;Psoriasis;RA;SLE;UC	8	0.7292906022301274	0.4555174061769214	0.5962519902089006	0.17333457997235344	0.916739387666332	2	1	Crohn disease;ulcerative colitis	-0.5445775168848961	0.0540269612921963	0.8904676266102052	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	2	8	3	50.0	4564	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
STAT4	ENSG00000138378	signal transducer and activator of transcription 4	24.0	False	9	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	7	AITD;Celiac;MS;PBC;RA;SLE;Sjogren	8	0.655585325609798	0.40336907556436014	0.6185086015841468	0.0	0.9286451990515842	2	0	Crohn disease;ulcerative colitis	0.8684079555977076	0.4607005214454064	0.9239963547089984	0	False	-0.0502650068931169	0.0	null_or_wrong_direction		NO_GO_EXTERNAL_GENETICS_SWEEP	2	8	5	10.0	1429	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
BACH2	ENSG00000112182	BACH transcriptional regulator 2	23.0	False	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	10	0.7231039278192867	0.4411977390831753	0.5475746309190753	0.0	0.725610722719412	1	0	Sjogren syndrome	-1.247739315378678	0.2980719423940499	0.9075477698307116	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		341	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
INAVA	ENSG00000163362	innate immunity activator	23.0	False	7	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	6	AS;Crohn;MS;Psoriasis;RA;UC	6	0.6676684262582133	0.4058961989152514	0.507917788999701	0.0	0.06794977620637892	1	1	type 1 diabetes mellitus	0.0	1.0	1.0	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		64	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
PRDM1	ENSG00000057657	PR/SET domain 1	23.0	False	6	AS;Crohn;Psoriasis;RA;SLE;UC	5	AS;Crohn;Psoriasis;RA;UC	6	0.0	0.0	0.5040980522815545	0.0	0.7571058343208941	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.0411396810451609	0.9031141115364548	0.9853557740270772	0	False	-0.0029204183808801	0.0	null_or_wrong_direction		NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		424	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
PUS10	ENSG00000162927	pseudouridine synthase 10	23.0	False	7	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	4	Celiac;Crohn;MS;UC	5	0.5871795903065286	0.35696455667631277	0.45060423480310047	0.0	0.07202291255037678	1	1	type 1 diabetes mellitus	-0.1800350557802215	0.5667268975128495	0.94290799259041	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		17	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
SPRED2	ENSG00000198369	sprouty related EVH1 domain containing 2	23.0	False	6	Celiac;Crohn;MS;Psoriasis;RA;SLE	4	Crohn;MS;RA;SLE	4	0.6798598760820634	0.4133077567307067	0.4796783603464134	0.0	0.18145045612046856	1	1	type 1 diabetes mellitus	-0.2835103518497526	0.2238020768563351	0.8993702893651148	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		48	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
TAGAP	ENSG00000164691	T cell activation RhoGTPase activating protein	23.0	False	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	7	AITD;Celiac;Crohn;MS;Psoriasis;RA;T1D	7	0.7690720106401111	0.4699087670608812	0.5172674157749851	0.0	0.22020390626804803	1	1	Crohn disease	0.4550322625700271	0.2565170635340987	0.9037679420388188	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		68	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
