gene	route	modality	manual_modality_ready	manual_direction_blocked	manual_prior_blocked	manual_safety_blocker	wave37_screen_call	wave37_contrast_lfc	wave37_contrast_fdr	wave37_efficient_consistent_positive	wave81_call	wave81_direct_perturbation	wave81_foundation_model_support	wave81_blocker	wave34_call	wave34_gwas_trait_count	wave34_local_positive_disease_count	wave55_genetic_diseases_ge_0_25	wave55_genetic_diseases	wave62_call	wave62_manual_blocker	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_l2g_score	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	ms_delta_log2	ms_p	ms_fdr	gate_real_efferocytosis_perturbation	gate_ms_anchor	gate_cross_disease_expression	gate_genetic_breadth	gate_target_resolved_ms	gate_modality_ready	gate_direction_clear	gate_prior_not_blocked	gate_no_fc_safety_blocker	wave103_gate_count	wave103_score	wave103_missing_gates	wave103_call	wave103_call_priority
PDCD6IP	ALIX/endosomal trafficking-efferocytosis regulator	intracellular trafficking protein; no clean autoimmune modality	False	False	False	broad endosomal and exosome biology	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	1.2170477653396643	0.920009505703422	True	PARK_PERTURBATION_FIRST_CANDIDATE	1.0	0.0			0.0	0.0	0.0				0.0	0.0	0.0	1.0	0.0	type 1 diabetes mellitus		0.0525392734147782	0.6288941416097741	0.950018606810264	True	False	False	False	False	False	True	True	True	4	10.217047765339665	ms_anchor;cross_disease_expression;genetic_breadth;modality_ready	PARK_EFFEROCYTOSIS_ROUTE_NO_MS_ANCHOR	2
FCGRT	FcRn blockade to reduce pathogenic IgG/immune-complex recycling and lysosomal Fc load	approved/clinical biologics and Fc fragments exist for FcRn blockade	True	False	True	IgG lowering infection and humoral-immunity risk; MS/CNS compartment delivery uncertain	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	1.0489029953992377	0.920009505703422	True	NO_GO_PERTURBATION_FIRST_BLOCKED	1.0	0.0	prior global survivor audit marked a blocked branch		0.0	0.0	0.0				0.0	0.0	0.0	0.0	3.0		Crohn disease;psoriasis;ulcerative colitis	0.0231623625607966	0.8909537537424405	0.9842134382901514	True	False	False	False	False	True	True	False	False	3	0.04890299539923859	ms_anchor;cross_disease_expression;genetic_breadth;prior_not_blocked	PARK_EFFEROCYTOSIS_ROUTE_NO_MS_ANCHOR	2
DAB2	endocytic/efferocytosis negative-regulator modulation	intracellular adaptor; no clean selective modality	False	False	False	broad endocytosis, platelet, and tumor-biology liabilities	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6555390813258746	0.9965506589785832	True	PARK_PERTURBATION_FIRST_CANDIDATE	1.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0	0.0	0.0				0.0	0.0	0.0	0.0	3.0		Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.5378984279794476	0.0111306912319104	0.8349413280632139	True	True	False	False	False	False	True	True	True	5	4.655539081325875	cross_disease_expression;genetic_breadth;modality_ready	PARK_EFFEROCYTOSIS_ROUTE_WEAK_CROSS_DISEASE_ANCHOR	3
FCGR2B	inhibitory Fc-gamma receptor agonism/restoration	agonist biologic concept possible but receptor-family selectivity is difficult	True	True	False	Fc receptor balance and B-cell/myeloid immunosuppression risk	UNRESOLVED	-0.1232342873864228	0.9971256078463696	False	NO_GO_PERTURBATION_FIRST_BLOCKED	0.0	0.0	Fc receptor direction and safety blocked	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0	0.0	0.0		NO_GO_WAVE62_TARGET_RESOLUTION		0.0	4.0	0.0	0.0	1.0		ulcerative colitis	0.3743680552898727	0.5995853752716118	0.9466965949245808	False	False	False	True	False	True	False	True	True	4	9.0	real_efferocytosis_perturbation;ms_anchor;cross_disease_expression;direction_clear	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
RYK	Wnt-related efferocytosis screen hit	surface receptor but autoimmune direction and selectivity unclear	True	True	False	developmental/Wnt-pathway pleiotropy	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	1.059316314841792	0.920009505703422	True	PARK_PERTURBATION_FIRST_CANDIDATE	1.0	0.0			0.0	0.0	0.0				0.0	0.0	0.0	2.0	0.0	Crohn disease;ulcerative colitis		0.081309930835447	0.5201429831615564	0.9352591033176444	True	False	False	False	False	True	False	True	False	3	8.05931631484179	ms_anchor;cross_disease_expression;genetic_breadth;direction_clear	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
FCGR2A	activating Fc-gamma receptor tuning	antibody-accessible receptor but activation/inhibition selectivity is difficult	True	True	True	activating Fc receptor host-defense and immune-complex safety blocker			1.0	False	NO_GO_PERTURBATION_FIRST_BLOCKED	0.0	1.0	Fc receptor direction and safety blocked	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	1.0	0.0		NO_GO_WAVE62_TARGET_RESOLUTION	Fc_receptor_directionality_and_safety	4.0	7.0	0.0	1.0	1.0	Sjogren syndrome	psoriasis	-0.1533819091799007	0.582735290071486	0.9460303616141402	False	False	False	True	False	True	False	False	False	2	5.0	real_efferocytosis_perturbation;ms_anchor;cross_disease_expression;direction_clear;prior_not_blocked	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
FCGR1A	high-affinity activating Fc receptor tuning	antibody-accessible but high host-defense risk	True	True	True	macrophage activation and host-defense risk			1.0	False		0.0	0.0			0.0	0.0	0.0				0.0	0.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		-0.7574280329741345	0.0519335309067043	0.8815737414592851	False	False	True	False	False	True	False	False	False	2	4.0	real_efferocytosis_perturbation;ms_anchor;genetic_breadth;direction_clear;prior_not_blocked	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
CD9	tetraspanin membrane microdomain/efferocytosis tuning	surface biologic possible but tetraspanin selectivity and direction are poor	True	True	False	ubiquitous tetraspanin and exosome biology	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7466880318269618	1.0	True	PARK_PERTURBATION_FIRST_CANDIDATE	1.0	0.0			0.0	0.0	0.0				0.0	0.0	0.0	0.0	2.0		Crohn disease;ulcerative colitis	1.1100295973517351	0.0019686305906988	0.8344760564031432	True	True	False	False	False	True	False	True	False	4	3.7466880318269613	cross_disease_expression;genetic_breadth;direction_clear	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
FCGR3B	neutrophil Fc-gamma receptor tuning	antibody-accessible but neutrophil biology creates safety and selectivity blockers	True	True	True	neutrophil immune-complex clearance and infection risk			1.0	False		0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0	2.0	0.0				0.0	0.0	0.0	2.0	0.0	Crohn disease;ulcerative colitis		-0.8648014606554275	0.4479903391550791	0.9220434300923256	False	False	False	False	False	True	False	False	False	1	1.0	real_efferocytosis_perturbation;ms_anchor;cross_disease_expression;genetic_breadth;direction_clear;prior_not_blocked	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
FCGR3A	activating Fc-gamma receptor tuning	antibody-accessible but selective safe anti-inflammatory direction is unresolved	True	True	True	NK/myeloid effector biology and host-defense risk			1.0	False		0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	6.0	1.0	0.0				0.0	0.0	0.0	1.0	0.0	psoriasis		-0.4958427503615858	0.0731656339488277	0.8989378106274888	False	False	False	False	False	True	False	False	False	1	0.0	real_efferocytosis_perturbation;ms_anchor;cross_disease_expression;genetic_breadth;direction_clear;prior_not_blocked	NO_GO_FC_ROUTE_PRIOR_OR_DIRECTION_BLOCKED	7
