gene	routing_decision_prior	manual_status_prior	module_relevance	local_score	orchestrator_call	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	ms_anchor_nominal	ms_wm_delta_log2	ms_wm_p	geneformer_support_contexts_combined	geneformer_strong_contexts_combined	foundation_rescue_recommendation	real_perturbation_alignment_call	residual_retained_positive_disease_count	chembl_nM_activity_count	opentargets_diseases_any	manual_reason_prior
SEL1L3	test_or_scout	unknown	unrestricted_cross_disease_survivor	7.5	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	0.922501683138024	0.0181382735511015	1.0	1.0	do_not_promote_from_foundation_model	model_only_no_real_perturbation_alignment	1.0	0.0	0.0	
CXCL9	hold	generic_hold	unrestricted_cross_disease_survivor	4.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		True	2.5544176187121583	0.0309913568123503	0.0	0.0	do_not_promote	no_rescue	1.0	0.0	0.0	IFN/CXCR3 chemokine axis; likely broad inflammatory trafficking rather than module-specific node
TNFAIP8L1	test_or_scout	unknown	unrestricted_cross_disease_survivor	4.0	DEMOTE_LOCAL_TRIAGE	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		True	0.4563149724166724	0.0085624242089706	0.0	0.0	do_not_promote	no_rescue	0.0	0.0	0.0	
PPIL3	test_or_scout	unknown	unrestricted_cross_disease_survivor	3.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	0.6072339458133413	0.0182948169279802	1.0	0.0	do_not_promote	no_rescue	0.0	0.0	0.0	
PPP3CA	hold	prior_art_hold	unrestricted_cross_disease_survivor	2.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	0.3662550380794975	0.0343364012152779	0.0	0.0	do_not_promote	no_rescue	0.0	0.0	0.0	calcineurin is drugged by cyclosporine/tacrolimus with broad toxicity and direct transplant/autoimmunity precedent
NCK1	test_or_scout	unknown	unrestricted_cross_disease_survivor	2.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	0.4449989986308154	0.0055557148533128	0.0	0.0	do_not_promote	no_rescue	0.0	0.0	0.0	
PLEK2	test_or_scout	unknown	unrestricted_cross_disease_survivor	2.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	3.0459958234208124	0.0073786076112192	0.0	0.0	do_not_promote	no_rescue	0.0	0.0	0.0	
AQR	test_or_scout	unknown	unrestricted_cross_disease_survivor	2.0	DEMOTE_LOCAL_TRIAGE	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		True	0.2576228255837183	0.0459326873416809	0.0	0.0	do_not_promote	no_rescue	0.0	0.0	0.0	
DAP	test_or_scout	unknown	unrestricted_cross_disease_survivor	18.0	PARK_FOR_WORKER_REVIEW	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		True	0.3933456450044126	0.0080691967127082	7.0	2.0	do_not_promote	model_contradicted_by_gse162463_screen	2.0	0.0	0.0	
SNX10	test_or_scout	unknown	unrestricted_cross_disease_survivor	14.5	PARK_FOR_WORKER_REVIEW	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	0.712408223548989	0.0127398445881719	6.0	1.0	do_not_promote_from_foundation_model	model_only_no_real_perturbation_alignment	2.0	0.0	0.0	
FMNL2	test_or_scout	unknown	unrestricted_cross_disease_survivor	12.5	PARK_FOR_WORKER_REVIEW	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		True	0.4116873433440275	0.0323812070948891	2.0	1.0	do_not_promote_from_foundation_model	model_only_no_real_perturbation_alignment	2.0	0.0	0.0	
C15ORF48	hold	model_blocked_hold	unrestricted_cross_disease_survivor	12.0	PARK_FOR_WORKER_REVIEW	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		True	1.223015588579818	0.0037534871126623	0.0	0.0			3.0	0.0	0.0	strong expression marker but absent from Geneformer token dictionary in the current route
CBX3	hold	generic_hold	unrestricted_cross_disease_survivor	11.0	PARK_FOR_WORKER_REVIEW	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		True	0.3505111291715241	0.0165873089490037	1.0	0.0	do_not_promote	model_contradicted_by_gse162463_screen	3.0	0.0	0.0	chromatin/proliferation-associated; no clear lipid-lysosomal intervention point
