gene	strict_call	fresh_score	support_channels	hard_closed_postcritique	strict_blocked	ms_nominal	ms_fdr_grade	broad_cell_state	genetics	response	perturbation_or_model	modality	broad_positive_disease_count	wave55_genetic_disease_count	blockers_or_missing	source_call	blocker_text
DAP	NO_GO_RESIDUAL	6.1	3	True	True	True	False	True	True	False	False	False	3	5	hard_closed_postcritique;strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation;no_modality	TESTABLE_FRESH_ROUTE	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
NCF2	NO_GO_RESIDUAL	4.9	4	True	True	True	False	False	True	False	True	True	2	3	hard_closed_postcritique;strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state	NO_GO_FRESH_SCAN	  NO_REOPEN_BLOCKED_BRANCH NOX2 host-defense/CGD directionality risk NO_GO_WAVE62_TARGET_RESOLUTION
CXCR2	NO_GO_RESIDUAL	4.6	4	True	True	False	False	True	True	False	True	True	3	5	hard_closed_postcritique;strict_blocker_text;no_fdr_grade_ms	NO_GO_FRESH_SCAN	  PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED chemokine/neutrophil route prior audited and infection-risk broad NO_GO_WAVE62_TARGET_RESOLUTION
CBX3	NO_GO_RESIDUAL	4.3	2	False	False	True	False	True	False	False	False	False	4	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
FMNL2	NO_GO_RESIDUAL	4.3	2	False	True	True	False	True	False	False	False	False	4	1	strict_blocker_text;no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
TNFAIP8L1	NO_GO_RESIDUAL	4.3	2	False	False	True	False	True	False	False	False	False	4	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CUL2	NO_GO_RESIDUAL	4.2	2	False	False	True	False	False	True	False	False	False	1	3	no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
MSRA	NO_GO_RESIDUAL	4.2	2	False	False	True	False	False	True	False	False	False	1	3	no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PTPN22	NO_GO_RESIDUAL	4.2	2	False	False	True	False	False	True	False	False	False	1	9	no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
APOC1	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
AQR	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CHI3L1	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CRTAP	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CXCL9	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IGF2BP2	NO_GO_RESIDUAL	4.1	2	False	False	False	False	True	True	False	False	False	3	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
